id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4uP3pUP18ennmz0tb3GphR,https://p.scdn.co/mp3-preview/c5fb06d78c14e6da6fa23536b4e2be9c1acca8d9?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,https://api.spotify.com/v1/audio-analysis/4uP3pUP18ennmz0tb3GphR,197968
7KbF6AdprOXEEHlsq11Z6d,https://p.scdn.co/mp3-preview/f486e8c229324664fd6c16b76a5a5ef353286c39?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,https://api.spotify.com/v1/audio-analysis/7KbF6AdprOXEEHlsq11Z6d,175733
3XoMtVDuIbmMQ9UKSShXti,https://p.scdn.co/mp3-preview/40825982083dae1621646269ecdbe87ee5f098f7?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.773,0.516,9,-12.366,0,0.181,0.419,0.0,0.0753,0.472,120.001,https://api.spotify.com/v1/audio-analysis/3XoMtVDuIbmMQ9UKSShXti,241659
3KJ3opyV29269SXkPrc19l,https://p.scdn.co/mp3-preview/8de4ea062263be217f1d36a71e6b45c07073674f?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.636,0.656,2,-5.542,0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l,151506
5zSOVwaY3sVjnmLhuEfsuf,https://p.scdn.co/mp3-preview/ffe512ab1814f052648c47288415154e20696c37?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.748,0.565,7,-5.895,1,0.0476,0.164,0.00169,0.103,0.812,175.92,https://api.spotify.com/v1/audio-analysis/5zSOVwaY3sVjnmLhuEfsuf,193227
3ilZY9fbri982eVkRywGrK,https://p.scdn.co/mp3-preview/d4b62492cbf840364561a1f43f503599b36be138?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.877,0.706,9,-6.473,0,0.116,0.312,0.0,0.0933,0.633,94.028,https://api.spotify.com/v1/audio-analysis/3ilZY9fbri982eVkRywGrK,174507
1VauUM5CBX7nkLcgafQL2B,https://p.scdn.co/mp3-preview/5b575188aa758c5a1e4ed7baa6e0dc944b743d05?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.783,0.524,5,-6.455,0,0.0554,0.241,0.0,0.271,0.839,117.496,https://api.spotify.com/v1/audio-analysis/1VauUM5CBX7nkLcgafQL2B,164896
4ipnJyDU3Lq15qBAYNqlqK,https://p.scdn.co/mp3-preview/dd3cc16a6132aae391448e06215fa4f307365f61?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,189440
2L95U6syP0bV3fkYYOzmiW,https://p.scdn.co/mp3-preview/b47875df9c0ba99df047ae950ad75aae202a8f76?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.922,0.927,11,-3.025,1,0.105,0.283,0.00331,0.719,0.796,129.978,https://api.spotify.com/v1/audio-analysis/2L95U6syP0bV3fkYYOzmiW,219000
2QrGCbW0ylj94JfkgLZFlA,https://p.scdn.co/mp3-preview/8ab945e4f3e9f724e06aaa457e04eba08798b552?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.76,0.718,1,-3.017,1,0.232,0.348,0.0,0.0982,0.557,128.14,https://api.spotify.com/v1/audio-analysis/2QrGCbW0ylj94JfkgLZFlA,191295
5y7DaS3jAc9eZzcSOoUIwU,https://p.scdn.co/mp3-preview/af1db9c35d10fc05c64631b2fe89703f6e5368b9?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,https://api.spotify.com/v1/audio-analysis/5y7DaS3jAc9eZzcSOoUIwU,230693
2OWVCFTolecLiGZPquvWvT,https://p.scdn.co/mp3-preview/10574d9281e8a5a3a9e3fd8bb65ddb70d4815ada?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.759,0.536,9,-6.663,0,0.173,0.821,4.57e-06,0.107,0.439,119.883,https://api.spotify.com/v1/audio-analysis/2OWVCFTolecLiGZPquvWvT,208080
1sbNEFiURUYfy024cJX8JG,https://p.scdn.co/mp3-preview/3d428113b8756b06c5a1c20e9354c7b9da58bf88?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,https://api.spotify.com/v1/audio-analysis/1sbNEFiURUYfy024cJX8JG,167760
4Rjq1TZbF0bDstOs6SiI6J,https://p.scdn.co/mp3-preview/7132dba3efb7baa60d52111158fb03ca39a10ccf?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.798,0.718,8,-6.237,0,0.0443,0.263,0.0,0.142,0.727,126.01,https://api.spotify.com/v1/audio-analysis/4Rjq1TZbF0bDstOs6SiI6J,260952
2ksOAxtIxY8yElEWw8RhgK,https://p.scdn.co/mp3-preview/8bd50e2b86669551bc5491ef24c6ba4eefbed78b?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,https://api.spotify.com/v1/audio-analysis/2ksOAxtIxY8yElEWw8RhgK,301714
0tvrucEjmw7aNS9qBSHO4l,https://p.scdn.co/mp3-preview/048a10aa0f8c50e162cf72ae904f88715f9f9c86?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.859,0.534,9,-9.23,1,0.151,0.192,0.0,0.121,0.264,95.039,https://api.spotify.com/v1/audio-analysis/0tvrucEjmw7aNS9qBSHO4l,125109
4hceSKjrkDTO0nMKFcb3sj,https://p.scdn.co/mp3-preview/7454fcb8d81faaf33d300b7738e157ddc1b68159?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,https://api.spotify.com/v1/audio-analysis/4hceSKjrkDTO0nMKFcb3sj,187500
5jZ32WOU7sqzDYbzINwMUk,https://p.scdn.co/mp3-preview/fffa92b2dbaf90073a6c5a24ca1fa3f646e5b33f?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.612,0.561,1,-6.054,1,0.0851,0.0601,0.0,0.145,0.393,191.911,https://api.spotify.com/v1/audio-analysis/5jZ32WOU7sqzDYbzINwMUk,163053
4Z8HZSApeddaRM2ovivUj4,https://p.scdn.co/mp3-preview/82f5622374d201832ced98a491fb64fd7386d4ce?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.795,0.798,9,-2.357,0,0.08,0.532,1.02e-05,0.0869,0.397,104.912,https://api.spotify.com/v1/audio-analysis/4Z8HZSApeddaRM2ovivUj4,214857
38RIEav39FGi86jppxO0du,https://p.scdn.co/mp3-preview/1a670f3f6095b4f40621b2587b9e5ddfa9874be2?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,https://api.spotify.com/v1/audio-analysis/38RIEav39FGi86jppxO0du,210607
0Iozrbed8spxoBnmtBMshO,https://p.scdn.co/mp3-preview/7a55b0a43f4fd2a60b179ab2d71832fd60687a53?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,https://api.spotify.com/v1/audio-analysis/0Iozrbed8spxoBnmtBMshO,160909
4T18CIOag4LfuqqfzyBQmw,https://p.scdn.co/mp3-preview/75123de581ad7e6eb056e15f11dce6846a0960f3?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.803,0.745,2,-5.251,1,0.0657,0.136,0.00763,0.0712,0.628,107.077,https://api.spotify.com/v1/audio-analysis/4T18CIOag4LfuqqfzyBQmw,116636
4ATSfgGpbCP0TZcLeNdOx0,https://p.scdn.co/mp3-preview/96170e3b5d274111b06a8bd41248bd53597ffe5d?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.834,0.736,6,-4.323,0,0.105,0.0704,0.0033,0.0713,0.546,100.991,https://api.spotify.com/v1/audio-analysis/4ATSfgGpbCP0TZcLeNdOx0,180000
5clFSlfkCRlhnH1cAQjSBi,https://p.scdn.co/mp3-preview/f64e2a06cc3f42f43e906974ba295dcb00ce7d01?cid=7596a347c632409f9829d4c3cb9fa3c7,latino,0.709,0.726,7,-7.129,1,0.0411,0.0977,0.0,0.301,0.404,92.006,https://api.spotify.com/v1/audio-analysis/5clFSlfkCRlhnH1cAQjSBi,182187
