id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3Txcx4jhuiTZSvhAL0WaRc,https://p.scdn.co/mp3-preview/d9ad709fc79a67c99e2c1aa814827f748b9b769a?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.678,0.414,9,-10.144,0,0.0498,0.366,3.78e-06,0.0885,0.355,130.031,https://api.spotify.com/v1/audio-analysis/3Txcx4jhuiTZSvhAL0WaRc,243133
1KIviXdpaqMAK2dEpj0lJJ,https://p.scdn.co/mp3-preview/ac210180ed90a5398e0ae5eb36a0febc1202638a?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.725,0.631,0,-7.381,1,0.0357,0.0248,0.00098,0.099,0.101,123.804,https://api.spotify.com/v1/audio-analysis/1KIviXdpaqMAK2dEpj0lJJ,202328
3RJuptH9QoeJWzHd4ZCI0u,https://p.scdn.co/mp3-preview/d04a426aa6f2391135d80fdcf6f91b529ae6df02?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.403,0.698,9,-5.058,0,0.0357,0.00171,0.00126,0.256,0.0833,159.869,https://api.spotify.com/v1/audio-analysis/3RJuptH9QoeJWzHd4ZCI0u,252954
6NCylXeJcHOI908PjZDFcg,https://p.scdn.co/mp3-preview/d161dc3cd9aed4c542ea22cb9a96b52da75e3398?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.54,0.405,6,-7.295,1,0.0272,0.768,0.0,0.11,0.309,136.028,https://api.spotify.com/v1/audio-analysis/6NCylXeJcHOI908PjZDFcg,246000
19zPT36WogsfBd8HIaUnt4,https://p.scdn.co/mp3-preview/4968c8093c60bdfbf327a5f027a941c7f70a601f?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.623,0.761,0,-6.084,1,0.0312,0.0223,0.000246,0.39,0.456,99.055,https://api.spotify.com/v1/audio-analysis/19zPT36WogsfBd8HIaUnt4,269893
7nOtXCM1w97j4KeBRH2rPj,https://p.scdn.co/mp3-preview/92178613a5a9b5d838beb9861c738baf6e8a42d6?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.621,0.461,8,-7.65,1,0.0713,0.24,0.00133,0.12,0.301,137.941,https://api.spotify.com/v1/audio-analysis/7nOtXCM1w97j4KeBRH2rPj,209747
3NNDJfWMGHuNpvHWTImmlW,https://p.scdn.co/mp3-preview/300f0554cbaadf141e926cf874637f29585c659a?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.521,0.471,4,-8.247,1,0.0317,0.786,0.0,0.105,0.269,92.054,https://api.spotify.com/v1/audio-analysis/3NNDJfWMGHuNpvHWTImmlW,289604
643hRiTY9vzD6P0cWO8UP3,https://p.scdn.co/mp3-preview/84efebcedd437d78ddfd436135da823f11a90ef1?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.684,0.683,10,-6.374,1,0.028,0.581,9.52e-06,0.123,0.676,135.978,https://api.spotify.com/v1/audio-analysis/643hRiTY9vzD6P0cWO8UP3,226773
5oL7vOxCz2eJKAX6G4Yluh,https://p.scdn.co/mp3-preview/1c09c7c57512632e4d0ea2c4416c31330ff8cc81?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.486,0.411,6,-5.623,1,0.0374,0.747,0.0,0.342,0.364,139.914,https://api.spotify.com/v1/audio-analysis/5oL7vOxCz2eJKAX6G4Yluh,260093
0UFthA0qo3JDLxqfG25kgP,https://p.scdn.co/mp3-preview/4abdd363446a0807bb3d27f3d0df77421bc9ce83?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.76,0.404,8,-10.028,1,0.0425,0.763,0.00119,0.106,0.665,150.023,https://api.spotify.com/v1/audio-analysis/0UFthA0qo3JDLxqfG25kgP,179000
5GgUvrnmNeJFQifGe5Ywpu,https://p.scdn.co/mp3-preview/47343cfb734d08760ea2c471d806d675c1ccb47a?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.758,0.395,11,-9.447,1,0.0572,0.225,4.39e-05,0.0936,0.264,101.977,https://api.spotify.com/v1/audio-analysis/5GgUvrnmNeJFQifGe5Ywpu,187898
2PXhHrVL1HkKk4fto9D8zE,https://p.scdn.co/mp3-preview/936f8559a395683c08134dbb1cb8e1de878fc0b5?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.601,0.38,0,-8.82,1,0.0259,0.576,0.0,0.0858,0.247,104.748,https://api.spotify.com/v1/audio-analysis/2PXhHrVL1HkKk4fto9D8zE,263333
1SNF1IdMuKPDhw9HTrdcvM,https://p.scdn.co/mp3-preview/afc562fcad06054dc599c96cd1554023166db93c?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.64,0.366,5,-9.357,1,0.0291,0.743,0.0,0.0952,0.235,115.801,https://api.spotify.com/v1/audio-analysis/1SNF1IdMuKPDhw9HTrdcvM,239293
4JrGpUQothsSVR6iBhR9NC,https://p.scdn.co/mp3-preview/bf7ed679bb308dfd7caa1df9197a3fa7f7d1bde4?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.5,0.778,0,-4.658,0,0.126,0.387,0.0,0.16,0.279,173.906,https://api.spotify.com/v1/audio-analysis/4JrGpUQothsSVR6iBhR9NC,269182
5DCNAwyomUF3LXunq4NSpJ,https://p.scdn.co/mp3-preview/0d62dfbaa37595590391f2c60625599e20d405bd?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.63,0.309,10,-11.415,1,0.035,0.738,0.0,0.104,0.155,117.814,https://api.spotify.com/v1/audio-analysis/5DCNAwyomUF3LXunq4NSpJ,237841
4D0KlK4Fl8lotvsoys1bYQ,https://p.scdn.co/mp3-preview/e9b0b089fb618531fc23267b7ae848e1b3a93c7c?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.46,0.643,9,-5.903,1,0.0309,0.199,0.0,0.0917,0.286,160.044,https://api.spotify.com/v1/audio-analysis/4D0KlK4Fl8lotvsoys1bYQ,289400
5nQCxF5H1f0XcEWeaRVUED,https://p.scdn.co/mp3-preview/e65c332d7d4b0980df8641a88f7710979f567c4b?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.563,0.291,11,-8.998,1,0.0311,0.785,1.24e-06,0.111,0.292,112.556,https://api.spotify.com/v1/audio-analysis/5nQCxF5H1f0XcEWeaRVUED,230609
5IgElbSREzVyqgf1OCuKJd,https://p.scdn.co/mp3-preview/ad24c967ea37eaf9c5000239d7dbde37e1fb5f07?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.67,0.518,7,-7.53,1,0.0278,0.538,0.0,0.111,0.195,112.006,https://api.spotify.com/v1/audio-analysis/5IgElbSREzVyqgf1OCuKJd,272973
2GeR7M97pCrWrMh8d6BlrF,https://p.scdn.co/mp3-preview/d5b7ecf121f633f94e9fce6ec40e311e6c5ec427?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.738,0.324,0,-10.622,1,0.0304,0.558,0.00277,0.0791,0.266,88.004,https://api.spotify.com/v1/audio-analysis/2GeR7M97pCrWrMh8d6BlrF,186818
32owsT82fuFexAND08A5sS,https://p.scdn.co/mp3-preview/c9ecdb62c3792578c03641f0b844b1f743763d90?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.589,0.492,10,-7.25,1,0.0282,0.426,0.0,0.15,0.212,90.045,https://api.spotify.com/v1/audio-analysis/32owsT82fuFexAND08A5sS,171196
2GWzRdezjEFyYrwldE7iCl,https://p.scdn.co/mp3-preview/6cbc877855639d7f147da90af319ba450cfd7064?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.462,0.751,9,-5.043,1,0.0305,0.312,0.00316,0.103,0.499,87.992,https://api.spotify.com/v1/audio-analysis/2GWzRdezjEFyYrwldE7iCl,237243
3Pz9konqP1wwaXkNagNNT7,https://p.scdn.co/mp3-preview/dbb658ee7a2e5d69dab360addd3bf4ab1c95c9d6?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.495,0.437,11,-6.641,0,0.304,0.236,0.0,0.068,0.599,203.151,https://api.spotify.com/v1/audio-analysis/3Pz9konqP1wwaXkNagNNT7,202080
4m4e3vIghV2QkHuOf83M7N,https://p.scdn.co/mp3-preview/62f5e729c59055462c88a0117657670c2448c575?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.373,0.32,6,-8.593,1,0.0316,0.83,0.0,0.179,0.357,73.775,https://api.spotify.com/v1/audio-analysis/4m4e3vIghV2QkHuOf83M7N,285831
68GFZFc2Fa5HLdv6TXziSD,https://p.scdn.co/mp3-preview/19de9f9f17bd861d03981925a93519d9146b31ca?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.568,0.339,10,-8.661,1,0.0289,0.687,2.52e-05,0.24,0.121,124.819,https://api.spotify.com/v1/audio-analysis/68GFZFc2Fa5HLdv6TXziSD,209205
1bkdJsC4ZWDo8j8ekJWMeD,https://p.scdn.co/mp3-preview/ff4f666ee39ed9628c8c8036a8a3a37d3139cd91?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.379,0.39,11,-6.597,1,0.0299,0.465,6.14e-06,0.0943,0.154,139.197,https://api.spotify.com/v1/audio-analysis/1bkdJsC4ZWDo8j8ekJWMeD,262027
178ZvO20GAGgrxSDitOaYG,https://p.scdn.co/mp3-preview/d6cb716d33b92b8ffc40c4f068462b0754f6705d?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.553,0.681,11,-9.531,0,0.169,0.297,0.00695,0.107,0.625,183.813,https://api.spotify.com/v1/audio-analysis/178ZvO20GAGgrxSDitOaYG,216603
48VzfSDNpxIfWohA9bZgfo,https://p.scdn.co/mp3-preview/7c96eec13e74ee3f51f1675fa21fb8c7a3e45514?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.368,0.449,11,-7.049,1,0.0298,0.729,0.0,0.132,0.273,133.974,https://api.spotify.com/v1/audio-analysis/48VzfSDNpxIfWohA9bZgfo,321629
558dTfMGywYbzFX0zVU4aC,https://p.scdn.co/mp3-preview/d2d16c7b5ed61c913ec94b229b85d6a329d598a8?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.668,0.499,11,-4.87,1,0.0248,0.473,0.0,0.135,0.297,91.006,https://api.spotify.com/v1/audio-analysis/558dTfMGywYbzFX0zVU4aC,255440
6piGF4icHZGnw5FlKULGDs,https://p.scdn.co/mp3-preview/d13344f89b92c3bde5d0f503e5522a503c488644?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.723,0.458,6,-5.572,0,0.17,0.256,0.0,0.0879,0.357,113.954,https://api.spotify.com/v1/audio-analysis/6piGF4icHZGnw5FlKULGDs,178799
42ZTvtzDTTwq5J74RaZKUJ,https://p.scdn.co/mp3-preview/c6393831ac095c3e5e95d3afe02ee0a001777500?cid=7596a347c632409f9829d4c3cb9fa3c7,malay,0.627,0.599,5,-6.322,0,0.0472,0.0681,0.0338,0.126,0.763,176.001,https://api.spotify.com/v1/audio-analysis/42ZTvtzDTTwq5J74RaZKUJ,291000
