id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0F02KChKwbcQ3tk4q1YxLH,https://p.scdn.co/mp3-preview/dd8992eb1511b3dbfd75c2129217fb23274a04fb?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.547,0.567,7,-7.295,1,0.0242,0.276,0.000548,0.104,0.399,137.13,https://api.spotify.com/v1/audio-analysis/0F02KChKwbcQ3tk4q1YxLH,269747
3xJK8ywApYVEYIDhymYMC6,https://p.scdn.co/mp3-preview/8fddd89b1499dc8fd2dcb6e4d2f2527dca8247fe?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.631,0.233,8,-13.016,1,0.0329,0.841,3.24e-06,0.228,0.442,91.864,https://api.spotify.com/v1/audio-analysis/3xJK8ywApYVEYIDhymYMC6,209760
1ivCIgrYZyE0BvItL4Z8lk,https://p.scdn.co/mp3-preview/56a1324fae46ae919423d75a65694bb64a3cc9ad?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.59,0.572,11,-7.658,1,0.0379,0.192,0.0,0.109,0.448,179.989,https://api.spotify.com/v1/audio-analysis/1ivCIgrYZyE0BvItL4Z8lk,215147
4Rt9k4SE8dbfKzngxKJPq9,https://p.scdn.co/mp3-preview/fe884273c9781673fc75df24a07f51dda1c13b71?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.497,0.49,5,-7.161,1,0.0276,0.671,0.000417,0.155,0.126,122.71,https://api.spotify.com/v1/audio-analysis/4Rt9k4SE8dbfKzngxKJPq9,236133
3kwqNLXvsjSrIXbVsRBj8q,https://p.scdn.co/mp3-preview/873696e683817f76e5af2ce2813a4f3071546c2d?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.483,0.576,0,-6.911,0,0.028,0.382,0.00011,0.278,0.49,142.132,https://api.spotify.com/v1/audio-analysis/3kwqNLXvsjSrIXbVsRBj8q,295307
190kU2WKyIzx9XaBjfWRPk,https://p.scdn.co/mp3-preview/26441b944be5d6521a6f755f4a6d695c9dd0cac2?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.471,0.648,3,-3.968,1,0.0342,0.63,0.0,0.122,0.239,135.053,https://api.spotify.com/v1/audio-analysis/190kU2WKyIzx9XaBjfWRPk,287000
27FOde2nUw0pFuj7hlPbaS,https://p.scdn.co/mp3-preview/b77080c149e0d91fd203bda830a4c5e318727ceb?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.549,0.923,1,-3.857,1,0.0393,0.0295,8.76e-05,0.14,0.498,140.045,https://api.spotify.com/v1/audio-analysis/27FOde2nUw0pFuj7hlPbaS,292075
6WoQzK5Exbfcmow1AoNRkl,https://p.scdn.co/mp3-preview/7ea32d5769fd7e940558e0ba0d13dd76683f93d8?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.486,0.424,0,-5.755,1,0.0262,0.617,0.0,0.116,0.286,79.989,https://api.spotify.com/v1/audio-analysis/6WoQzK5Exbfcmow1AoNRkl,298293
31RIphTQ9y4zStkH5xRWgW,https://p.scdn.co/mp3-preview/52fb82058823412c6bcc3597fddd968e72580200?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.456,0.617,5,-6.252,1,0.0273,0.0133,5.95e-05,0.116,0.3,133.917,https://api.spotify.com/v1/audio-analysis/31RIphTQ9y4zStkH5xRWgW,294240
55d0jw269HE9pbOt5ntCo8,https://p.scdn.co/mp3-preview/ab01fe4c04cacd1757269d2b1efd31da8b928dd7?cid=7596a347c632409f9829d4c3cb9fa3c7,mandopop,0.51,0.53,3,-6.532,1,0.0312,0.319,0.0,0.102,0.136,135.726,https://api.spotify.com/v1/audio-analysis/55d0jw269HE9pbOt5ntCo8,217721
