id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
37ZJ0p5Jm13JPevGcx4SkF,https://p.scdn.co/mp3-preview/7dd66c1d90f6bf623acbc73e5b4b69bdf13e41bf?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293
5W8YXBz9MTIDyrpYaCg2Ky,https://p.scdn.co/mp3-preview/df92d175e410480a57d4c1263dbd83ae021bc2df?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky,199907
6TfBA04WJ3X1d1wXhaCFVT,https://p.scdn.co/mp3-preview/cbb7234a4a09e7cdd02e8cf6161e12d583458294?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,https://api.spotify.com/v1/audio-analysis/6TfBA04WJ3X1d1wXhaCFVT,177827
0COqiPhxzoWICwFCS4eZcp,https://p.scdn.co/mp3-preview/c427554d93cfb5341bfa90b16a5e328593b79a0e?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893
0WSa1sucoNRcEeULlZVQXj,https://p.scdn.co/mp3-preview/9a06ef14bc9a82c4f3f8903ce352a46fe07d140c?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,https://api.spotify.com/v1/audio-analysis/0WSa1sucoNRcEeULlZVQXj,228147
761tGJAC4E2weJMJtNnl2B,https://p.scdn.co/mp3-preview/726e5ce650441812a75f357cae29b7ee31a5f4af?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.391,0.711,10,-5.39,0,0.0403,0.00157,0.0042,0.0576,0.149,172.958,https://api.spotify.com/v1/audio-analysis/761tGJAC4E2weJMJtNnl2B,395716
0rmGAIH9LNJewFw7nKzZnc,https://p.scdn.co/mp3-preview/34dc0d03d04f0e3ad646cd4c56943544f043709c?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707
4GssB27iJeqmfGxS94Tfij,https://p.scdn.co/mp3-preview/5a4ace716c42f10c086b8d5c08adc6b7dfce7874?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,https://api.spotify.com/v1/audio-analysis/4GssB27iJeqmfGxS94Tfij,220537
4CiVz4bw7X1zjCaJ5ZwxUS,https://p.scdn.co/mp3-preview/bc15d4e34ad2081e794a144915116d1c60e2af25?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.395,0.784,10,-5.903,0,0.132,0.0135,0.0,0.213,0.353,161.946,https://api.spotify.com/v1/audio-analysis/4CiVz4bw7X1zjCaJ5ZwxUS,203948
5tX5qGeEImk2CZYyGHrq9I,https://p.scdn.co/mp3-preview/ac607960546a4e7ed46971728989587371da13dc?cid=7596a347c632409f9829d4c3cb9fa3c7,metal,0.507,0.816,4,-5.419,0,0.0436,0.00118,0.0,0.0972,0.239,91.068,https://api.spotify.com/v1/audio-analysis/5tX5qGeEImk2CZYyGHrq9I,200495
