id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
04K2bMi2vyOBwxr5EjDq5O,https://p.scdn.co/mp3-preview/6b9280136ed410c266501dc65e3ae84119e1bf6f?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.505,0.981,2,-3.779,1,0.156,0.000212,3.75e-06,0.588,0.256,120.052,https://api.spotify.com/v1/audio-analysis/04K2bMi2vyOBwxr5EjDq5O,249747
5oC0AAgJ7RoWOT3HznLMe1,https://p.scdn.co/mp3-preview/949c9d9afbf1bf5cc97b24535939e7dc3d408f7b?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.545,0.815,6,-3.197,0,0.0868,0.135,0.0,0.148,0.758,170.058,https://api.spotify.com/v1/audio-analysis/5oC0AAgJ7RoWOT3HznLMe1,218453
584YRYWhvXFXCFrktLNCpG,https://p.scdn.co/mp3-preview/35df8280e46c0992374e1b4ce42d844b25635409?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.336,0.91,0,-5.836,0,0.335,0.000417,0.0,0.0984,0.287,199.964,https://api.spotify.com/v1/audio-analysis/584YRYWhvXFXCFrktLNCpG,235053
4MjJlPgUYMQjvHOQq0uvOv,https://p.scdn.co/mp3-preview/95792e9543faeb789fbd530696a89b22346cb276?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.239,0.969,11,-3.547,0,0.27,0.0224,9.24e-05,0.452,0.245,93.565,https://api.spotify.com/v1/audio-analysis/4MjJlPgUYMQjvHOQq0uvOv,183782
3HhaSocKwTptze7PySNZlW,https://p.scdn.co/mp3-preview/ea0fef8185094ba7a7429ac61d377d431743ab06?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,https://api.spotify.com/v1/audio-analysis/3HhaSocKwTptze7PySNZlW,200677
650iZCPhzCPtSmynGnUnhT,https://p.scdn.co/mp3-preview/1465e65dba85e00bee3ad4a485682288dd49c278?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.507,0.958,1,-4.688,1,0.0588,0.000123,6.06e-05,0.378,0.362,105.034,https://api.spotify.com/v1/audio-analysis/650iZCPhzCPtSmynGnUnhT,196979
4b3f0U8gOfJKyxB8cYdCiw,https://p.scdn.co/mp3-preview/3c6e85e0ea8f4e2bc1db39585ef545a50f687064?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.5,0.844,5,-5.263,0,0.064,0.000791,9.54e-05,0.274,0.141,92.044,https://api.spotify.com/v1/audio-analysis/4b3f0U8gOfJKyxB8cYdCiw,228261
3gRwYAsiX4e50J43BkmZxI,https://p.scdn.co/mp3-preview/15a43d3fff25c1ebb700a7d332c55bfcffd43ccf?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.5,0.967,1,-3.218,1,0.0534,1.25e-05,6.16e-05,0.12,0.498,129.994,https://api.spotify.com/v1/audio-analysis/3gRwYAsiX4e50J43BkmZxI,227093
0qE46rBnn5oz96RaAfnZHv,https://p.scdn.co/mp3-preview/072b6575c43660e9a435926e7f5c31d798fb3041?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.419,0.935,5,-4.348,0,0.0912,0.00314,0.0,0.342,0.0735,104.971,https://api.spotify.com/v1/audio-analysis/0qE46rBnn5oz96RaAfnZHv,217127
27Nkg5NHILTJUcCyBkvVHt,https://p.scdn.co/mp3-preview/47d269160965a257126d5922d84b59761d3d7595?cid=7596a347c632409f9829d4c3cb9fa3c7,metalcore,0.53,0.729,4,-6.393,1,0.0338,0.00275,9.02e-06,0.471,0.261,119.981,https://api.spotify.com/v1/audio-analysis/27Nkg5NHILTJUcCyBkvVHt,206142
