id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4T2i7b1SkRTGHmT5Xr6ym9,https://p.scdn.co/mp3-preview/05166a10cd7177f992f205bfeb89853eb0c319ac?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.7,0.928,7,-4.397,1,0.0634,0.042,0.691,0.104,0.459,129.01,https://api.spotify.com/v1/audio-analysis/4T2i7b1SkRTGHmT5Xr6ym9,238142
2fY9O2PpELY5hubBbC2zEG,https://p.scdn.co/mp3-preview/cb2ce820a970b9d8adb6fd6b456615605cfdc65a?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.585,0.673,2,-8.274,1,0.0342,0.00062,0.284,0.205,0.0389,120.015,https://api.spotify.com/v1/audio-analysis/2fY9O2PpELY5hubBbC2zEG,272255
49tMnLt1iXNT6QBOsepFyg,https://p.scdn.co/mp3-preview/d4b481cd4b803e55219ab8c396cac57c9f7f08fb?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.804,0.857,1,-6.814,1,0.118,0.0534,0.824,0.086,0.848,126.001,https://api.spotify.com/v1/audio-analysis/49tMnLt1iXNT6QBOsepFyg,179304
6I7nESv5d9zf9DcEA9I25u,https://p.scdn.co/mp3-preview/dc5264d3b51ae83eb09d7c60f5786b058a9c690e?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.712,0.569,6,-10.819,0,0.0348,0.346,0.492,0.0794,0.241,116.016,https://api.spotify.com/v1/audio-analysis/6I7nESv5d9zf9DcEA9I25u,251591
294WNoHHRNJ1QMAXy5FdDX,https://p.scdn.co/mp3-preview/0bf4ae3bca7a07e30624662903dbeb44492b0d5d?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.693,0.391,2,-17.873,1,0.0462,0.581,0.772,0.11,0.0579,100.014,https://api.spotify.com/v1/audio-analysis/294WNoHHRNJ1QMAXy5FdDX,175720
1fmoCZ6mtMiqA5GHWPcZz9,https://p.scdn.co/mp3-preview/935736a8adccc8597339c5dcea79333e1c9a5ff4?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.717,0.46,11,-11.326,0,0.0372,0.0287,0.785,0.0661,0.0961,110.993,https://api.spotify.com/v1/audio-analysis/1fmoCZ6mtMiqA5GHWPcZz9,367307
5AcCFMfAjIxq07cibmttEo,https://p.scdn.co/mp3-preview/70a185f50cbe2a031ffd87ca17a9d015fd2ce384?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.673,0.84,1,-7.564,1,0.0349,0.0197,0.234,0.0865,0.529,119.991,https://api.spotify.com/v1/audio-analysis/5AcCFMfAjIxq07cibmttEo,234005
0vgIkHFK8wpogVc1XCi18F,https://p.scdn.co/mp3-preview/4cd008368637faffad67a103c6c5d7b1ead70a42?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.739,0.409,2,-10.737,1,0.033,0.0178,0.848,0.0859,0.181,119.996,https://api.spotify.com/v1/audio-analysis/0vgIkHFK8wpogVc1XCi18F,224333
1eV81a6H4xDdpi8r2C4tQT,https://p.scdn.co/mp3-preview/e1992a20dac40abd96b1a362d6cf2e721ebc6ba9?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.783,0.616,7,-11.131,1,0.0691,0.00149,0.769,0.117,0.0734,125.023,https://api.spotify.com/v1/audio-analysis/1eV81a6H4xDdpi8r2C4tQT,216000
0ihobYmU0yxWaw0GpZFSpY,https://p.scdn.co/mp3-preview/f777245dad03cbceb92d37d2bde401f47ecf0c7e?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.798,0.726,7,-5.907,1,0.0486,0.00173,0.916,0.0876,0.38,128.025,https://api.spotify.com/v1/audio-analysis/0ihobYmU0yxWaw0GpZFSpY,407000
0evYoPRWnnQ6ACNC0LJPul,https://p.scdn.co/mp3-preview/4302215af698bc49906016ea9bd0b97aacfbb3a8?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.795,0.652,2,-8.042,1,0.0434,0.000379,0.881,0.0879,0.121,124.995,https://api.spotify.com/v1/audio-analysis/0evYoPRWnnQ6ACNC0LJPul,432000
4b67MDtD92iU5Rsys7yWgy,https://p.scdn.co/mp3-preview/a5d8ef410a35960b19cf3475f8b7911877867b34?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.638,0.365,8,-15.98,0,0.0437,0.797,0.934,0.112,0.17,116.012,https://api.spotify.com/v1/audio-analysis/4b67MDtD92iU5Rsys7yWgy,174893
3lYJLJUJiBQQLSGRmrM1jS,https://p.scdn.co/mp3-preview/3334aa77d7965235345fdb9da5db61243eff87b6?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.763,0.564,11,-7.788,0,0.0298,0.0294,0.048,0.29,0.337,112.989,https://api.spotify.com/v1/audio-analysis/3lYJLJUJiBQQLSGRmrM1jS,176283
3YgQmd3NhIymCCDmMpIX5w,https://p.scdn.co/mp3-preview/1a98fba0254855fbb29b77bfc2728b09f36ba6b7?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.82,0.682,0,-8.146,1,0.0514,0.0196,0.804,0.104,0.439,123.976,https://api.spotify.com/v1/audio-analysis/3YgQmd3NhIymCCDmMpIX5w,235537
77cHi3HzlrS8XDgue2WT8y,https://p.scdn.co/mp3-preview/3e558f5aaad389dd3c722e9c977995661c4fa358?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.678,0.713,8,-6.451,1,0.0487,0.00136,0.865,0.0837,0.19,127.993,https://api.spotify.com/v1/audio-analysis/77cHi3HzlrS8XDgue2WT8y,330000
5qHW3YD2L8vvtWtD7j5pmk,https://p.scdn.co/mp3-preview/6012989c468c5164d21354b48ff707921c460800?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.74,0.922,10,-7.719,0,0.0436,0.00616,0.691,0.149,0.54,125.021,https://api.spotify.com/v1/audio-analysis/5qHW3YD2L8vvtWtD7j5pmk,200649
3aAgQEbQUFMhXqk9fz3fcK,https://p.scdn.co/mp3-preview/f71158846467a248ad8c7ec8727fd5141ebf6d50?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.818,0.35,7,-12.34,1,0.0558,0.000299,0.0103,0.124,0.334,125.002,https://api.spotify.com/v1/audio-analysis/3aAgQEbQUFMhXqk9fz3fcK,179520
4WyhOKXtCkNVcgfTBpYaxm,https://p.scdn.co/mp3-preview/09f3963074df3d22d89cd2ea663a5aa812ae4230?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.794,0.307,3,-15.629,0,0.0486,0.674,0.935,0.0954,0.171,119.994,https://api.spotify.com/v1/audio-analysis/4WyhOKXtCkNVcgfTBpYaxm,346587
5erkBzi1uzfVzRotIEDevu,https://p.scdn.co/mp3-preview/0db7b1d35337b0b67531bcd2734f225eb1c75cf2?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.749,0.74,10,-8.528,0,0.0313,0.0005,0.154,0.112,0.887,128.012,https://api.spotify.com/v1/audio-analysis/5erkBzi1uzfVzRotIEDevu,211029
0vwwoC3JkR0Cinl4i3DqU6,https://p.scdn.co/mp3-preview/12a8d07349eb819c7080f747661ea3246d7045bf?cid=7596a347c632409f9829d4c3cb9fa3c7,minimal-techno,0.725,0.746,8,-9.47,1,0.0487,9.96e-05,0.84,0.113,0.0689,124.973,https://api.spotify.com/v1/audio-analysis/0vwwoC3JkR0Cinl4i3DqU6,243840
