id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6g2BiiVQqY5v1S4HIrM54F,https://p.scdn.co/mp3-preview/3cd1a6b46a178665bc0776da9424955df20aade0?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,https://api.spotify.com/v1/audio-analysis/6g2BiiVQqY5v1S4HIrM54F,151565
6Dc2tCivms1s2X9myWe4ni,https://p.scdn.co/mp3-preview/e626a8412bc04df2c057883a9ad8ca90d37dcf12?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,https://api.spotify.com/v1/audio-analysis/6Dc2tCivms1s2X9myWe4ni,89293
4CKIoO64EM5M37TkshbaQE,https://p.scdn.co/mp3-preview/ffbdd5e1b78b5693dbbe59590189e97c67e89bea?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.613,0.489,11,-13.509,0,0.0503,0.259,0.0,0.0696,0.898,145.278,https://api.spotify.com/v1/audio-analysis/4CKIoO64EM5M37TkshbaQE,208867
15ouqiBsgL12olEwP3COsH,https://p.scdn.co/mp3-preview/4e30992b1d80d3714ce310e1a08b163db94bfdb6?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-06,0.123,0.533,143.801,https://api.spotify.com/v1/audio-analysis/15ouqiBsgL12olEwP3COsH,214366
3SrnZHhXpgtvHerbxEDOWW,https://p.scdn.co/mp3-preview/7d0f4a97fa593cd141a80416690ef150477542c6?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.447,0.457,4,-10.969,1,0.0331,0.675,0.0,0.339,0.59,112.918,https://api.spotify.com/v1/audio-analysis/3SrnZHhXpgtvHerbxEDOWW,231493
426kUsOMW5p2VWEVNu5BxF,https://p.scdn.co/mp3-preview/366b8027694dbe265be0916586021b0416c7988c?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.693,0.577,8,-7.63,0,0.0322,0.65,0.0,0.0864,0.791,120.815,https://api.spotify.com/v1/audio-analysis/426kUsOMW5p2VWEVNu5BxF,195080
5N6pQ2vYtd3Rb9w7LC8PZ9,https://p.scdn.co/mp3-preview/1447377603e8c2bf5656417f78ab89a7aa155fa6?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.541,0.321,5,-14.418,1,0.0329,0.714,0.00345,0.101,0.549,133.531,https://api.spotify.com/v1/audio-analysis/5N6pQ2vYtd3Rb9w7LC8PZ9,200360
1mQ3ryvTBSWeEMkH0Ul4gK,https://p.scdn.co/mp3-preview/702d30f65b9d76d30cb76e1d1316681edecea1d6?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.583,0.418,1,-13.84,0,0.0296,0.797,0.96,0.103,0.695,122.853,https://api.spotify.com/v1/audio-analysis/1mQ3ryvTBSWeEMkH0Ul4gK,89333
4tAwP9QKeLEQJ2fgd1RWcY,https://p.scdn.co/mp3-preview/0bec50c0dc062c952fbc01412ae231921d2ce26f?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.518,0.25,9,-17.864,1,0.0269,0.6,0.000601,0.139,0.642,87.689,https://api.spotify.com/v1/audio-analysis/4tAwP9QKeLEQJ2fgd1RWcY,308133
2hXBS8q9rGMovfG1S8FB4F,https://p.scdn.co/mp3-preview/8472ac3a911e6ca004e1d4546b1ac7e61d3187dd?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.552,0.314,7,-20.681,1,0.0337,0.831,0.831,0.0861,0.873,144.921,https://api.spotify.com/v1/audio-analysis/2hXBS8q9rGMovfG1S8FB4F,176907
2koS4fD3kzizdnzWzyrxyT,https://p.scdn.co/mp3-preview/fc4d3268d35bcda3b3aab6f13e64658796885ed7?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.879,0.495,7,-10.584,0,0.0765,0.538,0.000333,0.0827,0.802,102.652,https://api.spotify.com/v1/audio-analysis/2koS4fD3kzizdnzWzyrxyT,313493
3ZhOHtPZ1JhDVFz4YaFqBn,https://p.scdn.co/mp3-preview/ae15f3bd7b209652bf57738fbf3bdef0905bb9ff?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.623,0.191,5,-22.171,1,0.0331,0.315,0.696,0.0587,0.646,121.189,https://api.spotify.com/v1/audio-analysis/3ZhOHtPZ1JhDVFz4YaFqBn,145960
0kfdvJhyb0QHBG1IM9Vlht,https://p.scdn.co/mp3-preview/9fcdb2613b659515fe0b49601d4bdaa805ce9048?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.722,0.208,9,-23.775,0,0.0466,0.481,0.881,0.119,0.88,116.793,https://api.spotify.com/v1/audio-analysis/0kfdvJhyb0QHBG1IM9Vlht,189307
1wFB3R7IklnHhrsu2Hngzl,https://p.scdn.co/mp3-preview/79747da04a8901752173ba8bcb411b1b53ee0aac?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.596,0.294,4,-15.145,1,0.0415,0.709,0.64,0.105,0.341,123.949,https://api.spotify.com/v1/audio-analysis/1wFB3R7IklnHhrsu2Hngzl,183302
5HFvMPiNjclAq8DbEAPWMw,https://p.scdn.co/mp3-preview/35c53d809d82a0fc92bebd14649e0c6bbe39213b?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.743,0.508,7,-8.024,1,0.0516,0.463,0.000153,0.223,0.256,91.002,https://api.spotify.com/v1/audio-analysis/5HFvMPiNjclAq8DbEAPWMw,170110
5LMDR9OJOVfRAB99Vr96zn,https://p.scdn.co/mp3-preview/5a46d6d11f65106b76486d807a1ed548ce5b5935?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.454,0.319,7,-14.334,1,0.0337,0.7,0.00196,0.32,0.308,132.336,https://api.spotify.com/v1/audio-analysis/5LMDR9OJOVfRAB99Vr96zn,163187
4lN2okBBRNDimttONXGggW,https://p.scdn.co/mp3-preview/ba9a368e65732bae5c7ab04de3593bc199f27b03?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.699,0.354,8,-16.487,0,0.0362,0.158,0.0,0.0689,0.751,119.909,https://api.spotify.com/v1/audio-analysis/4lN2okBBRNDimttONXGggW,199413
3pemsJqLI0GXY9tlQDn8yS,https://p.scdn.co/mp3-preview/652746babe7f82448ee5a4f4d447f870562c42b5?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.634,0.433,4,-9.922,0,0.185,0.718,0.0,0.138,0.562,143.075,https://api.spotify.com/v1/audio-analysis/3pemsJqLI0GXY9tlQDn8yS,161427
6A3Q8BVAAI2PW1s6MX4ZGF,https://p.scdn.co/mp3-preview/90500675a946110c07f3d2d6317e6ce68377a998?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.78,0.566,11,-9.289,1,0.05,0.323,0.000463,0.0814,0.281,111.019,https://api.spotify.com/v1/audio-analysis/6A3Q8BVAAI2PW1s6MX4ZGF,235600
2qndofldhCJ8D94cdWDuWH,https://p.scdn.co/mp3-preview/fc4517be6cb7fe438b8a08f62e5bb3851bbf51bf?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.5,0.572,3,-9.771,1,0.0405,0.562,0.000207,0.118,0.513,83.288,https://api.spotify.com/v1/audio-analysis/2qndofldhCJ8D94cdWDuWH,417533
4u0Xdy7BizHLrcPIf7c6h2,https://p.scdn.co/mp3-preview/778be222c1237432b8171515ae3bc2d776fee82d?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.564,0.521,0,-8.619,1,0.0461,0.606,0.000409,0.437,0.469,98.872,https://api.spotify.com/v1/audio-analysis/4u0Xdy7BizHLrcPIf7c6h2,254373
6XMDSWv7ZwM0BM0i0YJPOn,https://p.scdn.co/mp3-preview/b7d913263cc5041687fd999d63f44c5e0396e1d6?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.651,0.238,7,-18.08,0,0.12,0.902,1.87e-06,0.201,0.5,122.383,https://api.spotify.com/v1/audio-analysis/6XMDSWv7ZwM0BM0i0YJPOn,414200
75I2PsJIXQXA8cGaV8rPsy,https://p.scdn.co/mp3-preview/878d6476f8348438fb337eab72d7d46be342b6f5?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.721,0.432,1,-12.341,0,0.0655,0.486,0.0602,0.14,0.578,112.22,https://api.spotify.com/v1/audio-analysis/75I2PsJIXQXA8cGaV8rPsy,91941
1XjFyPzU5z3zbYJQETYGiZ,https://p.scdn.co/mp3-preview/529222bae02efe20b3154459fc48584cbd7bdc1e?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.615,0.319,4,-9.178,0,0.0376,0.639,0.0,0.142,0.828,90.998,https://api.spotify.com/v1/audio-analysis/1XjFyPzU5z3zbYJQETYGiZ,86760
0PHGV9pWYv91WCeCXhdWye,https://p.scdn.co/mp3-preview/635b4dc03c861532b5588c1c70ceeb417686bc05?cid=7596a347c632409f9829d4c3cb9fa3c7,mpb,0.65,0.322,7,-16.298,1,0.122,0.577,0.121,0.0712,0.448,136.007,https://api.spotify.com/v1/audio-analysis/0PHGV9pWYv91WCeCXhdWye,162867
