id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2UKkLqST2xWpK8n1b0Xr5Z,https://p.scdn.co/mp3-preview/580a41a9e79eb345731ddc997a232d74ff991608?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,https://api.spotify.com/v1/audio-analysis/2UKkLqST2xWpK8n1b0Xr5Z,255467
1jcQ040aWKeiUGJ2IcnFtV,https://p.scdn.co/mp3-preview/ed0eeab293476acb5b0619cf829dade690c52e07?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,https://api.spotify.com/v1/audio-analysis/1jcQ040aWKeiUGJ2IcnFtV,191000
1rpF77jsLBMG2QjCuhe0Sr,https://p.scdn.co/mp3-preview/e88696bf6f40b8a61f1309c861928ff295ab4040?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.417,0.0287,7,-25.066,1,0.0714,0.994,0.889,0.079,0.285,143.262,https://api.spotify.com/v1/audio-analysis/1rpF77jsLBMG2QjCuhe0Sr,264053
6itAMwzWAs4Hokpp75S9dJ,https://p.scdn.co/mp3-preview/dbecda9b1d50928c182247e6ee6132144e3c2bf5?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.441,0.26,8,-20.282,1,0.037,0.993,0.781,0.154,0.21,136.296,https://api.spotify.com/v1/audio-analysis/6itAMwzWAs4Hokpp75S9dJ,193477
1Yngco6ORQ8IlzCZwDN804,https://p.scdn.co/mp3-preview/9ce76fb370a4579b2ac1fecf5e9fa65577fa5418?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.378,0.0459,4,-20.628,0,0.0484,0.988,0.895,0.101,0.0852,147.481,https://api.spotify.com/v1/audio-analysis/1Yngco6ORQ8IlzCZwDN804,245409
0gsBQy8Q0eWlR67xDmoWFw,https://p.scdn.co/mp3-preview/fcd5a975ca5d25a5237c3390094867fc31a76e6b?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.279,0.234,7,-17.515,1,0.0396,0.975,0.871,0.0908,0.24,163.883,https://api.spotify.com/v1/audio-analysis/0gsBQy8Q0eWlR67xDmoWFw,172187
7vd1j4IDTU0koES9M8dvBQ,https://p.scdn.co/mp3-preview/5920c33b395e7c295e182a54df51e8a7b4f89f26?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.56,0.0519,8,-22.616,1,0.0423,0.99,0.905,0.117,0.182,132.691,https://api.spotify.com/v1/audio-analysis/7vd1j4IDTU0koES9M8dvBQ,260653
6GuEZARWlbWZpmzjQm2vtQ,https://p.scdn.co/mp3-preview/ccba239b1b496cf0202a5b767dfa8ef37f293ee2?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.464,0.032,10,-25.001,1,0.0593,0.971,0.81,0.092,0.324,110.771,https://api.spotify.com/v1/audio-analysis/6GuEZARWlbWZpmzjQm2vtQ,76273
2PCTrOWob0vs0io6pfGOYS,https://p.scdn.co/mp3-preview/9022047e38fc881f37ef7be52da89a943d56c5e1?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.239,0.173,11,-19.353,0,0.0362,0.981,0.929,0.16,0.131,72.718,https://api.spotify.com/v1/audio-analysis/2PCTrOWob0vs0io6pfGOYS,252253
0z308pq3ow9G4ZIhvTCsOO,https://p.scdn.co/mp3-preview/8cb4d93160895f6cb6908c35f165696e5f2764f8?cid=7596a347c632409f9829d4c3cb9fa3c7,new-age,0.56,0.0676,8,-18.027,1,0.0915,0.994,0.863,0.112,0.128,86.219,https://api.spotify.com/v1/audio-analysis/0z308pq3ow9G4ZIhvTCsOO,157294
