id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4TbNLKRLKlxZDlS0pu7Lsy,https://p.scdn.co/mp3-preview/7aa692a6bf0293507b962c6bb5634329ac15abe1?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,https://api.spotify.com/v1/audio-analysis/4TbNLKRLKlxZDlS0pu7Lsy,292333
7zrpoAJte9o12TzawqgdD0,https://p.scdn.co/mp3-preview/1b5998b31717d124ecf2f598163f99e6666d7454?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.241,0.367,7,-7.95,1,0.0311,0.844,0.00279,0.0873,0.302,135.267,https://api.spotify.com/v1/audio-analysis/7zrpoAJte9o12TzawqgdD0,250984
2vJAjPkVMPKkR3xd2wacZa,https://p.scdn.co/mp3-preview/7c0cd72949c2963b56d4b0c71eb4e65e8f5438e8?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.301,0.422,4,-7.561,1,0.029,0.62,0.0,0.0666,0.208,78.411,https://api.spotify.com/v1/audio-analysis/2vJAjPkVMPKkR3xd2wacZa,258400
3VAICuY2ax2yCLT7EhNeZE,https://p.scdn.co/mp3-preview/30a95607c9843f6ba606aa13e3429ff51718f7ca?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.237,0.476,7,-6.96,1,0.0326,0.876,0.00217,0.0962,0.391,105.54,https://api.spotify.com/v1/audio-analysis/3VAICuY2ax2yCLT7EhNeZE,245627
0AmA8MQue1LBuYZSAdBMsj,https://p.scdn.co/mp3-preview/ed22af472a70e199fe8e2bc584393b895eab630e?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.515,0.595,5,-6.76,0,0.0504,0.8,0.0,0.0746,0.704,124.334,https://api.spotify.com/v1/audio-analysis/0AmA8MQue1LBuYZSAdBMsj,244413
2hwnDLBhYrxlDIvaD1PzD1,https://p.scdn.co/mp3-preview/a448b1140d92a99f6ba1e34ea7ad8baed9baf45e?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.533,0.456,2,-6.394,1,0.0265,0.701,0.0,0.18,0.278,136.115,https://api.spotify.com/v1/audio-analysis/2hwnDLBhYrxlDIvaD1PzD1,265585
0Rk0yYKb57Yq1eXiEKX9r5,https://p.scdn.co/mp3-preview/36f44b1484c7f4539c36ffaecd5c71092a0ac826?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.229,0.376,7,-7.96,1,0.0309,0.843,0.00183,0.0864,0.256,100.105,https://api.spotify.com/v1/audio-analysis/0Rk0yYKb57Yq1eXiEKX9r5,251202
3pmHExKG66HFLf5xLP7BA8,https://p.scdn.co/mp3-preview/1ee50ad3741a6e6990ece06ef78d88015251f015?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.29,0.437,2,-6.102,1,0.0311,0.78,4.5e-06,0.074,0.125,138.066,https://api.spotify.com/v1/audio-analysis/3pmHExKG66HFLf5xLP7BA8,281307
32NmDEwNSfMknAtAT6XQEc,https://p.scdn.co/mp3-preview/1ee50ad3741a6e6990ece06ef78d88015251f015?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.29,0.437,2,-6.102,1,0.0311,0.78,4.5e-06,0.074,0.125,138.066,https://api.spotify.com/v1/audio-analysis/32NmDEwNSfMknAtAT6XQEc,281307
3r5h5MefMhBOxGl5X4MVQf,https://p.scdn.co/mp3-preview/1ee50ad3741a6e6990ece06ef78d88015251f015?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.29,0.437,2,-6.102,1,0.0311,0.78,4.5e-06,0.074,0.125,138.066,https://api.spotify.com/v1/audio-analysis/3r5h5MefMhBOxGl5X4MVQf,281307
6kD8y0JT0WE0VmFFrWPFLl,https://p.scdn.co/mp3-preview/36f44b1484c7f4539c36ffaecd5c71092a0ac826?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.229,0.376,7,-7.96,1,0.0309,0.843,0.00183,0.0864,0.256,100.105,https://api.spotify.com/v1/audio-analysis/6kD8y0JT0WE0VmFFrWPFLl,251202
7yaTcvSpSKMqELfNkz9OsJ,https://p.scdn.co/mp3-preview/36f44b1484c7f4539c36ffaecd5c71092a0ac826?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.229,0.376,7,-7.96,1,0.0309,0.843,0.00183,0.0864,0.256,100.105,https://api.spotify.com/v1/audio-analysis/7yaTcvSpSKMqELfNkz9OsJ,251202
4t90YkTzNWjis7HM2NqQLQ,https://p.scdn.co/mp3-preview/bc5102ad8061bbd549a63c88199b86b17b4c6c38?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.219,0.362,9,-8.615,1,0.0327,0.794,1.03e-05,0.112,0.233,89.819,https://api.spotify.com/v1/audio-analysis/4t90YkTzNWjis7HM2NqQLQ,189478
3XbuqATuVYo20LysQKShOW,https://p.scdn.co/mp3-preview/a16b47d15ee8e6bfbbdd4b10584dcfcecfda7261?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.223,0.268,1,-9.468,1,0.0304,0.912,0.0,0.108,0.189,90.971,https://api.spotify.com/v1/audio-analysis/3XbuqATuVYo20LysQKShOW,239453
4d8VxP4A2pzIKravl7ymLR,https://p.scdn.co/mp3-preview/248251236308c35a8e6ab76d0cf122de25dd6a32?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.528,0.46,5,-10.564,0,0.0499,0.821,0.0,0.0547,0.708,124.704,https://api.spotify.com/v1/audio-analysis/4d8VxP4A2pzIKravl7ymLR,246880
5WHnE8MsLFHqSUwecrs7WO,https://p.scdn.co/mp3-preview/660ba15bfe1c0a8087050d968c1d118bc3dfe7d9?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.521,0.502,5,-8.521,0,0.0287,0.886,0.02,0.188,0.378,95.028,https://api.spotify.com/v1/audio-analysis/5WHnE8MsLFHqSUwecrs7WO,241232
6cPLCU7hKjgjvLWzCevl7R,https://p.scdn.co/mp3-preview/2b531f7f426cc9a3ca9086105d9787eaa4cfd9f6?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.533,0.456,2,-6.392,1,0.0265,0.703,0.0,0.18,0.289,136.117,https://api.spotify.com/v1/audio-analysis/6cPLCU7hKjgjvLWzCevl7R,265585
74WjYdm3Lvbwnds4thYPUU,https://p.scdn.co/mp3-preview/cbf9662dcd8d072d6df97413fd3186688acb79b6?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,https://api.spotify.com/v1/audio-analysis/74WjYdm3Lvbwnds4thYPUU,177333
1sEC3X76vXgpsgnfaXEMwR,https://p.scdn.co/mp3-preview/6702b50337fe00d9c6746207ab65b8c48847d63f?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.194,0.296,3,-10.429,1,0.0322,0.741,2.82e-05,0.0862,0.121,91.547,https://api.spotify.com/v1/audio-analysis/1sEC3X76vXgpsgnfaXEMwR,273573
6JY1Bv099vhkeAHuSjNlQJ,https://p.scdn.co/mp3-preview/5073df3cb46fc91ac93a2dd26dd0e5c52cf52b9b?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.194,0.343,11,-8.051,1,0.0307,0.834,0.000781,0.0934,0.0745,87.919,https://api.spotify.com/v1/audio-analysis/6JY1Bv099vhkeAHuSjNlQJ,288680
3By9jCy6b4dv5XnlhvIWwx,https://p.scdn.co/mp3-preview/c2f2a3b99978851d0b5822b4285661d87de13c96?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,https://api.spotify.com/v1/audio-analysis/3By9jCy6b4dv5XnlhvIWwx,134747
7go4n83IV0OO5Ztd1DlDh2,https://p.scdn.co/mp3-preview/ee91682501ad984645f2aaa7f910416d268e2f26?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.286,0.322,5,-9.288,1,0.0317,0.651,0.000335,0.0994,0.109,124.96,https://api.spotify.com/v1/audio-analysis/7go4n83IV0OO5Ztd1DlDh2,233893
41ujv4mhxlqR8nlnieDpDp,https://p.scdn.co/mp3-preview/93d609339c124b1efaaa2ce0fe551ffba7f97cc1?cid=7596a347c632409f9829d4c3cb9fa3c7,opera,0.424,0.214,10,-17.688,1,0.0763,0.962,2.9e-05,0.681,0.282,113.211,https://api.spotify.com/v1/audio-analysis/41ujv4mhxlqR8nlnieDpDp,175507
