id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4B7mXGdCLQFulSxPTIEjPu,https://p.scdn.co/mp3-preview/c7a37185962af27220764335f51906a189cc4048?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.824,0.819,4,-4.336,0,0.0786,0.125,2.45e-05,0.137,0.616,92.001,https://api.spotify.com/v1/audio-analysis/4B7mXGdCLQFulSxPTIEjPu,182863
2oNSHvGBGZIrZouRAA1eaX,https://p.scdn.co/mp3-preview/9898a2cfbcf6022d083a41dd7c5edb8ff0aa4e0c?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.825,0.758,9,-1.73,0,0.238,0.0895,0.0,0.0661,0.828,176.059,https://api.spotify.com/v1/audio-analysis/2oNSHvGBGZIrZouRAA1eaX,170397
17UMDTqVeX3SqvgKr8kSmF,https://p.scdn.co/mp3-preview/89076d6ada16624457474a7d5e0685ee1bbaefcc?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,https://api.spotify.com/v1/audio-analysis/17UMDTqVeX3SqvgKr8kSmF,157837
7DByUXWmz1lQau0HLmdg1v,https://p.scdn.co/mp3-preview/89076d6ada16624457474a7d5e0685ee1bbaefcc?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,https://api.spotify.com/v1/audio-analysis/7DByUXWmz1lQau0HLmdg1v,157837
1wx6JALNy9KXwndVziEUKw,https://p.scdn.co/mp3-preview/85b5770f5ba60e8334c15ba66532f4a024cc6ca4?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.422,0.538,7,-9.378,1,0.0514,0.669,0.0,0.171,0.353,139.189,https://api.spotify.com/v1/audio-analysis/1wx6JALNy9KXwndVziEUKw,272693
3SWjpNMVUi5UXz096NbfPr,https://p.scdn.co/mp3-preview/3bd15993639d25a4fe13f9942a4c7c8a389e8eef?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.518,0.799,8,-4.316,1,0.123,0.0146,0.000189,0.787,0.882,92.02,https://api.spotify.com/v1/audio-analysis/3SWjpNMVUi5UXz096NbfPr,206277
1jHgfC8T5KxUyC5Ldw6lk9,https://p.scdn.co/mp3-preview/ae6ed542fd79d203a6a861b9ee8579764f2761bc?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.805,0.767,5,-5.612,1,0.0349,0.748,1.66e-05,0.35,0.97,135.06,https://api.spotify.com/v1/audio-analysis/1jHgfC8T5KxUyC5Ldw6lk9,142152
6u0EAxf1OJTLS7CvInuNd7,https://p.scdn.co/mp3-preview/d69df7c00ea2925daf4d84e67018916dca09319f?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.876,0.55,2,-5.464,1,0.152,0.0227,4.52e-05,0.294,0.557,129.924,https://api.spotify.com/v1/audio-analysis/6u0EAxf1OJTLS7CvInuNd7,201532
4PQ5AInr4YoBauth9YPduL,https://p.scdn.co/mp3-preview/3f6c0c65b69c2a3080d8631cc1ad77a4e8db53fc?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.73,0.966,11,-1.794,0,0.0619,0.081,7.93e-05,0.0946,0.891,168.091,https://api.spotify.com/v1/audio-analysis/4PQ5AInr4YoBauth9YPduL,148049
5fgbdhfoZMFgqdWUZR81lZ,https://p.scdn.co/mp3-preview/9898a2cfbcf6022d083a41dd7c5edb8ff0aa4e0c?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.825,0.758,9,-1.73,0,0.238,0.0895,0.0,0.0661,0.828,176.059,https://api.spotify.com/v1/audio-analysis/5fgbdhfoZMFgqdWUZR81lZ,170397
7e1VoRlNumuEkXlITMHKLE,https://p.scdn.co/mp3-preview/1cdbdd1e05a6065cfe1c11ca2d276a14063c74e2?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.91,0.604,6,-4.392,0,0.082,0.448,0.0,0.0863,0.807,110.075,https://api.spotify.com/v1/audio-analysis/7e1VoRlNumuEkXlITMHKLE,180788
3V7jLMYvvg4BHi4tmDveNc,https://p.scdn.co/mp3-preview/d9e154ae442d705bea548a8375e8d93c7b470fc2?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.904,0.564,0,-4.779,1,0.121,0.0368,0.0,0.054,0.843,133.029,https://api.spotify.com/v1/audio-analysis/3V7jLMYvvg4BHi4tmDveNc,148577
35COLcFjvONwVv6jkG23gI,https://p.scdn.co/mp3-preview/a8021404c8d6b2e413f544921e31af83399b16f6?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.589,0.842,5,-4.86,1,0.0372,0.00178,0.0,0.113,0.657,164.163,https://api.spotify.com/v1/audio-analysis/35COLcFjvONwVv6jkG23gI,136012
7ARoqP7G8UYW8SyYPyPp7k,https://p.scdn.co/mp3-preview/206d2b01c1e579b7c4f806d930aa1355d7c603b7?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.703,0.806,7,-3.563,1,0.0594,0.06,0.00661,0.375,0.704,141.984,https://api.spotify.com/v1/audio-analysis/7ARoqP7G8UYW8SyYPyPp7k,136901
5tQj2mfKL21L9mQ643z5zw,https://p.scdn.co/mp3-preview/a8021404c8d6b2e413f544921e31af83399b16f6?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.589,0.842,5,-4.86,1,0.0372,0.00178,0.0,0.113,0.657,164.163,https://api.spotify.com/v1/audio-analysis/5tQj2mfKL21L9mQ643z5zw,136012
2plRom0urixt6BE8t7kOhQ,https://p.scdn.co/mp3-preview/b9bccadb646cc14424129e4f0f6705c778f74292?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.692,0.639,0,-6.717,1,0.0352,0.00727,0.0,0.199,0.733,140.059,https://api.spotify.com/v1/audio-analysis/2plRom0urixt6BE8t7kOhQ,194422
71fwkaKdNrxiZZbkzSqmFJ,https://p.scdn.co/mp3-preview/453962d48b2a7cc48861c1f530df7060fd55a728?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.874,0.654,0,-5.529,0,0.309,0.197,0.0,0.182,0.642,150.016,https://api.spotify.com/v1/audio-analysis/71fwkaKdNrxiZZbkzSqmFJ,176194
5r9CZJMoMmxio2AnJdxuDS,https://p.scdn.co/mp3-preview/c3c1682241fad363d47d02ffd054ea2be9bc5c64?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.437,0.798,2,-3.928,1,0.0792,0.603,0.0,0.552,0.706,157.828,https://api.spotify.com/v1/audio-analysis/5r9CZJMoMmxio2AnJdxuDS,521088
6CF085Ol0cVda1WqelybEQ,https://p.scdn.co/mp3-preview/ec30c95a00b72cb3f2db76328a236d09982cca15?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.732,0.604,0,-7.472,1,0.0443,0.0112,0.0,0.219,0.732,139.982,https://api.spotify.com/v1/audio-analysis/6CF085Ol0cVda1WqelybEQ,195429
7eeLYvJsK5QiDeX1loY9rW,https://p.scdn.co/mp3-preview/2eb71d86a120f625ae419a30a36ca77773b599dc?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.752,0.681,11,-6.684,0,0.299,0.0195,0.0,0.0353,0.648,73.241,https://api.spotify.com/v1/audio-analysis/7eeLYvJsK5QiDeX1loY9rW,195619
4cno0k9jDEFpLAQyHNjqVx,https://p.scdn.co/mp3-preview/95abf2cbb8584d029e48631a9e5c2287da860f51?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.785,0.74,1,-5.374,1,0.172,0.0205,8.28e-05,0.22,0.746,100.057,https://api.spotify.com/v1/audio-analysis/4cno0k9jDEFpLAQyHNjqVx,166265
3ZHRiFQZaJXRvnhUt43pqO,https://p.scdn.co/mp3-preview/aba2a3b47b2abc96ee7136f76c4978bcb5c0e2bf?cid=7596a347c632409f9829d4c3cb9fa3c7,pagode,0.626,0.671,5,-7.799,1,0.0284,0.335,2.78e-06,0.144,0.616,129.988,https://api.spotify.com/v1/audio-analysis/3ZHRiFQZaJXRvnhUt43pqO,245720
