id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6Kx5jDiq1e16OQd74gYUMe,https://p.scdn.co/mp3-preview/9866269b7bea83b3635f549354f1351f75b8cda6?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.702,0.839,6,-3.954,0,0.0744,0.0232,0.000261,0.0932,0.348,112.516,https://api.spotify.com/v1/audio-analysis/6Kx5jDiq1e16OQd74gYUMe,126133
1GaoScLZNNb4AFSlGUvQaF,https://p.scdn.co/mp3-preview/9866269b7bea83b3635f549354f1351f75b8cda6?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.702,0.839,6,-3.954,0,0.0744,0.0232,0.000261,0.0932,0.348,112.516,https://api.spotify.com/v1/audio-analysis/1GaoScLZNNb4AFSlGUvQaF,126133
5JrjnX3KBzOxEvIJzJpbIS,https://p.scdn.co/mp3-preview/42448881d743f3b27a87672ff1be64b6197603fa?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.678,0.889,6,-5.213,0,0.127,0.126,0.0,0.718,0.509,165.039,https://api.spotify.com/v1/audio-analysis/5JrjnX3KBzOxEvIJzJpbIS,178819
0SIC0xUfpOb5CJmf3koJNg,https://p.scdn.co/mp3-preview/6b62fa4b2483a1da37a7ca8c2ea5bd9c7a05024d?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782,156.941,https://api.spotify.com/v1/audio-analysis/0SIC0xUfpOb5CJmf3koJNg,183174
7v9Blc9GQoRxgqkwNWGgxW,https://p.scdn.co/mp3-preview/6b62fa4b2483a1da37a7ca8c2ea5bd9c7a05024d?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782,156.941,https://api.spotify.com/v1/audio-analysis/7v9Blc9GQoRxgqkwNWGgxW,183174
5im5oaHM9K43BUtL1QclMx,https://p.scdn.co/mp3-preview/6b62fa4b2483a1da37a7ca8c2ea5bd9c7a05024d?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782,156.941,https://api.spotify.com/v1/audio-analysis/5im5oaHM9K43BUtL1QclMx,183174
338I7EGy0Y4GPGdkIIyjYZ,https://p.scdn.co/mp3-preview/3aad2c71182c3cc346c867951ba86bfe5610392c?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.547,0.813,8,-6.425,1,0.314,0.0514,0.0,0.147,0.388,149.942,https://api.spotify.com/v1/audio-analysis/338I7EGy0Y4GPGdkIIyjYZ,166347
3zuSOwViyYAnksYeJxpxp1,https://p.scdn.co/mp3-preview/3aad2c71182c3cc346c867951ba86bfe5610392c?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.547,0.813,8,-6.425,1,0.314,0.0514,0.0,0.147,0.388,149.942,https://api.spotify.com/v1/audio-analysis/3zuSOwViyYAnksYeJxpxp1,166347
3zAjs7SztBA3zrJjfUCVV9,https://p.scdn.co/mp3-preview/119f01740fad3f0e0675c93d9761e5599fff123e?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.565,0.979,7,-5.456,0,0.0692,0.000251,3.83e-06,0.937,0.508,130.0,https://api.spotify.com/v1/audio-analysis/3zAjs7SztBA3zrJjfUCVV9,220507
4LW8BzORZqhzLOXAh7LH9K,https://p.scdn.co/mp3-preview/84e11da3d1bdf5647fbc4e886310357946318de0?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.635,0.996,7,-3.107,1,0.069,0.0879,0.0,0.158,0.67,130.033,https://api.spotify.com/v1/audio-analysis/4LW8BzORZqhzLOXAh7LH9K,239053
5QLFOr19S3zLE6f9bOyHWT,https://p.scdn.co/mp3-preview/d64fd90b74b8e99138174afe8678c92b5d00d048?cid=7596a347c632409f9829d4c3cb9fa3c7,party,0.767,0.903,10,-3.749,1,0.0395,0.102,0.0,0.0793,0.978,121.997,https://api.spotify.com/v1/audio-analysis/5QLFOr19S3zLE6f9bOyHWT,232213
