id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4h9wh7iOZ0GGn8QVp4RAOB,https://p.scdn.co/mp3-preview/4ab57c06d8383f35dfbdb145c602e3102f918b63?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486
6sy3LkhNFjJWlaeSMNwQ62,https://p.scdn.co/mp3-preview/8245d51ec458330c6cddb9c3af051ba7acdf34fb?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840
29d0nY7TzCoi22XBqDQkiP,https://p.scdn.co/mp3-preview/62b0a87cbc73f1702da2bb1bea8fa1e15265b9fe?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,https://api.spotify.com/v1/audio-analysis/29d0nY7TzCoi22XBqDQkiP,300840
1jDJFeK9x3OZboIAHsY9k2,https://p.scdn.co/mp3-preview/04b8cf046d91b46893fb13d5d8516cb9a2e5e7e7?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,https://api.spotify.com/v1/audio-analysis/1jDJFeK9x3OZboIAHsY9k2,183440
3gdewACMIVMEWVbyb8O9sY,https://p.scdn.co/mp3-preview/85de2464569276664e9461936aaceae0539b43ed?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,https://api.spotify.com/v1/audio-analysis/3gdewACMIVMEWVbyb8O9sY,281613
0ll8uFnc0nANY35E0Lfxvg,https://p.scdn.co/mp3-preview/ee32d2676cba3e37654fb3759bbd41219047136e?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,https://api.spotify.com/v1/audio-analysis/0ll8uFnc0nANY35E0Lfxvg,236160
5fVZC9GiM4e8vu99W0Xf6J,https://p.scdn.co/mp3-preview/8af2ede37b4e62bdbd1dcebdc5cb6576f626e082?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533
5r43qanLhUCdBj8HN3fa6B,https://p.scdn.co/mp3-preview/f0e5f204ce72916e9de270e8e90e06f64948f35d?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,https://api.spotify.com/v1/audio-analysis/5r43qanLhUCdBj8HN3fa6B,163855
5zA8vzDGqPl2AzZkEYQGKh,https://p.scdn.co/mp3-preview/0c0f4e77274f520db877677d654b55b2531ea468?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,https://api.spotify.com/v1/audio-analysis/5zA8vzDGqPl2AzZkEYQGKh,197707
4U45aEWtQhrm8A5mxPaFZ7,https://p.scdn.co/mp3-preview/bd86b0dc5e1e60cfb05ababa0f0bbd2473d2d68f?cid=7596a347c632409f9829d4c3cb9fa3c7,piano,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,https://api.spotify.com/v1/audio-analysis/4U45aEWtQhrm8A5mxPaFZ7,214240
