id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5OGopZxmKs2JNFep3HVi39,https://p.scdn.co/mp3-preview/711c998a82e07418d5db2e1d6adad1f74a338db0?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.402,0.223,7,-14.138,1,0.0436,0.554,0.695,0.24,0.196,126.941,https://api.spotify.com/v1/audio-analysis/5OGopZxmKs2JNFep3HVi39,77558
5ORfiDqlbgR6df337RSIJc,https://p.scdn.co/mp3-preview/e8eb42596f89a072cf7c078a12d6f493f79a8e18?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.775,0.741,2,-5.097,1,0.0404,0.0805,0.0,0.545,0.502,119.995,https://api.spotify.com/v1/audio-analysis/5ORfiDqlbgR6df337RSIJc,267008
43pEIEJKrXmA0kVlPjmqUz,https://p.scdn.co/mp3-preview/5ad6d1a477577ede43dea40c7947ccab3dd70144?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.636,0.464,5,-10.003,1,0.0415,0.393,0.00019,0.315,0.143,107.042,https://api.spotify.com/v1/audio-analysis/43pEIEJKrXmA0kVlPjmqUz,172872
6FAYpZ4jve8vpvTwUvjK6H,https://p.scdn.co/mp3-preview/4fa1f49f29910161d531f3bf1315804d28393158?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.817,0.738,7,-7.639,1,0.0748,0.0964,0.0,0.331,0.616,104.964,https://api.spotify.com/v1/audio-analysis/6FAYpZ4jve8vpvTwUvjK6H,208164
0CtZpaOhtzvLV3FfcsVpQo,https://p.scdn.co/mp3-preview/73c776bfe4f1beb45a3cae8b864f2792c48bb778?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,https://api.spotify.com/v1/audio-analysis/0CtZpaOhtzvLV3FfcsVpQo,258474
6IbtsrVmoZoYNp4aLtEz0F,https://p.scdn.co/mp3-preview/b6d72d453729a58ee31ffd30e93d5b4e7c825f2c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.606,0.856,6,-10.917,0,0.0502,0.152,0.0318,0.118,0.805,156.078,https://api.spotify.com/v1/audio-analysis/6IbtsrVmoZoYNp4aLtEz0F,342702
31buh05i3fx8N070u17FkC,https://p.scdn.co/mp3-preview/88998c77e2d571e22dda40d422f04b7c82ed12b5?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.414,0.547,5,-9.116,0,0.0597,0.569,0.0153,0.59,0.629,98.939,https://api.spotify.com/v1/audio-analysis/31buh05i3fx8N070u17FkC,214635
2kAFJVP0I6PJByzfuqaD6J,https://p.scdn.co/mp3-preview/6ee0cbad1edd38fa837af92461dc7a4f72ebdfa0?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.682,0.864,9,-8.474,0,0.0687,0.363,8.03e-06,0.379,0.776,118.597,https://api.spotify.com/v1/audio-analysis/2kAFJVP0I6PJByzfuqaD6J,326451
5Yabj0ajU7qSp6QU0bAG1b,https://p.scdn.co/mp3-preview/79a9d5c782caacf87c95e317cfe15bcd223f67d5?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.645,0.664,11,-10.474,1,0.0473,0.393,0.0119,0.509,0.727,121.977,https://api.spotify.com/v1/audio-analysis/5Yabj0ajU7qSp6QU0bAG1b,59082
3TgofVkT9dJCGHlAfxb3PO,https://p.scdn.co/mp3-preview/8e95f3f8df0e04506e52c7796290987dbac7ada1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop-film,0.292,0.571,0,-10.724,0,0.117,0.569,0.176,0.488,0.351,79.28,https://api.spotify.com/v1/audio-analysis/3TgofVkT9dJCGHlAfxb3PO,212312
