id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0yLdNVWF3Srea0uzk55zFn,https://p.scdn.co/mp3-preview/f2857681239dee871da7055d2f725ea6dcd1b4d8?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455
3OHfY25tqY28d16oZczHc8,https://p.scdn.co/mp3-preview/ac3426aecc4cc1fc7c3961aee6e6389c804f01b8?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,https://api.spotify.com/v1/audio-analysis/3OHfY25tqY28d16oZczHc8,153947
1Qrg8KqiBpW07V7PNxwwwL,https://p.scdn.co/mp3-preview/89777141363562da8e98f2130988bf1ca0e3ab9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947
3nqQXoyQOWXiESFLlDF1hG,https://p.scdn.co/mp3-preview/8bd48084f2d91737e1637635c6b7d6427f3a03b5?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943
1xK59OXxi2TAAAbmZK0kBL,https://p.scdn.co/mp3-preview/f2c3858f1d1ce8da8a69daac12a0f3e0ff9a0743?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631
0V3wPSX9ygBnCm8psDIegu,https://p.scdn.co/mp3-preview/864b792322cb915f212e5accde8e9b2edc9c5f9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690
2GAhgAjOhEmItWLfgisyOn,https://p.scdn.co/mp3-preview/7153664aa0007d7cecd4f108993bedb7fc36fb5e?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,https://api.spotify.com/v1/audio-analysis/2GAhgAjOhEmItWLfgisyOn,181080
78Sw5GDo6AlGwTwanjXbGh,https://p.scdn.co/mp3-preview/fd7658ea220d735fa5dc1e1b26d44194c747f9dc?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,https://api.spotify.com/v1/audio-analysis/78Sw5GDo6AlGwTwanjXbGh,242485
4iZ4pt7kvcaH6Yo8UoZ4s2,https://p.scdn.co/mp3-preview/ad6ccedc11dbc4ae4c29ed2516dc21201eef84f4?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800
2Ch7LmS7r2Gy2kc64wv3Bz,https://p.scdn.co/mp3-preview/ea90471bd914006f8a33e73cf88c454c7b9a72a2?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253
4LRPiXqCikLlN15c3yImP7,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303
5jQI2r1RdgtuT8S3iG8zFC,https://p.scdn.co/mp3-preview/d864b393365be20618aec41fe6d650b310324e2b?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396
1qEmFfgcLObUfQm0j1W2CK,https://p.scdn.co/mp3-preview/2ecd677e5a89b21a82eee393bc252a18da670d79?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955
2LBqCSwhJGcFQeTHMVGwy3,https://p.scdn.co/mp3-preview/254df9dfdf7824cf2365dab8da5995d69130d633?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253
0WtM2NBVQNNJLh6scP13H8,https://p.scdn.co/mp3-preview/b58a8b72b826a0630750c921843d8fd45ec6bb9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318
1Y3LN4zO1Edc2EluIoSPJN,https://p.scdn.co/mp3-preview/18eff0f696d39c89680387906d8934e9d7175517?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440
2wSTnntOPRi7aQneobFtU4,https://p.scdn.co/mp3-preview/2496cb6997d7e74bbb32d43b9c6e9152633536e7?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,https://api.spotify.com/v1/audio-analysis/2wSTnntOPRi7aQneobFtU4,181840
2TktkzfozZifbQhXjT6I33,https://p.scdn.co/mp3-preview/bf5c6d03125e2e930f77b2a2083e565e2cbddeb3?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,https://api.spotify.com/v1/audio-analysis/2TktkzfozZifbQhXjT6I33,216680
7MXVkk9YMctZqd1Srtv4MB,https://p.scdn.co/mp3-preview/b94e362a55839c5f61ca462d9f41a8f849cda5ed?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453
1eIXYZWEfJO3Na2LCCnIJE,https://p.scdn.co/mp3-preview/f0d373f1971dfbf2cc32a437c65bbabe4a1e4ea6?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,https://api.spotify.com/v1/audio-analysis/1eIXYZWEfJO3Na2LCCnIJE,183893
1cKHdTo9u0ZymJdPGSh6nq,https://p.scdn.co/mp3-preview/0cc27bc73fceb8ce0763e231dce7d4bdf3c26f1e?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,https://api.spotify.com/v1/audio-analysis/1cKHdTo9u0ZymJdPGSh6nq,241067
4h5x3XHLVYFJaItKuO2rhy,https://p.scdn.co/mp3-preview/714bff059b143a6ec04f9bf9f288e4c8fb667ffa?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,https://api.spotify.com/v1/audio-analysis/4h5x3XHLVYFJaItKuO2rhy,218587
4WtwEbVZVeqoy6zMSCQQFT,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/4WtwEbVZVeqoy6zMSCQQFT,221307
4ofQDRlhJX7YBIxc1U3Bqv,https://p.scdn.co/mp3-preview/530bba65a21e931c68d8b05fb093bb541b21bbe9?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,https://api.spotify.com/v1/audio-analysis/4ofQDRlhJX7YBIxc1U3Bqv,239560
0XOWpGtFIC6lKcEVOZPCwW,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/0XOWpGtFIC6lKcEVOZPCwW,221307
5ISs80mnPl6L0fwRd1qLbI,https://p.scdn.co/mp3-preview/530bba65a21e931c68d8b05fb093bb541b21bbe9?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,https://api.spotify.com/v1/audio-analysis/5ISs80mnPl6L0fwRd1qLbI,239560
2IYMbCGxDbXx05zJQHq48k,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/2IYMbCGxDbXx05zJQHq48k,221307
3gCAGvqTlFBz8Rjf6eEUVa,https://p.scdn.co/mp3-preview/a51453d1d9f7ed5790d98f1a09ca55640323a056?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,https://api.spotify.com/v1/audio-analysis/3gCAGvqTlFBz8Rjf6eEUVa,235767
0rCaOCuZlOKwTxYLzDuuYs,https://p.scdn.co/mp3-preview/682b62651ddeb47e1f5b62a9fff22844aeefcb7b?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,https://api.spotify.com/v1/audio-analysis/0rCaOCuZlOKwTxYLzDuuYs,214707
4QXAcy3eYUZNVN64SUA2o5,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/4QXAcy3eYUZNVN64SUA2o5,221307
6ch5AyAs3uohWaIzHwNsN2,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/6ch5AyAs3uohWaIzHwNsN2,221307
3xOpfdjsWvxD3FHnp53i4d,https://p.scdn.co/mp3-preview/ca333ce3e9d5b7f1ccb44869f07a37d1c2a6c6f1?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,https://api.spotify.com/v1/audio-analysis/3xOpfdjsWvxD3FHnp53i4d,221307
7DgCGS9O2bfgog1VBcjjbZ,https://p.scdn.co/mp3-preview/864b792322cb915f212e5accde8e9b2edc9c5f9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,https://api.spotify.com/v1/audio-analysis/7DgCGS9O2bfgog1VBcjjbZ,200690
2oHEBFrHyoZ8O4IsXC1vkR,https://p.scdn.co/mp3-preview/864b792322cb915f212e5accde8e9b2edc9c5f9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,https://api.spotify.com/v1/audio-analysis/2oHEBFrHyoZ8O4IsXC1vkR,200690
4o60AegSGrGgdQ6ypc9Ach,https://p.scdn.co/mp3-preview/864b792322cb915f212e5accde8e9b2edc9c5f9c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,https://api.spotify.com/v1/audio-analysis/4o60AegSGrGgdQ6ypc9Ach,200690
7fBv7CLKzipRk6EC6TWHOB,https://p.scdn.co/mp3-preview/4c297f8b6e06c86d14366b851daea6c3438d0490?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253
6eT2V7nKXyMf47TwPbtgAD,https://p.scdn.co/mp3-preview/8dba871906914cb9af1d061c5fd75d32ea61655c?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,https://api.spotify.com/v1/audio-analysis/6eT2V7nKXyMf47TwPbtgAD,203733
4Dvkj6JhhA12EX05fT7y2e,https://p.scdn.co/mp3-preview/f0c2adc40766cd8c1ec3f2bc6e1cc293a77ba684?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303
2M4tVhRXucLE9M3STv21Yi,https://p.scdn.co/mp3-preview/fe17c247cd2a7bcde736c4ccbe46847056dd1c2d?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.781,0.717,10,-6.825,1,0.169,0.0297,0.0028,0.273,0.629,119.972,https://api.spotify.com/v1/audio-analysis/2M4tVhRXucLE9M3STv21Yi,171562
3GYlZ7tbxLOxe6ewMNVTkw,https://p.scdn.co/mp3-preview/bdb7c711d4b7415612a44a2725d0b71eea113ac4?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,https://api.spotify.com/v1/audio-analysis/3GYlZ7tbxLOxe6ewMNVTkw,281381
0VjIjW4GlUZAMYd2vXMi3b,https://p.scdn.co/mp3-preview/1be2885ffbef516651ecd10e3895d8a1bce8dbc8?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040
09mEdoA6zrmBPgTEN5qXmN,https://p.scdn.co/mp3-preview/d97fe796ca75b0dda523a00fdd8035a445949ff7?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373
6BQrmjAgPfPTwILoFEK3Hd,https://p.scdn.co/mp3-preview/0a63c6ecea18e370421fe5c3202bdab57d566bd9?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,https://api.spotify.com/v1/audio-analysis/6BQrmjAgPfPTwILoFEK3Hd,225947
26hOm7dTtBi0TdpDGl141t,https://p.scdn.co/mp3-preview/8e4d612d4b99565ac4643ffa263e4b33617b67a3?cid=7596a347c632409f9829d4c3cb9fa3c7,pop,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,https://api.spotify.com/v1/audio-analysis/26hOm7dTtBi0TdpDGl141t,211667
