id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2MLHyLy5z5l5YRp7momlgw,https://p.scdn.co/mp3-preview/284df217b1cf5af08df6bd5300784fe06c1aed70?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307
6VoIBz0VhCyz7OdEoRYDiA,https://p.scdn.co/mp3-preview/d8dc4fe594db85646aa1849afa1d27f96fad2a94?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA,258827
27L8sESb3KR79asDUBu8nW,https://p.scdn.co/mp3-preview/eaacc52f20df3a6e65ade9aeb8eaddfe675a23c7?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,197987
3mwvKOyMmG77zZRunnxp9E,https://p.scdn.co/mp3-preview/133a8ef3b5d627f6df95382f131249be87c4ec91?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227
1yKu2MhpwzDXXH2tzG6xoa,https://p.scdn.co/mp3-preview/40dcf62c6f0d2b828016d3df56629ff03156ebab?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904,https://api.spotify.com/v1/audio-analysis/1yKu2MhpwzDXXH2tzG6xoa,196093
5WhtlIoxoZrMmuaWWEQhwV,https://p.scdn.co/mp3-preview/3965c73640df58cfa41427eefe9736df17c23ce6?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.457,0.618,6,-6.682,1,0.0296,0.00114,0.00257,0.0679,0.579,80.184,https://api.spotify.com/v1/audio-analysis/5WhtlIoxoZrMmuaWWEQhwV,305533
7HKxTNVlkHsfMLhigmhC0I,https://p.scdn.co/mp3-preview/6e65e2f1245d4edc1247e803723377d18cc48461?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,https://api.spotify.com/v1/audio-analysis/7HKxTNVlkHsfMLhigmhC0I,212227
1HOMkjp0nHMaTnfAkslCQj,https://p.scdn.co/mp3-preview/45641cdedc4815daed6a0a4696dbdcc34ee01ec2?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,https://api.spotify.com/v1/audio-analysis/1HOMkjp0nHMaTnfAkslCQj,295400
5dRQUolXAVX3BbCiIxmSsf,https://p.scdn.co/mp3-preview/c5b016f3316779a6ed94a2a000240295618647d3?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,https://api.spotify.com/v1/audio-analysis/5dRQUolXAVX3BbCiIxmSsf,221840
2mPMFJvQ0v27gVqe5b6nDn,https://p.scdn.co/mp3-preview/acc5e27085209f839ec0b58fdee230c02fdedc16?cid=7596a347c632409f9829d4c3cb9fa3c7,power-pop,0.578,0.882,7,-6.354,1,0.044,0.000121,0.479,0.284,0.623,125.603,https://api.spotify.com/v1/audio-analysis/2mPMFJvQ0v27gVqe5b6nDn,186533
