id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6LNjIsgHNs4q75uPt4rYf6,https://p.scdn.co/mp3-preview/5d5f51908605cfdd238eebc2efa7ed8076bf513c?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.416,0.85,1,-4.91,0,0.0455,0.00849,0.000175,0.204,0.142,125.096,https://api.spotify.com/v1/audio-analysis/6LNjIsgHNs4q75uPt4rYf6,205440
2PhlrsYp7TSkK96ngbmL38,https://p.scdn.co/mp3-preview/ce9e8c3b02ac39ab0bc7a405f369527aaf48823f?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.553,0.687,8,-6.4,1,0.034,0.0336,0.0,0.125,0.278,156.0,https://api.spotify.com/v1/audio-analysis/2PhlrsYp7TSkK96ngbmL38,161538
4KqA0GwEKbc96WyfIZn3SV,https://p.scdn.co/mp3-preview/707c008f10fb615b109cc0892647b78deec13a6d?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.727,0.822,5,-4.481,0,0.0471,0.0698,0.000175,0.408,0.855,118.092,https://api.spotify.com/v1/audio-analysis/4KqA0GwEKbc96WyfIZn3SV,162787
5cGBQ9W3XtRuRQFgDklDrI,https://p.scdn.co/mp3-preview/f636896a45a6a392a8d46c41f7c0d3c2dc725ffa?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.558,0.834,5,-8.585,1,0.0366,0.00573,0.89,0.0987,0.108,123.998,https://api.spotify.com/v1/audio-analysis/5cGBQ9W3XtRuRQFgDklDrI,233805
4ut5G4rgB1ClpMTMfjoIuy,https://p.scdn.co/mp3-preview/a59ac4f3c979ef051821835c2f92a50407b45087?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762
35rozLoS6QLE8HX8qswM3k,https://p.scdn.co/mp3-preview/1a2bdddc4588410a14376c0d4b703c16b9c55f75?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.433,0.905,11,-2.171,1,0.101,0.00803,0.0,0.337,0.375,148.149,https://api.spotify.com/v1/audio-analysis/35rozLoS6QLE8HX8qswM3k,237203
0pJPdSVti6cTM1Q6xYGmcf,https://p.scdn.co/mp3-preview/9a7b2f596ed4d59ab9974c1a98db05f3142d51cf?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.776,0.589,9,-4.543,0,0.115,0.319,0.0,0.0715,0.668,120.034,https://api.spotify.com/v1/audio-analysis/0pJPdSVti6cTM1Q6xYGmcf,240093
2w1rG2MPE4vF77znvevuz5,https://p.scdn.co/mp3-preview/8e31cd94775c75907be771672aaec6069fd531ba?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.537,0.964,5,-2.677,0,0.0552,0.018,0.00138,0.16,0.509,125.992,https://api.spotify.com/v1/audio-analysis/2w1rG2MPE4vF77znvevuz5,208254
4b93D55xv3YCH5mT4p6HPn,https://p.scdn.co/mp3-preview/b9d4f632f6056a9735ecb8fd6f9ae23241229a54?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.67,0.776,8,-4.091,0,0.047,0.00388,0.000184,0.122,0.624,115.034,https://api.spotify.com/v1/audio-analysis/4b93D55xv3YCH5mT4p6HPn,206320
651YhrvzeVfOa8yIifIhUM,https://p.scdn.co/mp3-preview/2be79f43cd1ce5da249885125947d0a2f382d099?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.554,0.966,6,-3.745,1,0.106,0.00109,0.838,0.415,0.193,132.035,https://api.spotify.com/v1/audio-analysis/651YhrvzeVfOa8yIifIhUM,225682
69gQgkobVW8bWjoCjBYQUd,https://p.scdn.co/mp3-preview/504d6e424291d39b78a282a1ddbacc5e069294d7?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.636,0.761,9,-7.752,0,0.035,0.00377,0.00784,0.0851,0.463,120.837,https://api.spotify.com/v1/audio-analysis/69gQgkobVW8bWjoCjBYQUd,285596
4skbQNtyjy8A7mo8oqe2oD,https://p.scdn.co/mp3-preview/4d8137156e14df8d3e07c1ee792dbcd6a860e883?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,https://api.spotify.com/v1/audio-analysis/4skbQNtyjy8A7mo8oqe2oD,192455
6kckNpuM5oXZrObLExRg6d,https://p.scdn.co/mp3-preview/5fdb94247cd260298b8940facfc7626c26cb9b93?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.689,0.514,11,-12.803,1,0.0383,0.512,0.449,0.0952,0.0963,121.985,https://api.spotify.com/v1/audio-analysis/6kckNpuM5oXZrObLExRg6d,238033
1KtD0xaLAikgIt5tPbteZQ,https://p.scdn.co/mp3-preview/a7f2de6af711b600d5f04545bf65bf2351304b82?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,https://api.spotify.com/v1/audio-analysis/1KtD0xaLAikgIt5tPbteZQ,247933
3c9IKwzgIPcCweCl9so748,https://p.scdn.co/mp3-preview/fa4f74cfdc7df93e02d8f8481c6dbedfec082862?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.703,0.692,1,-5.748,0,0.0412,0.00469,1.64e-06,0.12,0.491,124.077,https://api.spotify.com/v1/audio-analysis/3c9IKwzgIPcCweCl9so748,141895
6clzeGvi1CFioMOolbAOlX,https://p.scdn.co/mp3-preview/5d7d8a6878148bafb7b4a0df81aaf5a48032dc4c?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,https://api.spotify.com/v1/audio-analysis/6clzeGvi1CFioMOolbAOlX,229283
3hWfKBt3n7j1xqIy6LA5ve,https://p.scdn.co/mp3-preview/8f30cdacca0e67ea01ab08f987c92d1ff653f18f?cid=7596a347c632409f9829d4c3cb9fa3c7,progressive-house,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093,https://api.spotify.com/v1/audio-analysis/3hWfKBt3n7j1xqIy6LA5ve,198095
