id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2TjdnqlpwOjhijHCwHCP2d,https://p.scdn.co/mp3-preview/da7e64f838aef302e682cbdd7a4bade8607f4d7e?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.274,0.217,5,-13.814,1,0.0345,0.767,0.896,0.0832,0.181,116.334,https://api.spotify.com/v1/audio-analysis/2TjdnqlpwOjhijHCwHCP2d,283872
6mFkJmJqdDVQ1REhVfGgd1,https://p.scdn.co/mp3-preview/5647602fb4de2f6a40720c80e70d212b3c6592a8?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1,334744
5HNCy40Ni5BZJFw1TKzRsC,https://p.scdn.co/mp3-preview/62d713aa531a5ac3c2b30b26a530ce757caa91bc?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,382297
4gMgiXfqyzZLMhsksGmbQV,https://p.scdn.co/mp3-preview/60c4c34a551133fb4ee4351b4e7d002e6c022fea?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV,238747
0vFOzaXqZHahrZp6enQwQb,https://p.scdn.co/mp3-preview/d674f42dd5a4ba1d17f2482a10382a8867d9b3fa?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,https://api.spotify.com/v1/audio-analysis/0vFOzaXqZHahrZp6enQwQb,382834
2ctvdKmETyOzPb2GiJJT53,https://p.scdn.co/mp3-preview/4206a022962d2266d3c0ee671072a4b0826a3388?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.431,0.373,11,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,https://api.spotify.com/v1/audio-analysis/2ctvdKmETyOzPb2GiJJT53,169535
5xlS0QkVrSH7ssEbBgBzbM,https://p.scdn.co/mp3-preview/8b631debfd4d2bd9c4457ebd19bb77d9bedfede3?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,https://api.spotify.com/v1/audio-analysis/5xlS0QkVrSH7ssEbBgBzbM,118840
5qHYXcVvc9xsFB2uH7GpMN,https://p.scdn.co/mp3-preview/007fe7f726efa753e97881c69174dbaa22e4b6a8?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.682,0.635,0,-10.05,1,0.0346,0.00863,0.0,0.137,0.927,115.584,https://api.spotify.com/v1/audio-analysis/5qHYXcVvc9xsFB2uH7GpMN,217693
3TO7bbrUKrOSPGRTB5MeCz,https://p.scdn.co/mp3-preview/fefba974db3566e220de4787189b7cb9dcc797b6?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.359,0.48,9,-11.79,1,0.0841,0.521,0.0043,0.178,0.355,120.285,https://api.spotify.com/v1/audio-analysis/3TO7bbrUKrOSPGRTB5MeCz,413947
2Gy7qnDwt8Z3MNxqat4CsK,https://p.scdn.co/mp3-preview/c469ea0df79f08831dde2848870dc5f998a2de1d?cid=7596a347c632409f9829d4c3cb9fa3c7,psych-rock,0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,https://api.spotify.com/v1/audio-analysis/2Gy7qnDwt8Z3MNxqat4CsK,153205
