id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4Wvr1YaxNsCujq77dKujys,https://p.scdn.co/mp3-preview/8edb49be2e998ff4e9da04a97d6fdc693d2a5699?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.385,0.949,8,-3.369,1,0.0459,0.00501,2.13e-06,0.113,0.517,166.137,https://api.spotify.com/v1/audio-analysis/4Wvr1YaxNsCujq77dKujys,226347
2AX5E86cn9n2dgioZEjirI,https://p.scdn.co/mp3-preview/e0885c3c8470cd28d4cee75b951b67bdc4f588c6?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,https://api.spotify.com/v1/audio-analysis/2AX5E86cn9n2dgioZEjirI,206760
2qxXypNXOJZ5qUFdpzJ56n,https://p.scdn.co/mp3-preview/82acd3a09c87eecb88fa3c75b8c6426f413dba8e?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.45,0.602,6,-4.801,0,0.0264,0.15,0.0,0.141,0.316,170.043,https://api.spotify.com/v1/audio-analysis/2qxXypNXOJZ5qUFdpzJ56n,256733
3O4TPMOgChXOerSdB5WENH,https://p.scdn.co/mp3-preview/2bb27b2f4f78fac7d9ebb4d57cf631fe1ad7e962?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.633,0.62,0,-11.271,1,0.0648,0.34,0.605,0.0977,0.421,81.117,https://api.spotify.com/v1/audio-analysis/3O4TPMOgChXOerSdB5WENH,354933
7FLQo89iaS5gf2hnIEW7P9,https://p.scdn.co/mp3-preview/be14d9c39e28683d625b36a837727ef0ff9e1ecc?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.64,0.695,4,-8.196,0,0.202,0.0113,2.75e-05,0.36,0.787,102.288,https://api.spotify.com/v1/audio-analysis/7FLQo89iaS5gf2hnIEW7P9,217653
2WD9ggmpZE7Wodh3qVVCgg,https://p.scdn.co/mp3-preview/3379732c5e716fb5699e7f96183a27316d89973e?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.542,0.714,2,-8.045,1,0.028,0.00487,0.298,0.334,0.76,124.26,https://api.spotify.com/v1/audio-analysis/2WD9ggmpZE7Wodh3qVVCgg,212893
43O3Iu8mDJy10i6k8SVRXX,https://p.scdn.co/mp3-preview/5ae5f87987ced1860895d99b55084e39f3394e22?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.71,0.847,0,-3.009,1,0.0892,0.0289,0.00033,0.0613,0.65,119.944,https://api.spotify.com/v1/audio-analysis/43O3Iu8mDJy10i6k8SVRXX,207320
3KZVWVH4epY2JGaqRs8bqg,https://p.scdn.co/mp3-preview/b0bc48c922cac418e06d36eb3e3bf0b7afb651b4?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.495,0.84,9,-6.613,1,0.0446,0.13,0.00151,0.185,0.478,111.82,https://api.spotify.com/v1/audio-analysis/3KZVWVH4epY2JGaqRs8bqg,220533
3OS4XXm4S42pnESQmtN9MG,https://p.scdn.co/mp3-preview/b48bd29c408f079ba15f0e3f9f727ceb3057f3ba?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.643,0.59,11,-10.843,0,0.0284,0.0806,0.00578,0.174,0.818,126.651,https://api.spotify.com/v1/audio-analysis/3OS4XXm4S42pnESQmtN9MG,239427
2d6Rpz91tksIznqw75Fdpq,https://p.scdn.co/mp3-preview/6c9fd32a67fe1cff133f3e8594bc5947c8f7504d?cid=7596a347c632409f9829d4c3cb9fa3c7,punk-rock,0.687,0.384,7,-11.457,0,0.101,0.259,0.0,0.0825,0.659,99.854,https://api.spotify.com/v1/audio-analysis/2d6Rpz91tksIznqw75Fdpq,167213
