id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2tznHmp70DxMyr2XhWLOW0,https://p.scdn.co/mp3-preview/8f6e6bb99c6f47cc551d17316a1663413d0eaa4d?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,https://api.spotify.com/v1/audio-analysis/2tznHmp70DxMyr2XhWLOW0,208760
2hnMS47jN0etwvFPzYk11f,https://p.scdn.co/mp3-preview/14ee06cbebf7fbe5e309b9e3966e2fd71577c731?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,https://api.spotify.com/v1/audio-analysis/2hnMS47jN0etwvFPzYk11f,182747
4LJhJ6DQS7NwE7UKtvcM52,https://p.scdn.co/mp3-preview/41b320c241be45f7af386a396a9874c57cf7d9a1?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,https://api.spotify.com/v1/audio-analysis/4LJhJ6DQS7NwE7UKtvcM52,148360
6L89mwZXSOwYl76YXfX13s,https://p.scdn.co/mp3-preview/548c2619620ceb46699c70a1b86a454c6857f227?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533
3Pzh926pXggbMe2ZpXyMV7,https://p.scdn.co/mp3-preview/2f4649bb7980786d2925d720a4f956bb9e63faaa?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,https://api.spotify.com/v1/audio-analysis/3Pzh926pXggbMe2ZpXyMV7,175493
0JJP0IS4w0fJx01EcrfkDe,https://p.scdn.co/mp3-preview/1b00011268db5f881f675c4e37bdc42daaf815c0?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,https://api.spotify.com/v1/audio-analysis/0JJP0IS4w0fJx01EcrfkDe,182827
4wzjNqjKAKDU82e8uMhzmr,https://p.scdn.co/mp3-preview/2d036225b557ac40312dc2f457c888792f6d9fa2?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,https://api.spotify.com/v1/audio-analysis/4wzjNqjKAKDU82e8uMhzmr,192000
1oTo3ijRbaDAtrjJrGAPSw,https://p.scdn.co/mp3-preview/ba111cec224debf2dad68f04e87f58dc61314ee3?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,https://api.spotify.com/v1/audio-analysis/1oTo3ijRbaDAtrjJrGAPSw,227240
23oxJmDc1V9uLUSmN2LIvx,https://p.scdn.co/mp3-preview/bb0b50fe6c65ea5a9fcfb2d2aff520f8f4c33c7b?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,198267
4sebUbjqbcgDSwG6PbSGI0,https://p.scdn.co/mp3-preview/9a8ff3dff3a13ceddbe17c92b68931a06d96c894?cid=7596a347c632409f9829d4c3cb9fa3c7,punk,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,https://api.spotify.com/v1/audio-analysis/4sebUbjqbcgDSwG6PbSGI0,229347
