id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4XvcHTUfIlWfyJTRG0aqlo,https://p.scdn.co/mp3-preview/1eb41903914ce064eee0dcb54dad82a49384beec?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,123987
6EbVuwU7EnKeF2hdpViXCH,https://p.scdn.co/mp3-preview/99e90489675c63a59870eae6f42d12389aea1034?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,https://api.spotify.com/v1/audio-analysis/6EbVuwU7EnKeF2hdpViXCH,148817
3J8EOeKLTLXORtWPpOU5bE,https://p.scdn.co/mp3-preview/47a86376c8e7a96f679f31005c45c0d9d92a615b?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,https://api.spotify.com/v1/audio-analysis/3J8EOeKLTLXORtWPpOU5bE,205458
5kpxVMDvYGRmNqawPqDTYR,https://p.scdn.co/mp3-preview/0ebf4d7d09c41541c69ad377e17213f76fd8df1b?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.702,0.586,8,-5.317,1,0.118,0.55,0.0,0.27,0.965,112.852,https://api.spotify.com/v1/audio-analysis/5kpxVMDvYGRmNqawPqDTYR,158093
0RLLvYBopDwooCyvnTwgYu,https://p.scdn.co/mp3-preview/0f5300ed00c3126fc250ac4af240050f29ab2cf8?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,https://api.spotify.com/v1/audio-analysis/0RLLvYBopDwooCyvnTwgYu,224000
1dg3qy5DjoJodawfOCgrTP,https://p.scdn.co/mp3-preview/2098ed5fd5aca0bb8ffde0449b31183e549817dd?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,https://api.spotify.com/v1/audio-analysis/1dg3qy5DjoJodawfOCgrTP,232048
4eNOLmx8r2IJAVKvBBL1jv,https://p.scdn.co/mp3-preview/f92574c4cb24cad19cceb14ff0d78b9db19bdde8?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0,https://api.spotify.com/v1/audio-analysis/4eNOLmx8r2IJAVKvBBL1jv,144349
2pnPe4pJtq7689i5ydzvJJ,https://p.scdn.co/mp3-preview/e2242eefee6ac0da2ed029842a63386c7c3de4a0?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,https://api.spotify.com/v1/audio-analysis/2pnPe4pJtq7689i5ydzvJJ,165733
2BJWxD8xKrDv8vneTvTIm9,https://p.scdn.co/mp3-preview/2731d403449c281082817687349a047dea2b82b3?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.498,0.625,8,-7.452,0,0.342,0.054,0.0,0.175,0.478,84.821,https://api.spotify.com/v1/audio-analysis/2BJWxD8xKrDv8vneTvTIm9,150000
5JtvedSVWW9McnoEAPJwQm,https://p.scdn.co/mp3-preview/f09742708faf04018eb205f17b8aa99ee67bf118?cid=7596a347c632409f9829d4c3cb9fa3c7,r-n-b,0.857,0.427,8,-8.638,1,0.112,0.281,0.0,0.108,0.366,130.033,https://api.spotify.com/v1/audio-analysis/5JtvedSVWW9McnoEAPJwQm,162453
