id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
75FYqcxt1YEAtqDLrOeIJn,https://p.scdn.co/mp3-preview/13dac8c9d48b498abb95fa12596323c004148948?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,https://api.spotify.com/v1/audio-analysis/75FYqcxt1YEAtqDLrOeIJn,180267
5O4erNlJ74PIF6kGol1ZrC,https://p.scdn.co/mp3-preview/517890de41257c10b7c5a8d01bee8451310f3338?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000
6RtPijgfPKROxEzTHNRiDp,https://p.scdn.co/mp3-preview/4316df42f2f24eca469c3117fab1fc2410e6e3d0?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840
6JRLFiX9NJSoRRKxowlBYr,https://p.scdn.co/mp3-preview/f6849ff6b58c363fd4fc7ee31dbedb074eaddcd0?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200
4uOKFydzAejjSFqYbv1XPt,https://p.scdn.co/mp3-preview/bcecdab64410009e8240a309251f487c63d5c733?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,183733
7FDV5ELOJHCGLe52AnttEd,https://p.scdn.co/mp3-preview/7eb10a398557e7cf6916506b48b6c72777bac451?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,https://api.spotify.com/v1/audio-analysis/7FDV5ELOJHCGLe52AnttEd,235133
5LyfiK6iXEIBNEtcaGKohl,https://p.scdn.co/mp3-preview/9784cb96124a41e815990da78757baa68c2dcee6?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.935,0.479,11,-10.981,0,0.306,0.107,5.25e-05,0.118,0.773,123.644,https://api.spotify.com/v1/audio-analysis/5LyfiK6iXEIBNEtcaGKohl,211000
1UL8GkVAs6UcWF6BZ3DYZt,https://p.scdn.co/mp3-preview/351060f00217c5566e212f495b35601e75d34d61?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.572,0.728,7,-5.534,1,0.0275,0.203,0.00263,0.231,0.535,75.179,https://api.spotify.com/v1/audio-analysis/1UL8GkVAs6UcWF6BZ3DYZt,145560
7x5xYW5W42OGPAdHUyyguy,https://p.scdn.co/mp3-preview/f3dd0899e7d4b3d15a04ee71c545ed21a2f377f7?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,https://api.spotify.com/v1/audio-analysis/7x5xYW5W42OGPAdHUyyguy,227480
1BkY0N8ChFk2mdLbAUu8ZK,https://p.scdn.co/mp3-preview/e03745081a26c6b9d368838aca00cc47be528974?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,https://api.spotify.com/v1/audio-analysis/1BkY0N8ChFk2mdLbAUu8ZK,205427
6SR0dDuXH2vtgBfMLrivKV,https://p.scdn.co/mp3-preview/f84ed6325c1aa0db40002d0ab3603306a04e9f6a?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.67,0.516,10,-9.598,1,0.366,0.0673,0.0,0.0674,0.939,154.186,https://api.spotify.com/v1/audio-analysis/6SR0dDuXH2vtgBfMLrivKV,172933
7BfW1eoDh27W69nxsmRicb,https://p.scdn.co/mp3-preview/e3f0802f96c1aa144bd8bd8b79e685058be82dd7?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,255840
6UOgtsbP9dYLRtZC5wEzTx,https://p.scdn.co/mp3-preview/f3fe227b403a6cc65773a35c6591766bdc93d450?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.656,0.69,3,-4.792,0,0.186,0.0523,0.0,0.138,0.817,167.063,https://api.spotify.com/v1/audio-analysis/6UOgtsbP9dYLRtZC5wEzTx,176267
5GPA5uyFAWGG7Qu06VyS3u,https://p.scdn.co/mp3-preview/33252067c67f01e0f9d80b980c183c6e2362d14e?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.745,0.914,0,-2.667,1,0.0872,0.0976,0.0,0.222,0.686,92.983,https://api.spotify.com/v1/audio-analysis/5GPA5uyFAWGG7Qu06VyS3u,223613
27GrBGRbHm1nqMGqaWhOFa,https://p.scdn.co/mp3-preview/f0b536d6f8b6b447bcf2685d1660894750ecd51e?cid=7596a347c632409f9829d4c3cb9fa3c7,reggae,0.748,0.856,11,-3.517,0,0.0348,0.0824,0.0,0.142,0.927,123.031,https://api.spotify.com/v1/audio-analysis/27GrBGRbHm1nqMGqaWhOFa,189320
