id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3ss6y0Id5Iwk2L5MIZp4xF,https://p.scdn.co/mp3-preview/76cc2d7203423f994ef5c89e9686dcdbe8b1b30e?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.678,0.698,7,-4.57,1,0.0587,0.00214,4.94e-06,0.0945,0.812,192.005,https://api.spotify.com/v1/audio-analysis/3ss6y0Id5Iwk2L5MIZp4xF,182507
6JjPBQfI2Y8nIjnm65X6Pw,https://p.scdn.co/mp3-preview/98256dea4373c18fc5d7e34918df61a173cd0f5a?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747
0GmiGIxXDNrePrHBpijYDp,https://p.scdn.co/mp3-preview/3b05079da0e4a7ecc5db841e8664af8690574ebd?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.799,0.69,7,-7.252,1,0.1,0.282,0.001,0.143,0.682,106.034,https://api.spotify.com/v1/audio-analysis/0GmiGIxXDNrePrHBpijYDp,352442
1V8XneTrX6kKeoxYbk4x6h,https://p.scdn.co/mp3-preview/c161e051a143144a12ca3dc73d7acbba66f0d820?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.683,0.677,1,-4.496,1,0.0469,0.0869,0.0,0.0998,0.514,156.019,https://api.spotify.com/v1/audio-analysis/1V8XneTrX6kKeoxYbk4x6h,240253
7anSoGdgtmJTAPZBzcPhO6,https://p.scdn.co/mp3-preview/5b8e4669397f5ea007ce8cb4bdcbfc963881bef1?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.681,0.648,1,-5.021,0,0.38,0.523,0.0,0.104,0.688,172.02,https://api.spotify.com/v1/audio-analysis/7anSoGdgtmJTAPZBzcPhO6,286507
6UHfW9PmGAUjIVeIkPzPQ2,https://p.scdn.co/mp3-preview/dffb0699dd0374f3f900885cc727945e5e9759ac?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.764,0.774,5,-2.871,0,0.202,0.0178,0.0,0.113,0.597,149.952,https://api.spotify.com/v1/audio-analysis/6UHfW9PmGAUjIVeIkPzPQ2,168980
664N81BanO9zNURGi2iliG,https://p.scdn.co/mp3-preview/171fe0882b2b2d8f0d55864a3a94471b9db76e3d?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.899,0.48,9,-6.196,1,0.06,0.326,0.0,0.0735,0.392,94.011,https://api.spotify.com/v1/audio-analysis/664N81BanO9zNURGi2iliG,211103
0fLOPPoyIaPTe8dm2Mrft3,https://p.scdn.co/mp3-preview/28999064812b5b8ff494c1b62bc9c074e7157359?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.739,0.733,1,-3.933,1,0.0818,0.703,0.0,0.117,0.389,128.271,https://api.spotify.com/v1/audio-analysis/0fLOPPoyIaPTe8dm2Mrft3,214125
3xv8JksRyqHa1lwkM9xvJf,https://p.scdn.co/mp3-preview/dc1e89dc2b98bbb17a3e8f2cbd55dbef8ce2842c?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.625,0.754,6,-4.158,0,0.076,0.17,3.76e-05,0.109,0.746,89.888,https://api.spotify.com/v1/audio-analysis/3xv8JksRyqHa1lwkM9xvJf,239797
3hNah4zjim0HfKVIXlJVCC,https://p.scdn.co/mp3-preview/ec691b12d0487a0fc1799409890aff64580a463b?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.755,0.577,8,-8.075,1,0.361,0.461,0.0,0.15,0.554,151.123,https://api.spotify.com/v1/audio-analysis/3hNah4zjim0HfKVIXlJVCC,165298
6wpZ6aUZxirJyTshhuUhkR,https://p.scdn.co/mp3-preview/2431742a908abb6bccefb8ca9a9e0ce31b25ed94?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.539,0.657,6,-6.016,1,0.301,0.341,0.0,0.114,0.562,123.937,https://api.spotify.com/v1/audio-analysis/6wpZ6aUZxirJyTshhuUhkR,250888
5Id5B3dxJZhPcV9GzgYZZe,https://p.scdn.co/mp3-preview/2bb6e30dde4f1c611fb80c4bd0b8096559938c58?cid=7596a347c632409f9829d4c3cb9fa3c7,reggaeton,0.727,0.815,3,-2.454,1,0.153,0.0258,0.0,0.231,0.677,176.075,https://api.spotify.com/v1/audio-analysis/5Id5B3dxJZhPcV9GzgYZZe,216067
