id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1DndHckdH9m5rp6gYP086b,https://p.scdn.co/mp3-preview/a431cd8423efe6432b59d3fdcf4430f0a6455906?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,https://api.spotify.com/v1/audio-analysis/1DndHckdH9m5rp6gYP086b,171600
7N15WWy12QAMpGAh6QMAej,https://p.scdn.co/mp3-preview/911ac0ab7bb279553023bbb1b06acf701d378ba2?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.771,0.522,11,-12.193,1,0.0368,0.571,0.0,0.145,0.94,128.641,https://api.spotify.com/v1/audio-analysis/7N15WWy12QAMpGAh6QMAej,129061
3C6pSIVeBKIbSpCFtaw1r8,https://p.scdn.co/mp3-preview/0cfa12d202b3f380e3a4bb36fd5179f1e4f8b2c6?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.325,0.715,7,-7.744,1,0.0368,0.00708,2.79e-05,0.0987,0.282,93.914,https://api.spotify.com/v1/audio-analysis/3C6pSIVeBKIbSpCFtaw1r8,191840
2aEeghgUcnu75tzcolFMfs,https://p.scdn.co/mp3-preview/6798ea2ec3daa4c81f9e35da804ea926494a6153?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,https://api.spotify.com/v1/audio-analysis/2aEeghgUcnu75tzcolFMfs,126960
2DpJ9T2RVRanZcYFHKOAfA,https://p.scdn.co/mp3-preview/e42263126aa2647c95b3d3f9c6c6426a283d126a?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,https://api.spotify.com/v1/audio-analysis/2DpJ9T2RVRanZcYFHKOAfA,154733
0KOE1hat4SIer491XKk4Pa,https://p.scdn.co/mp3-preview/c67deeede900522e31c3c43e1a09cee74871245f?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,https://api.spotify.com/v1/audio-analysis/0KOE1hat4SIer491XKk4Pa,191160
452KBpASS5lZLeJWX9Ixub,https://p.scdn.co/mp3-preview/457f13d0e471567df3c8f4ecc40a579b18292453?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.623,0.537,10,-10.014,0,0.0726,0.332,1.4e-05,0.0963,0.905,166.885,https://api.spotify.com/v1/audio-analysis/452KBpASS5lZLeJWX9Ixub,146933
5EoYc5wvRYOtkudLfrjsL1,https://p.scdn.co/mp3-preview/5beb8ce47baa6d0ac43e36b64d319156856dbfbe?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.487,0.532,0,-7.496,1,0.0322,0.631,0.0,0.184,0.609,70.838,https://api.spotify.com/v1/audio-analysis/5EoYc5wvRYOtkudLfrjsL1,164252
7jmHyHMEqm9MJWiMAneF05,https://p.scdn.co/mp3-preview/07bec76084eb7f52fee1ea9b4a488801d8ada793?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.632,0.232,9,-12.326,1,0.0318,0.428,4.95e-06,0.215,0.673,119.136,https://api.spotify.com/v1/audio-analysis/7jmHyHMEqm9MJWiMAneF05,175493
1B5Tp2Ml9nLlmTSJx8xVfI,https://p.scdn.co/mp3-preview/0544da75eb6351105db59d99aaf90ff64ebd25da?cid=7596a347c632409f9829d4c3cb9fa3c7,rock-n-roll,0.358,0.387,7,-14.342,1,0.0324,0.746,0.0121,0.119,0.495,181.183,https://api.spotify.com/v1/audio-analysis/1B5Tp2Ml9nLlmTSJx8xVfI,218440
