id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0ofHAoxe9vBkTCp2UQIavz,https://p.scdn.co/mp3-preview/6a889d0710018ffe4ef0654733670cf7ce48c284?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800
0HqZX76SFLDz2aW8aiqi7G,https://p.scdn.co/mp3-preview/1d6d966b718729ff8b0a251eb4eb272ff4d13fc0?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,165265
0pqnGHJpmpxLKifKRmU6WP,https://p.scdn.co/mp3-preview/ec88376e0fe562c6577468502ae73d79c14ded21?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347
5e9TFTbltYBg2xThimr0rU,https://p.scdn.co/mp3-preview/eaa152f71cc4365595da28da3110b91b428436ab?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU,270213
3LlAyCYU26dvFZBDUIMb7a,https://p.scdn.co/mp3-preview/32247340299cc93926ad5ec6218067d041358edf?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200
2374M0fQpWi3dLnB54qaLX,https://p.scdn.co/mp3-preview/09f5652fc6c8fb79528aec2ae0208783e1b87d35?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893
5ihS6UUlyQAfmp48eSkxuQ,https://p.scdn.co/mp3-preview/22a3d68d78e2e9b485ef1a744c3b9ad51362c523?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,https://api.spotify.com/v1/audio-analysis/5ihS6UUlyQAfmp48eSkxuQ,199493
3CRDbSIZ4r5MsZ0YwxuEkn,https://p.scdn.co/mp3-preview/445bd9f1da55040877748cd401cb22d5dcb9fcd8?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333
474uVhyGgK5MtY9gMcDgGl,https://p.scdn.co/mp3-preview/f822bf95111c8f167630f6f7d3ffe713278b13eb?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.744,0.516,2,-6.365,1,0.0513,0.632,0.0,0.605,0.281,97.944,https://api.spotify.com/v1/audio-analysis/474uVhyGgK5MtY9gMcDgGl,152293
54ipXppHLA8U4yqpOFTUhr,https://p.scdn.co/mp3-preview/95af8a79caa005b5332e3583de6ae67614ad4a07?cid=7596a347c632409f9829d4c3cb9fa3c7,rock,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,165265
