id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2ozTcQyZQmm9tSmc4VZfwU,https://p.scdn.co/mp3-preview/03ddf9e9b0463c7779133fbee5e0eb82b855dd1d?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.495,0.613,5,-9.463,1,0.0239,0.348,0.0058,0.0406,0.924,100.535,https://api.spotify.com/v1/audio-analysis/2ozTcQyZQmm9tSmc4VZfwU,170067
2x6pbpjVGjiWCcH89IK8AX,https://p.scdn.co/mp3-preview/0486d87f0ed3d19a97967177454157787c34784d?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.743,0.799,8,-5.466,0,0.0375,0.699,0.0,0.0635,0.965,116.112,https://api.spotify.com/v1/audio-analysis/2x6pbpjVGjiWCcH89IK8AX,139200
2ZncWeiscCUcJI60YEDrfU,https://p.scdn.co/mp3-preview/3ecf17f20290ecbe4461d150ad8607559dd09bc2?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.698,0.736,2,-5.525,1,0.0481,0.0664,2.16e-05,0.119,0.822,127.979,https://api.spotify.com/v1/audio-analysis/2ZncWeiscCUcJI60YEDrfU,214267
0JOw67rq2X6NDz5AJP9uIG,https://p.scdn.co/mp3-preview/9e9ef313ad8377a90cae0a53db2b710a0fb14e28?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.343,0.884,5,-4.123,0,0.129,0.62,0.000673,0.497,0.94,177.751,https://api.spotify.com/v1/audio-analysis/0JOw67rq2X6NDz5AJP9uIG,133293
4wM7V31TsZzzDBEH02Hltb,https://p.scdn.co/mp3-preview/dbc8baebc74ddb110a1c232338524549e4789cf8?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.421,0.201,0,-12.399,1,0.0436,0.917,0.000436,0.116,0.188,129.689,https://api.spotify.com/v1/audio-analysis/4wM7V31TsZzzDBEH02Hltb,186507
2hEwjc5DZVPcC4cVVBuMr5,https://p.scdn.co/mp3-preview/d1fd739a45bff3603b6fa0460a054f761283d1cf?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.483,0.579,5,-13.923,1,0.116,0.481,0.00141,0.242,0.891,122.527,https://api.spotify.com/v1/audio-analysis/2hEwjc5DZVPcC4cVVBuMr5,140680
2cdzutoqFK6sfW6exi7oXh,https://p.scdn.co/mp3-preview/c9e4a6c6f637124d481bbdd24bdd656cac577351?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.838,0.616,8,-6.502,1,0.0433,0.575,0.0,0.0785,0.971,131.719,https://api.spotify.com/v1/audio-analysis/2cdzutoqFK6sfW6exi7oXh,128307
1aECQTfv5SO42lU4fvrdJJ,https://p.scdn.co/mp3-preview/e4b4657b436fd1f6f35ac9f2c625b97295e719e0?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.454,0.666,3,-8.193,1,0.0379,0.758,2.89e-05,0.275,0.894,82.61,https://api.spotify.com/v1/audio-analysis/1aECQTfv5SO42lU4fvrdJJ,112227
39zODpVtRvghMyfNjZ3BVK,https://p.scdn.co/mp3-preview/e61eb00b8e4d303ad0d34d23e93eb1d69ae8d365?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK,139640
6vXZs9rEQF7Nd6O8Ue7NrT,https://p.scdn.co/mp3-preview/ee6c9e26f7faefee8e939ebbc9e61eac2056dfc9?cid=7596a347c632409f9829d4c3cb9fa3c7,rockabilly,0.355,0.0922,7,-17.747,1,0.0515,0.918,0.000702,0.106,0.191,65.952,https://api.spotify.com/v1/audio-analysis/6vXZs9rEQF7Nd6O8Ue7NrT,187027
