id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0Wv643k6s2pxZ6FjWzdo5v,https://p.scdn.co/mp3-preview/f680ac961fd8365acc5272f87590048c31a7aad4?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.67,0.157,0,-17.9,1,0.0928,0.347,0.00342,0.0969,0.437,125.718,https://api.spotify.com/v1/audio-analysis/0Wv643k6s2pxZ6FjWzdo5v,138006
55ft1ayoxCuxeEaUxS0zja,https://p.scdn.co/mp3-preview/5a1dac229dba86ce3629da339931414dc08df659?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.503,0.613,5,-4.221,0,0.0299,0.216,0.00178,0.0672,0.523,110.985,https://api.spotify.com/v1/audio-analysis/55ft1ayoxCuxeEaUxS0zja,206158
1JihKsZjTyaqh0sPpOJqxW,https://p.scdn.co/mp3-preview/ae69e3599f2e56ca480264a1e19b05d8556f0dc7?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.0,0.122,7,-20.512,0,0.0,0.987,0.324,0.824,0.0,0.0,https://api.spotify.com/v1/audio-analysis/1JihKsZjTyaqh0sPpOJqxW,122207
5Qp1gwP49eJQtCHIkgmQfN,https://p.scdn.co/mp3-preview/17a5c9c8cb032abf15e6a50ae6fc0237e8ef6852?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.574,0.372,7,-9.662,1,0.059,0.486,2.55e-06,0.268,0.463,109.242,https://api.spotify.com/v1/audio-analysis/5Qp1gwP49eJQtCHIkgmQfN,199105
0k6ahjMeMG9E8cPzSanQhF,https://p.scdn.co/mp3-preview/9f0162d4c49120a1693efd857262270d4ae166b3?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.265,0.363,2,-13.186,1,0.0445,0.957,0.00083,0.13,0.121,168.577,https://api.spotify.com/v1/audio-analysis/0k6ahjMeMG9E8cPzSanQhF,244773
3GFKTTjXzCzr8QcqDfdnXy,https://p.scdn.co/mp3-preview/357a77dbb3178279049b0b6b9c763c28da933a6e?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.622,0.412,8,-13.157,1,0.0589,0.449,5.4e-05,0.0789,0.719,118.63,https://api.spotify.com/v1/audio-analysis/3GFKTTjXzCzr8QcqDfdnXy,189074
5iqd768c3OqV4aMhFSNbQN,https://p.scdn.co/mp3-preview/da3686070fcb1944e1a767b1e017961218e0d93f?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.281,0.084,0,-20.813,0,0.0364,0.975,0.368,0.101,0.261,117.896,https://api.spotify.com/v1/audio-analysis/5iqd768c3OqV4aMhFSNbQN,271040
54k1ghTXsBi8evTkrddDpC,https://p.scdn.co/mp3-preview/3eccf7654088928995b4de1eb6484a94d6fe290b?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.443,0.144,5,-16.26,1,0.0532,0.927,0.000101,0.142,0.223,78.92,https://api.spotify.com/v1/audio-analysis/54k1ghTXsBi8evTkrddDpC,157387
5DZWpWVFqeXLLZHoORLLLM,https://p.scdn.co/mp3-preview/6bbe32628068fab72d31f8bd31fef332b9c076d4?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.53,0.251,10,-12.719,0,0.0532,0.897,5.2e-05,0.247,0.666,144.019,https://api.spotify.com/v1/audio-analysis/5DZWpWVFqeXLLZHoORLLLM,194090
6gBOEgaE31SgL7d6hWzxqO,https://p.scdn.co/mp3-preview/dac941425744e9d51054bbfbe09c672455a4548c?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.334,0.245,0,-13.914,0,0.0319,0.872,0.0,0.0964,0.205,108.419,https://api.spotify.com/v1/audio-analysis/6gBOEgaE31SgL7d6hWzxqO,177707
5mupOjWc7YMaUoQ9SQ6bp5,https://p.scdn.co/mp3-preview/ecf7a828e39d92443d2e025f4a38b118a0ae3b02?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.342,0.321,1,-13.555,0,0.0302,0.649,0.000521,0.194,0.185,140.567,https://api.spotify.com/v1/audio-analysis/5mupOjWc7YMaUoQ9SQ6bp5,342204
4HNHnDUrpjVVf6gf8Gqlu9,https://p.scdn.co/mp3-preview/134e02d8d4f7205128f471ee653ef99aea3f68ba?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.277,0.175,4,-17.183,0,0.0379,0.865,3.39e-06,0.0935,0.288,90.784,https://api.spotify.com/v1/audio-analysis/4HNHnDUrpjVVf6gf8Gqlu9,152764
6I1mTKxLwLldptUn0cjbNQ,https://p.scdn.co/mp3-preview/ac4ef89bf8094a63b32d622e6d483efe1fa9eebc?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.445,0.211,7,-12.716,0,0.0577,0.93,0.0,0.116,0.214,136.231,https://api.spotify.com/v1/audio-analysis/6I1mTKxLwLldptUn0cjbNQ,170613
2x0jRIvOlkxKx2sH9cbGmK,https://p.scdn.co/mp3-preview/c6ca9d5654713fcb4f6ed479cc3a171e915015a6?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.465,0.556,10,-10.174,1,0.0595,0.936,0.0012,0.372,0.842,114.565,https://api.spotify.com/v1/audio-analysis/2x0jRIvOlkxKx2sH9cbGmK,134707
2suhVE7UX0IL9ndj1GgZen,https://p.scdn.co/mp3-preview/4b3d1813100d8b27313468dee0e04c6eba9839af?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.657,0.307,10,-16.463,0,0.0625,0.955,1.95e-05,0.237,0.811,123.898,https://api.spotify.com/v1/audio-analysis/2suhVE7UX0IL9ndj1GgZen,245017
30t7M7nfZ8rk4CznVyh9N0,https://p.scdn.co/mp3-preview/ac03062d49851a626bf95f73bc0c96e1acda94fe?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.278,0.213,7,-17.459,1,0.0401,0.86,0.0149,0.0512,0.139,118.811,https://api.spotify.com/v1/audio-analysis/30t7M7nfZ8rk4CznVyh9N0,219600
6qS2nl4bcj927dQGwMHKVh,https://p.scdn.co/mp3-preview/692a066b2c8ad3d12b5799ba238f44d3094fc2d2?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.284,0.147,0,-17.561,0,0.0359,0.92,0.0215,0.105,0.259,121.137,https://api.spotify.com/v1/audio-analysis/6qS2nl4bcj927dQGwMHKVh,275693
4XSd3gOBb577jSqJbkS0U9,https://p.scdn.co/mp3-preview/34578dbb24fc6ea75603a07fd7cdf387981ababf?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.404,0.0614,7,-19.947,0,0.0549,0.955,9.01e-06,0.108,0.124,77.217,https://api.spotify.com/v1/audio-analysis/4XSd3gOBb577jSqJbkS0U9,160679
2elBGcWYDisolhRue2UyTE,https://p.scdn.co/mp3-preview/5b1848748f34c3f5f513aae983ef471080ea1ec5?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.665,0.315,2,-16.679,0,0.0297,0.577,4.84e-06,0.364,0.544,111.057,https://api.spotify.com/v1/audio-analysis/2elBGcWYDisolhRue2UyTE,512366
362m7XVWdOU7FsnliFZFHI,https://p.scdn.co/mp3-preview/5e7049691210e364ffbd0e1dc90c493d781340c4?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.464,0.0461,4,-16.501,0,0.0431,0.996,0.131,0.0752,0.257,70.901,https://api.spotify.com/v1/audio-analysis/362m7XVWdOU7FsnliFZFHI,182047
4NBDdJ7xivIwa8pmXtBNxw,https://p.scdn.co/mp3-preview/15bc5424a3cf4596eef479fa9a99e06ee1fa6166?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.389,0.5,4,-11.65,0,0.0385,0.864,0.098,0.0718,0.216,136.433,https://api.spotify.com/v1/audio-analysis/4NBDdJ7xivIwa8pmXtBNxw,165760
4Uf7jatoO8hJm2AGweszkn,https://p.scdn.co/mp3-preview/df36739c4a605d11ea442897528b7bc39029d32e?cid=7596a347c632409f9829d4c3cb9fa3c7,romance,0.626,0.692,4,-6.58,0,0.0449,0.421,0.0,0.541,0.826,86.731,https://api.spotify.com/v1/audio-analysis/4Uf7jatoO8hJm2AGweszkn,211653
