id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6Um358vY92UBv5DloTRX9L,https://p.scdn.co/mp3-preview/b2fd1cccb44232f9c6f7c562b064971ac8c48f1d?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.491,0.643,10,-4.309,1,0.0442,0.187,0.0,0.109,0.779,162.469,https://api.spotify.com/v1/audio-analysis/6Um358vY92UBv5DloTRX9L,169419
0mzsLrUNazBaRfYZfjmpSV,https://p.scdn.co/mp3-preview/478551304c6b5a99913d6d9fae8b177c4f089368?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.537,0.602,7,-4.631,1,0.0458,0.296,0.0,0.0715,0.753,157.437,https://api.spotify.com/v1/audio-analysis/0mzsLrUNazBaRfYZfjmpSV,271862
1lRtH4FszTrwwlK5gTSbXO,https://p.scdn.co/mp3-preview/14c08bdac1b40d3b8ef068874c00a31fe2035182?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,https://api.spotify.com/v1/audio-analysis/1lRtH4FszTrwwlK5gTSbXO,174943
0hnvQLkV7yOjslEzflJSK4,https://p.scdn.co/mp3-preview/d13065615a341fcb60be5ebbfd934dd665bda8d2?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.626,0.454,3,-8.767,0,0.0392,0.729,0.000442,0.159,0.36,123.351,https://api.spotify.com/v1/audio-analysis/0hnvQLkV7yOjslEzflJSK4,216000
3XfUFGzbr0LmwFVoLXd9cO,https://p.scdn.co/mp3-preview/7f36d65c713e4aa8bcb129479d3985f155a94961?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.751,0.601,5,-5.912,0,0.0828,0.533,0.0,0.377,0.56,100.994,https://api.spotify.com/v1/audio-analysis/3XfUFGzbr0LmwFVoLXd9cO,163940
4lUsBLTAiufWocWtg4H0my,https://p.scdn.co/mp3-preview/08ec0d7946106dffceb7c19f6b7cde706ca868a5?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.408,0.47,10,-10.149,1,0.0893,0.666,5.44e-05,0.0926,0.0953,51.66,https://api.spotify.com/v1/audio-analysis/4lUsBLTAiufWocWtg4H0my,234613
4w273WCBXwM4P3jTX5HkB2,https://p.scdn.co/mp3-preview/3de4496498c73b0402e263a92997b8a7f67fed59?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.794,0.594,7,-8.698,0,0.139,0.283,0.000381,0.109,0.637,99.238,https://api.spotify.com/v1/audio-analysis/4w273WCBXwM4P3jTX5HkB2,160897
2mpoNBkngUEwnaKoBhZ0vl,https://p.scdn.co/mp3-preview/81fe8784379991b20f0b0dcf79c6e94a47437b17?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,https://api.spotify.com/v1/audio-analysis/2mpoNBkngUEwnaKoBhZ0vl,184066
6G2xXQRSZlEzYsUEb3uvuR,https://p.scdn.co/mp3-preview/f7c52d8133d93ef31fed1058d0705aea45f5c04e?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,https://api.spotify.com/v1/audio-analysis/6G2xXQRSZlEzYsUEb3uvuR,214149
3NqBxTOMCJ3zW9CIP51td4,https://p.scdn.co/mp3-preview/4a2cab08b329338f187a39bcbe07f941e9769c9d?cid=7596a347c632409f9829d4c3cb9fa3c7,sad,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,https://api.spotify.com/v1/audio-analysis/3NqBxTOMCJ3zW9CIP51td4,275194
