id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2naqSVQHgiaoEpxtkVOhmK,https://p.scdn.co/mp3-preview/c0631f987e2b944c2966940e366461a21aaad257?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,https://api.spotify.com/v1/audio-analysis/2naqSVQHgiaoEpxtkVOhmK,228554
6srBp90EwADKAF7PorGiUC,https://p.scdn.co/mp3-preview/9e62ecacb34bc2f59369f96269208475255634f7?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.662,0.776,8,-4.707,1,0.0457,0.715,0.000411,0.106,0.724,90.838,https://api.spotify.com/v1/audio-analysis/6srBp90EwADKAF7PorGiUC,271766
2HbmLkHkkI15eES8kpWRuI,https://p.scdn.co/mp3-preview/ce2153e49379069f9d26a935491aa748e9d806db?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.643,0.602,5,-9.28,0,0.0438,0.667,8.62e-05,0.276,0.961,83.778,https://api.spotify.com/v1/audio-analysis/2HbmLkHkkI15eES8kpWRuI,311400
7nDIflSHQXzaa8zupxwv3U,https://p.scdn.co/mp3-preview/f093943ea736639139eedff0037e878ea96ccb9f?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.653,0.827,4,-3.206,0,0.042,0.649,0.0,0.18,0.733,95.223,https://api.spotify.com/v1/audio-analysis/7nDIflSHQXzaa8zupxwv3U,259853
1TMxv8sfUhU55AC6Ul1PU5,https://p.scdn.co/mp3-preview/1cfc1f88188566055bbe8dc449602195e737164a?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.746,0.786,10,-7.273,0,0.0428,0.538,8e-06,0.0656,0.968,93.767,https://api.spotify.com/v1/audio-analysis/1TMxv8sfUhU55AC6Ul1PU5,308040
47TyfLrGhYHHyyQWk64d0M,https://p.scdn.co/mp3-preview/c29f603d080ce2955f663fd8b29f53ae9ffd544b?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.574,0.802,7,-3.976,1,0.0316,0.659,5.07e-06,0.0765,0.739,93.537,https://api.spotify.com/v1/audio-analysis/47TyfLrGhYHHyyQWk64d0M,280453
3yEtuhGR8jOtusa29jWrhG,https://p.scdn.co/mp3-preview/ef7e58d2e5b30d366c63442c64e364cb6e188a00?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.691,0.658,0,-6.496,1,0.0359,0.398,4.58e-05,0.112,0.617,97.68,https://api.spotify.com/v1/audio-analysis/3yEtuhGR8jOtusa29jWrhG,300160
7DcJXd2xxVcohwehWahFJJ,https://p.scdn.co/mp3-preview/af5540d402e3b87d9fdea2353f2daec008b43736?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.827,0.781,7,-5.914,1,0.0502,0.188,0.000759,0.249,0.961,95.411,https://api.spotify.com/v1/audio-analysis/7DcJXd2xxVcohwehWahFJJ,302253
1SZMZCqVHIWgyEy2dIHsZR,https://p.scdn.co/mp3-preview/e7d938ed3c68015966a039d2e43537152fa144b0?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.608,0.769,5,-4.028,0,0.0434,0.484,4.77e-06,0.0529,0.948,83.892,https://api.spotify.com/v1/audio-analysis/1SZMZCqVHIWgyEy2dIHsZR,225953
1BwrMGGhPA6GarWIYaFrW8,https://p.scdn.co/mp3-preview/d46f3a28c779e7b9d45e72c70d51067c98afd4b4?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,https://api.spotify.com/v1/audio-analysis/1BwrMGGhPA6GarWIYaFrW8,278867
3WXfQDsASfXrSojk9WB3aR,https://p.scdn.co/mp3-preview/1cdd15887c008c79bcbdb1aa291df9655a4a20c8?cid=7596a347c632409f9829d4c3cb9fa3c7,salsa,0.642,0.7,1,-9.213,1,0.0552,0.172,0.000232,0.0895,0.784,103.899,https://api.spotify.com/v1/audio-analysis/3WXfQDsASfXrSojk9WB3aR,312480
