id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
36SJ7ZFx8J1f1RsewmUwMX,https://p.scdn.co/mp3-preview/94db86c1ea2831a73f16b7a9da924078d4b282bf?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.82,0.634,9,-13.816,1,0.0747,0.128,0.0,0.0971,0.716,116.625,https://api.spotify.com/v1/audio-analysis/36SJ7ZFx8J1f1RsewmUwMX,216933
5u8bqfaYSh0qVTsgslPknf,https://p.scdn.co/mp3-preview/47071964099aca416987723e76e149927b3cab91?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.639,0.403,7,-12.401,1,0.0349,0.567,0.0,0.67,0.324,132.56,https://api.spotify.com/v1/audio-analysis/5u8bqfaYSh0qVTsgslPknf,255600
6U7GUjtamt2P0LcFod1dBT,https://p.scdn.co/mp3-preview/ee59db1c8936393d358755ae3b98756b6307d15e?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.747,0.928,5,-6.107,0,0.0824,0.0297,1.75e-06,0.113,0.87,100.065,https://api.spotify.com/v1/audio-analysis/6U7GUjtamt2P0LcFod1dBT,262840
1XCBWtTJZuHbwa6GLUutjo,https://p.scdn.co/mp3-preview/390dd08e7eb186c45ac82efdcac629c36c1e823b?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.499,0.0539,11,-21.882,1,0.0396,0.972,0.0287,0.0839,0.324,72.981,https://api.spotify.com/v1/audio-analysis/1XCBWtTJZuHbwa6GLUutjo,280840
209ucYTS6vWEV5iydrHiOt,https://p.scdn.co/mp3-preview/e8fa1f05a286d5514757d4463d779517a488a6ae?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.793,0.372,10,-15.491,1,0.0509,0.687,0.573,0.105,0.482,120.134,https://api.spotify.com/v1/audio-analysis/209ucYTS6vWEV5iydrHiOt,233544
1xaTXPoDk4VOU9XhYX4KJM,https://p.scdn.co/mp3-preview/2799ccd4b9c62d2fff2a69e3f369834e289a0e30?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,https://api.spotify.com/v1/audio-analysis/1xaTXPoDk4VOU9XhYX4KJM,419627
4qGfJb2KByjvzrwo8HNibg,https://p.scdn.co/mp3-preview/66226adf00f9f915b6e49039bb3b255a3819f0e5?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.696,0.17,5,-16.603,0,0.0385,0.943,0.00154,0.106,0.523,130.967,https://api.spotify.com/v1/audio-analysis/4qGfJb2KByjvzrwo8HNibg,167533
5jBv1j7ISp1ja8e1N2oSmt,https://p.scdn.co/mp3-preview/9c6c6104bab991ec4ab7495ec13e8457baa20151?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.612,0.156,3,-15.823,1,0.0396,0.962,0.0026,0.102,0.415,131.09,https://api.spotify.com/v1/audio-analysis/5jBv1j7ISp1ja8e1N2oSmt,304827
7yMgQWLy12WRhG3ZQKmlfu,https://p.scdn.co/mp3-preview/89b8114d379cb3dee7d8afde496243b556931f90?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.511,0.463,8,-9.002,1,0.0384,0.823,0.198,0.0958,0.791,77.524,https://api.spotify.com/v1/audio-analysis/7yMgQWLy12WRhG3ZQKmlfu,158114
0fLfx5dOroUjtX42BrYFX9,https://p.scdn.co/mp3-preview/8990454194ca5d873465c196f9a71deaa46aa841?cid=7596a347c632409f9829d4c3cb9fa3c7,samba,0.517,0.275,3,-12.819,1,0.0335,0.938,0.083,0.15,0.378,68.26,https://api.spotify.com/v1/audio-analysis/0fLfx5dOroUjtX42BrYFX9,162041
