id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6C8XcTnFapJqqRxbf9bgID,https://p.scdn.co/mp3-preview/2a76ad7e1b683496e48eb1682475eaae916e5ada?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.613,0.652,11,-3.917,1,0.17,0.104,0.0,0.354,0.892,122.904,https://api.spotify.com/v1/audio-analysis/6C8XcTnFapJqqRxbf9bgID,166410
2K9kZpwD2CzTa6iiSYYOoO,https://p.scdn.co/mp3-preview/62e0b0283c1accc1d3d3ce5e39a9d75dd04388ac?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,https://api.spotify.com/v1/audio-analysis/2K9kZpwD2CzTa6iiSYYOoO,166775
4o6v3Oooyt7HF20idztRD4,https://p.scdn.co/mp3-preview/6d887c9a1c1ff30acb49c137b45c4b781d21d09a?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.651,0.947,1,-3.669,1,0.0539,0.305,0.0,0.92,0.722,158.046,https://api.spotify.com/v1/audio-analysis/4o6v3Oooyt7HF20idztRD4,154702
4ASA1PZyWGbuc4d9N8OAcF,https://p.scdn.co/mp3-preview/d21e16e021f3dba40946ac5bd1331861dc2653ba?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.636,0.909,0,-3.685,1,0.0439,0.149,0.0,0.719,0.61,154.189,https://api.spotify.com/v1/audio-analysis/4ASA1PZyWGbuc4d9N8OAcF,148800
0INaMqjJJe1BZpnWuCxDzt,https://p.scdn.co/mp3-preview/59fe8f15fc415974fd7d63af7ddc8471fff4207f?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.651,0.92,11,-6.964,1,0.0665,0.096,0.0,0.971,0.735,96.02,https://api.spotify.com/v1/audio-analysis/0INaMqjJJe1BZpnWuCxDzt,170893
3gCWngngUs1uojw33vrE8K,https://p.scdn.co/mp3-preview/4fc36926cc86ec091d9307e195093430f11bde01?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.761,0.574,11,-8.196,1,0.0675,0.78,0.0,0.459,0.605,124.185,https://api.spotify.com/v1/audio-analysis/3gCWngngUs1uojw33vrE8K,161470
46aIq2GKW7Vr6i4g2Vvycd,https://p.scdn.co/mp3-preview/e40b7d72e1bda3ac46d12d5d421d77f0cd77ad02?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.65,0.947,11,-5.326,1,0.0717,0.222,0.0,0.979,0.694,96.035,https://api.spotify.com/v1/audio-analysis/46aIq2GKW7Vr6i4g2Vvycd,170493
7LUZT12r4xmwR1Kh8TJgjv,https://p.scdn.co/mp3-preview/3c7bf0d6fb996dcd01ab009f82a2e4f569a35a78?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.75,0.748,9,-4.424,1,0.0331,0.554,0.0,0.921,0.607,105.989,https://api.spotify.com/v1/audio-analysis/7LUZT12r4xmwR1Kh8TJgjv,182944
0KXdSF0Poa57KOepZ3hKrh,https://p.scdn.co/mp3-preview/7eca486a721c897db4bd899740547221ff2c581b?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.893,0.829,0,-5.098,0,0.151,0.518,8.69e-06,0.0979,0.498,146.062,https://api.spotify.com/v1/audio-analysis/0KXdSF0Poa57KOepZ3hKrh,159530
2M4kQD87lKnAS9vFlb4Bez,https://p.scdn.co/mp3-preview/8bc4347304478675799b2f74450ad3e71708d275?cid=7596a347c632409f9829d4c3cb9fa3c7,sertanejo,0.565,0.889,1,-2.976,1,0.0498,0.582,0.0,0.427,0.473,121.778,https://api.spotify.com/v1/audio-analysis/2M4kQD87lKnAS9vFlb4Bez,183695
