id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0qcr5FMsEO85NAQjrlDRKo,https://p.scdn.co/mp3-preview/b1e675202052760b96f1a2136138df3611a2c57b?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840
6mb6lVLNrcUgLnEN8QnDJd,https://p.scdn.co/mp3-preview/912a51178e62f7411ab3dbc02548605caf666949?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,https://api.spotify.com/v1/audio-analysis/6mb6lVLNrcUgLnEN8QnDJd,163387
4b1yxSdlumA8N4fEk4UOZp,https://p.scdn.co/mp3-preview/cd445763c4f5df75b8fb708cf00dc98ec8202c97?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,https://api.spotify.com/v1/audio-analysis/4b1yxSdlumA8N4fEk4UOZp,257213
3Z0oQ8r78OUaHvGPiDBR3W,https://p.scdn.co/mp3-preview/a6083849c3e44b2ac0b6565aabd7306bf0d59712?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.323,0.405,10,-8.533,0,0.0413,0.849,0.000544,0.138,0.274,145.104,https://api.spotify.com/v1/audio-analysis/3Z0oQ8r78OUaHvGPiDBR3W,194848
3oRW9ZGPRbLRMneQ5lwflt,https://p.scdn.co/mp3-preview/487528cfac6bfbbc9c7fb2da64fe2e1ba0500f07?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.48,0.554,1,-8.145,0,0.069,0.171,0.0,0.131,0.267,190.066,https://api.spotify.com/v1/audio-analysis/3oRW9ZGPRbLRMneQ5lwflt,161840
7tUSJY4nsDBJTjd1UXKRsT,https://p.scdn.co/mp3-preview/57fecaa6e1777535d4bfe2949bfb605433527fe1?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.274,0.144,5,-14.516,1,0.0482,0.92,0.000388,0.29,0.302,61.551,https://api.spotify.com/v1/audio-analysis/7tUSJY4nsDBJTjd1UXKRsT,195493
50WeOnXhM1H7AZEeIDoWfZ,https://p.scdn.co/mp3-preview/610d37fdbe799d6d07dfc913381f1d727b15060e?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.321,0.429,6,-7.073,1,0.0302,0.724,9.1e-05,0.0606,0.174,123.419,https://api.spotify.com/v1/audio-analysis/50WeOnXhM1H7AZEeIDoWfZ,260907
5k3U0OGYBccHdKJJu3HrUN,https://p.scdn.co/mp3-preview/851383ab193b54e7f4fbf34ddf09efbc5065a7fd?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.408,0.313,0,-18.09,1,0.137,0.617,1.18e-05,0.115,0.725,170.013,https://api.spotify.com/v1/audio-analysis/5k3U0OGYBccHdKJJu3HrUN,213600
3dP0pLbg9OfVwssDjp9aT0,https://p.scdn.co/mp3-preview/1f08c1be57f67cfe16cc56ebc1fbe996619c1750?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.707,0.593,5,-8.581,0,0.0949,0.287,0.0,0.15,0.478,123.772,https://api.spotify.com/v1/audio-analysis/3dP0pLbg9OfVwssDjp9aT0,329228
0RoA7ObU6phWpqhlC9zH4Z,https://p.scdn.co/mp3-preview/bf8f02860a38a270f38a5beea6eb533da4e5ad3a?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.265,0.312,7,-11.689,1,0.0569,0.243,0.0,0.0893,0.0998,54.747,https://api.spotify.com/v1/audio-analysis/0RoA7ObU6phWpqhlC9zH4Z,269453
2bwSCIuNtVrQPVddCi8sOW,https://p.scdn.co/mp3-preview/3a438aaa45b611c0428a31d3c3698db07533b655?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.707,0.656,4,-9.279,1,0.173,0.743,0.0,0.172,0.748,118.037,https://api.spotify.com/v1/audio-analysis/2bwSCIuNtVrQPVddCi8sOW,210320
6OG1S805gIrH5nAQbEOPY3,https://p.scdn.co/mp3-preview/a5193361f1a6046a685c1d10baf937ae8923a85c?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.607,0.466,0,-7.562,1,0.0578,0.39,0.0,0.135,0.434,121.741,https://api.spotify.com/v1/audio-analysis/6OG1S805gIrH5nAQbEOPY3,208321
0Gl5s8IhMmQE5YQwM8Qx1J,https://p.scdn.co/mp3-preview/52d77fa29570e97ab41d8e3be68d474ebd2864df?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,https://api.spotify.com/v1/audio-analysis/0Gl5s8IhMmQE5YQwM8Qx1J,207787
7bG6SQBGZthPDG5QJL5Gf7,https://p.scdn.co/mp3-preview/305cfea1ebf5356e6d8ffaaff4a9fbd25530327a?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.5,0.342,7,-9.536,1,0.175,0.536,0.0,0.59,0.684,77.124,https://api.spotify.com/v1/audio-analysis/7bG6SQBGZthPDG5QJL5Gf7,110987
0PKmDncVOiNQLO6D1P6PXi,https://p.scdn.co/mp3-preview/3d60208b4cf648a478bd38b89ddd49698e542b1b?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.684,0.481,0,-10.305,1,0.0391,0.228,0.0,0.157,0.48,121.208,https://api.spotify.com/v1/audio-analysis/0PKmDncVOiNQLO6D1P6PXi,140227
7EqpEBPOohgk7NnKvBGFWo,https://p.scdn.co/mp3-preview/5a579c2860c08f75a7eb2b7a8e484227d4953506?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,https://api.spotify.com/v1/audio-analysis/7EqpEBPOohgk7NnKvBGFWo,193750
65fpYBrI8o2cfrwf2US4gq,https://p.scdn.co/mp3-preview/efabc55069ffc5f93d4ac43372bec4ffb7380c0f?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,https://api.spotify.com/v1/audio-analysis/65fpYBrI8o2cfrwf2US4gq,217440
71X7bPDljJHrmEGYCe7kQ8,https://p.scdn.co/mp3-preview/0113fa474b18beb7f42d2b20df556f41cdbb13e2?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.74,0.727,2,-6.253,1,0.278,0.187,0.0,0.627,0.792,101.409,https://api.spotify.com/v1/audio-analysis/71X7bPDljJHrmEGYCe7kQ8,186543
45aBsnKRWUzhwbcqOJLwfe,https://p.scdn.co/mp3-preview/d5d7a2d2d630d8c0343c3e755a98737897a61262?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,https://api.spotify.com/v1/audio-analysis/45aBsnKRWUzhwbcqOJLwfe,234707
0Ie5uiv54KgCr7P4sYDTHl,https://p.scdn.co/mp3-preview/5f9ad9c948970cc8fb9eae4315308e2de607acf0?cid=7596a347c632409f9829d4c3cb9fa3c7,show-tunes,0.553,0.476,0,-8.869,1,0.0649,0.647,0.0,0.281,0.558,113.401,https://api.spotify.com/v1/audio-analysis/0Ie5uiv54KgCr7P4sYDTHl,166147
