id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3yMC1KsTwh0ceXdIe4QQAQ,https://p.scdn.co/mp3-preview/9418578a1db3145a7c245a6c5b7508b6e3a3c180?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,https://api.spotify.com/v1/audio-analysis/3yMC1KsTwh0ceXdIe4QQAQ,175345
4svaKoxMMP7ImmKrD5hfQu,https://p.scdn.co/mp3-preview/c3d8bc6c614f4258b48a5cfd6c466b850d2895d3?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,https://api.spotify.com/v1/audio-analysis/4svaKoxMMP7ImmKrD5hfQu,176125
37zuIvk4KBkAxxLJsxJaHq,https://p.scdn.co/mp3-preview/4ef2f09449efc4f9ebbd665f0c2f98d47ea8c25f?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,https://api.spotify.com/v1/audio-analysis/37zuIvk4KBkAxxLJsxJaHq,268293
6Z165JvPnS8PYvGW8oLGLc,https://p.scdn.co/mp3-preview/35ba3fca4538685f6b96c6f4e97bb5e5b4fe02eb?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,https://api.spotify.com/v1/audio-analysis/6Z165JvPnS8PYvGW8oLGLc,157373
57V4uc2b2diZ4RPHXWecb9,https://p.scdn.co/mp3-preview/016654bc4589ffb5b8a2f96273e713e201ea5a2a?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.539,0.179,7,-14.33,1,0.0309,0.921,0.393,0.106,0.145,140.01,https://api.spotify.com/v1/audio-analysis/57V4uc2b2diZ4RPHXWecb9,198027
5Qnrgqy1pAm9GyNQOgyVFz,https://p.scdn.co/mp3-preview/96d1204fd7bc4589dadacdf47ec5b84c616daf26?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,https://api.spotify.com/v1/audio-analysis/5Qnrgqy1pAm9GyNQOgyVFz,279316
3o9kpgkIcffx0iSwxhuNI2,https://p.scdn.co/mp3-preview/e5e703b1286ad3b78c368bcd8dbbdfdcc3db7859?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,https://api.spotify.com/v1/audio-analysis/3o9kpgkIcffx0iSwxhuNI2,169238
6VhuP99TE6gYNQRJIlAWFD,https://p.scdn.co/mp3-preview/31aa68f69f78ce540de12ac366135608a8cf44d5?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667
2jdAk8ATWIL3dwT47XpRfu,https://p.scdn.co/mp3-preview/cfcac0abaa30f42b7776564396c54ba1d73e0db8?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,https://api.spotify.com/v1/audio-analysis/2jdAk8ATWIL3dwT47XpRfu,242000
5Apvsk0suoivI1H8CmBglv,https://p.scdn.co/mp3-preview/319817a7e31faa8b67eb77eaa4069af70e754333?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036,https://api.spotify.com/v1/audio-analysis/5Apvsk0suoivI1H8CmBglv,217480
5imShWWzwqfAJ9gXFpGAQh,https://p.scdn.co/mp3-preview/60fb9f406f29ede2db7252212a0442c858af5cc9?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,https://api.spotify.com/v1/audio-analysis/5imShWWzwqfAJ9gXFpGAQh,201173
6cx5CvFhqN19efStehJqoW,https://p.scdn.co/mp3-preview/4aec43bb99e5cdf94d7303c783592999c6692914?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.472,0.204,3,-13.065,1,0.0452,0.917,0.0,0.107,0.224,82.51,https://api.spotify.com/v1/audio-analysis/6cx5CvFhqN19efStehJqoW,168907
1C042FLYy7rP3MfnkOcnha,https://p.scdn.co/mp3-preview/e7ccf14a97ab071e96edeecdf6e88b6f91b81497?cid=7596a347c632409f9829d4c3cb9fa3c7,singer-songwriter,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,https://api.spotify.com/v1/audio-analysis/1C042FLYy7rP3MfnkOcnha,240147
