id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1qV6e4ITnfGmA6m6Vklvbi,https://p.scdn.co/mp3-preview/9fa7aa3587a52c528190fc9b683387394098589e?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.601,0.649,7,-10.57,1,0.0554,0.0285,7.71e-05,0.127,0.708,121.66,https://api.spotify.com/v1/audio-analysis/1qV6e4ITnfGmA6m6Vklvbi,201133
19CmuECYssqkPWANF4nLWM,https://p.scdn.co/mp3-preview/b6d26d5cdf716c125597b37d8b30442c0a721420?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.658,0.815,0,-6.834,1,0.105,0.0168,0.0,0.341,0.837,99.276,https://api.spotify.com/v1/audio-analysis/19CmuECYssqkPWANF4nLWM,191560
5rBOBI3INEw0u0rwNNGib5,https://p.scdn.co/mp3-preview/164e3f7fc8a4943a4ca6f2004757b00e4f5a3927?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.624,0.719,2,-9.87,1,0.0278,0.0307,0.0489,0.322,0.724,129.552,https://api.spotify.com/v1/audio-analysis/5rBOBI3INEw0u0rwNNGib5,213933
0zCOT028cU3DeCqN1G18wE,https://p.scdn.co/mp3-preview/0f2117d02abbd17b6f606b64b0d24e7e464b4de1?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.607,0.666,2,-4.187,0,0.0407,0.168,0.0,0.201,0.79,139.542,https://api.spotify.com/v1/audio-analysis/0zCOT028cU3DeCqN1G18wE,228427
1hh4GY1zM7SUAyM3a2ziH5,https://p.scdn.co/mp3-preview/5aebc62b43b78121f825bc5a380c1053c722df8b?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.582,0.91,4,-4.566,1,0.107,0.0755,1.03e-06,0.0992,0.733,92.179,https://api.spotify.com/v1/audio-analysis/1hh4GY1zM7SUAyM3a2ziH5,211400
6TqXieeBcZZHyaO14hQpKx,https://p.scdn.co/mp3-preview/49ab75b81912788582114e44ff29be61db8a5ada?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.657,0.447,0,-13.148,1,0.0303,0.478,0.00105,0.0995,0.523,121.989,https://api.spotify.com/v1/audio-analysis/6TqXieeBcZZHyaO14hQpKx,268867
6SJ1hWFVBIiUgGgHKvwXCQ,https://p.scdn.co/mp3-preview/355a2e176ebc78c11705e1dc182c5e7bc957f7cd?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.557,0.87,1,-6.332,1,0.125,0.064,1.51e-05,0.208,0.947,104.708,https://api.spotify.com/v1/audio-analysis/6SJ1hWFVBIiUgGgHKvwXCQ,227493
2CLSHTGF4jYXx2RCz1h0dS,https://p.scdn.co/mp3-preview/316181f9c13788de009d686743f01ac2bc69643a?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.746,0.665,2,-6.106,1,0.0963,0.00532,0.000804,0.155,0.751,79.022,https://api.spotify.com/v1/audio-analysis/2CLSHTGF4jYXx2RCz1h0dS,233267
60FJeNTK5edr72G2xtCWuP,https://p.scdn.co/mp3-preview/d7c04c51a748745b82bb37448fbd52b0a0d7e5ee?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.577,0.936,11,-2.924,0,0.078,0.043,1.74e-05,0.413,0.899,168.879,https://api.spotify.com/v1/audio-analysis/60FJeNTK5edr72G2xtCWuP,170453
4Pmo0mMgiyBCj1Zd7Axsi1,https://p.scdn.co/mp3-preview/98ed4eac8cb2f47a4a22ea1cce6683e002ca8e83?cid=7596a347c632409f9829d4c3cb9fa3c7,ska,0.569,0.954,2,-4.82,1,0.126,0.35,0.000265,0.0768,0.574,91.205,https://api.spotify.com/v1/audio-analysis/4Pmo0mMgiyBCj1Zd7Axsi1,134027
