id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5J4mgUctKcNIOEueG8vNZx,https://p.scdn.co/mp3-preview/04579e7207ce751d8bf4277132311a0b07bae430?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.5,0.908,2,-4.303,1,0.0418,0.0166,0.0,0.128,0.744,138.834,https://api.spotify.com/v1/audio-analysis/5J4mgUctKcNIOEueG8vNZx,217493
0cpHyq7Eu2D8pMTZFoPY2L,https://p.scdn.co/mp3-preview/04579e7207ce751d8bf4277132311a0b07bae430?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.5,0.908,2,-4.303,1,0.0418,0.0166,0.0,0.128,0.744,138.834,https://api.spotify.com/v1/audio-analysis/0cpHyq7Eu2D8pMTZFoPY2L,217493
6qVdnEwkxm1wtHqiOkjgsA,https://p.scdn.co/mp3-preview/7dbd52668c3e95a2fb388dbcec8d55489bcf45fe?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.526,0.365,1,-12.605,1,0.028,0.0775,1.37e-05,0.0618,0.254,131.251,https://api.spotify.com/v1/audio-analysis/6qVdnEwkxm1wtHqiOkjgsA,394133
7eOojRfcA5c60Wxr26IBBI,https://p.scdn.co/mp3-preview/04579e7207ce751d8bf4277132311a0b07bae430?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.5,0.908,2,-4.303,1,0.0418,0.0166,0.0,0.128,0.744,138.834,https://api.spotify.com/v1/audio-analysis/7eOojRfcA5c60Wxr26IBBI,217493
6f00TL45khINfOGYdODvVt,https://p.scdn.co/mp3-preview/491d9bd36831849810510cbcd8c2e287ef5145ea?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.715,0.662,11,-11.983,0,0.0311,0.00118,0.00173,0.0465,0.913,128.658,https://api.spotify.com/v1/audio-analysis/6f00TL45khINfOGYdODvVt,214333
2LxkG2SgaVIRuJcl7RwcMU,https://p.scdn.co/mp3-preview/0571fc7609135bf6c785ba7867fa5b0e1359bfc7?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.521,0.494,1,-7.509,1,0.0275,0.0653,1.32e-05,0.0697,0.252,131.247,https://api.spotify.com/v1/audio-analysis/2LxkG2SgaVIRuJcl7RwcMU,393653
5sP3kGcEg7Cj6bXhv1Ev7o,https://p.scdn.co/mp3-preview/2e5bf7bc9939bf51a02acd571fe4ba27b42fefe0?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.314,0.507,1,-6.762,1,0.0563,0.478,0.0,0.0869,0.236,61.975,https://api.spotify.com/v1/audio-analysis/5sP3kGcEg7Cj6bXhv1Ev7o,203810
3T9JEdE9iN4zyMkfkvZJjI,https://p.scdn.co/mp3-preview/c9dc96043c33076859908f18328bf6f15f8c5488?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.405,0.632,9,-5.879,0,0.0264,0.0504,0.0,0.128,0.362,70.378,https://api.spotify.com/v1/audio-analysis/3T9JEdE9iN4zyMkfkvZJjI,244960
2x3kbbqZfAZ8lEGhyhCuSR,https://p.scdn.co/mp3-preview/7dbd52668c3e95a2fb388dbcec8d55489bcf45fe?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.526,0.365,1,-12.605,1,0.028,0.0775,1.37e-05,0.0618,0.254,131.251,https://api.spotify.com/v1/audio-analysis/2x3kbbqZfAZ8lEGhyhCuSR,394133
7spJQDIDvQbuisokV4UM6j,https://p.scdn.co/mp3-preview/311b31df99ff426def3d1858dd58d4901423fd44?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,https://api.spotify.com/v1/audio-analysis/7spJQDIDvQbuisokV4UM6j,243057
1KFuLRUmWf0irn0CLclT2X,https://p.scdn.co/mp3-preview/6759528ec47bc197eba6871122a9c62201ac3c3b?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.441,0.138,11,-12.136,1,0.0352,0.93,0.00023,0.105,0.119,85.492,https://api.spotify.com/v1/audio-analysis/1KFuLRUmWf0irn0CLclT2X,177919
5KsLlcmWDoHUoJFzRw14wD,https://p.scdn.co/mp3-preview/b1ae073ff5063cdd17ebf4efefeef07b4c36a4aa?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.758,0.465,7,-6.547,1,0.0374,0.489,5.13e-05,0.116,0.758,138.9,https://api.spotify.com/v1/audio-analysis/5KsLlcmWDoHUoJFzRw14wD,240627
19pChrR4hwdINqoOFUo2Hj,https://p.scdn.co/mp3-preview/e7c5c1bc50504f31f9e40c98a0d81ff62dded24f?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.689,0.143,6,-17.374,1,0.264,0.97,0.0,0.109,0.528,85.398,https://api.spotify.com/v1/audio-analysis/19pChrR4hwdINqoOFUo2Hj,198220
4kPLmTsTwA6wvtcbb0LtbM,https://p.scdn.co/mp3-preview/c34df364ce2e7d98f50957d449e1490dfd559d9d?cid=7596a347c632409f9829d4c3cb9fa3c7,songwriter,0.571,0.721,9,-5.645,1,0.0307,0.404,0.00961,0.299,0.733,95.027,https://api.spotify.com/v1/audio-analysis/4kPLmTsTwA6wvtcbb0LtbM,212472
