id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
2LMkwUfqC6S6s6qDVlEuzV,https://p.scdn.co/mp3-preview/7bc217a6aadae905f9d3a153b254639f022ae5ca?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,https://api.spotify.com/v1/audio-analysis/2LMkwUfqC6S6s6qDVlEuzV,248808
2N5zMZX7YeL1tico8oQxa9,https://p.scdn.co/mp3-preview/ce6adb33bf0a81706b30126ee44dd551cc4452c7?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,https://api.spotify.com/v1/audio-analysis/2N5zMZX7YeL1tico8oQxa9,182066
5FgPwJ7Nh2FVmIXviKl2VF,https://p.scdn.co/mp3-preview/fc6a819ee928d3cf5d9d4ea6b168f18fd9a543a5?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,https://api.spotify.com/v1/audio-analysis/5FgPwJ7Nh2FVmIXviKl2VF,212040
5GUYJTQap5F3RDQiCOJhrS,https://p.scdn.co/mp3-preview/3ba8793e418e424a93fed0daff5778d8459980d4?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.581,0.21,8,-10.426,1,0.0321,0.768,0.0,0.369,0.452,80.099,https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS,249668
3XVBdLihbNbxUwZosxcGuJ,https://p.scdn.co/mp3-preview/055c3b8110e5d887fadd4d3ad6a76d68220af1d5?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707
1Cv1YLb4q0RzL6pybtaMLo,https://p.scdn.co/mp3-preview/ee52fc8a1ef0a5c5d225eb5b8118e82876beddc2?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,https://api.spotify.com/v1/audio-analysis/1Cv1YLb4q0RzL6pybtaMLo,158571
6etwirSInfuJrSOlogS6Sh,https://p.scdn.co/mp3-preview/2694361a262b4587115df08ba598ebe651a3af95?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.693,0.729,0,-2.99,1,0.378,0.171,0.0,0.07,0.521,117.848,https://api.spotify.com/v1/audio-analysis/6etwirSInfuJrSOlogS6Sh,284733
4QhWbupniDd44EDtnh2bFJ,https://p.scdn.co/mp3-preview/b41793549e857869cc62819425cbdde7962941e3?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ,592920
7oOOI85fVQvVnK5ynNMdW7,https://p.scdn.co/mp3-preview/0a68dcee07671a194839e9d75cc1670b3cf0843c?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627
1fOkmYW3ZFkkjIdOZSf596,https://p.scdn.co/mp3-preview/38bcaae6de39648a89a7b1147f3f15480e4a0db8?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,https://api.spotify.com/v1/audio-analysis/1fOkmYW3ZFkkjIdOZSf596,268813
5ASM6Qjiav2xPe7gRkQMsQ,https://p.scdn.co/mp3-preview/c337bec361f64812b8f23e92b6f8c6a289a2a005?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,https://api.spotify.com/v1/audio-analysis/5ASM6Qjiav2xPe7gRkQMsQ,181267
6IwKcFdiRQZOWeYNhUiWIv,https://p.scdn.co/mp3-preview/d4694e57b0f4a90dcb81e4fd9ac3901daf93242f?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,https://api.spotify.com/v1/audio-analysis/6IwKcFdiRQZOWeYNhUiWIv,253813
0XO2hckt5aHvvwH7FFdVYF,https://p.scdn.co/mp3-preview/d00eb6d3cdbf16681f048721ba64a3874007e7af?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.708,0.358,11,-9.815,1,0.0563,0.157,0.0,0.109,0.118,122.021,https://api.spotify.com/v1/audio-analysis/0XO2hckt5aHvvwH7FFdVYF,251860
58zsLZPvfflaiIbNWoA22O,https://p.scdn.co/mp3-preview/4a6242d4e01529765b34537cc7392f6d2f8211ba?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,https://api.spotify.com/v1/audio-analysis/58zsLZPvfflaiIbNWoA22O,200187
27rdGxbavYJeBphck5MZAF,https://p.scdn.co/mp3-preview/764149fa2bea070b5f0f4252a1acbb318b11e424?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,https://api.spotify.com/v1/audio-analysis/27rdGxbavYJeBphck5MZAF,217467
4esOae7i4rqTbAu9o5Pxco,https://p.scdn.co/mp3-preview/754da9eb15af8a54adc3ce7a6f0a3150f9e5d225?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,https://api.spotify.com/v1/audio-analysis/4esOae7i4rqTbAu9o5Pxco,224920
7s25THrKz86DM225dOYwnr,https://p.scdn.co/mp3-preview/42dff08723b129c1cc198096556b01db7e37bc94?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600
3nXrCAE44KlevAkQB2XWcN,https://p.scdn.co/mp3-preview/2951c7839b41f09b96300b56d19bf02362adbe04?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044,https://api.spotify.com/v1/audio-analysis/3nXrCAE44KlevAkQB2XWcN,166998
6kopmMZiyLmw7h66uXcXR7,https://p.scdn.co/mp3-preview/b03a0d5fd4c1d42e97cbf6128d6df74293b2b26c?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,https://api.spotify.com/v1/audio-analysis/6kopmMZiyLmw7h66uXcXR7,219413
19YKaevk2bce4odJkP5L22,https://p.scdn.co/mp3-preview/9013483e281675f12975c6160cbaf5d92b986fa1?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,https://api.spotify.com/v1/audio-analysis/19YKaevk2bce4odJkP5L22,314075
0n4bITAu0Y0nigrz3MFJMb,https://p.scdn.co/mp3-preview/8a755ed42dd14039e0add4d45c72a17a20d57718?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,https://api.spotify.com/v1/audio-analysis/0n4bITAu0Y0nigrz3MFJMb,263827
35xSkNIXi504fcEwz9USRB,https://p.scdn.co/mp3-preview/c1dcea7c56bd5341f2c4172a7989a0a9f07189dd?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.469,0.289,5,-10.625,0,0.0366,0.85,2.48e-06,0.161,0.258,133.805,https://api.spotify.com/v1/audio-analysis/35xSkNIXi504fcEwz9USRB,257380
4iuNZTcvT9diFySSzVsnVS,https://p.scdn.co/mp3-preview/675b08d7a0fe48b15f9610c3a5fd9bcc4045be4e?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.569,0.596,8,-6.486,1,0.172,0.452,7.92e-05,0.205,0.754,93.135,https://api.spotify.com/v1/audio-analysis/4iuNZTcvT9diFySSzVsnVS,217347
2SxZZOh2WbDKzcfrrMWWqX,https://p.scdn.co/mp3-preview/312cbeecdc832f8fa9b0bf6b4a259a32a4397525?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.468,0.457,5,-6.386,1,0.0241,0.698,0.0,0.142,0.372,84.557,https://api.spotify.com/v1/audio-analysis/2SxZZOh2WbDKzcfrrMWWqX,216947
6mz1fBdKATx6qP4oP1I65G,https://p.scdn.co/mp3-preview/e56f97377622a62ab673ef83d75b89a92f2f8354?cid=7596a347c632409f9829d4c3cb9fa3c7,soul,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G,251733
