id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3UI9I3e1g1y5T3SMfdgfGO,https://p.scdn.co/mp3-preview/0de60039fb538bc21f8875648c9be187b8c27a2b?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.836,0.637,6,-4.803,1,0.0367,0.535,0.0,0.129,0.875,120.025,https://api.spotify.com/v1/audio-analysis/3UI9I3e1g1y5T3SMfdgfGO,230280
4OwhwvKESFtuu06dTgct7i,https://p.scdn.co/mp3-preview/df601cb1b11b1176d5b3b7def80a75c07d7bebb4?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.75,0.522,9,-7.018,1,0.0293,0.282,0.0,0.0743,0.601,110.427,https://api.spotify.com/v1/audio-analysis/4OwhwvKESFtuu06dTgct7i,321556
0c8f8b76ThPP2MInXEZyTY,https://p.scdn.co/mp3-preview/f1d9bb7e49b7b3e4c30d70a5d3a18382d5f86d36?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.579,0.898,3,-3.217,1,0.0439,0.0505,0.0,0.213,0.635,127.876,https://api.spotify.com/v1/audio-analysis/0c8f8b76ThPP2MInXEZyTY,228107
30Lmg58C0Nni0wfph7oz1C,https://p.scdn.co/mp3-preview/5a864daba8f148cedde5ec63ba0ecc73c0d7372f?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.788,0.81,4,-3.136,1,0.0736,0.0656,0.000465,0.283,0.891,153.936,https://api.spotify.com/v1/audio-analysis/30Lmg58C0Nni0wfph7oz1C,146494
6NsbpLlKYWXpicj8Sj1aPs,https://p.scdn.co/mp3-preview/bb1ae6e08223d65f32edcddf644c57fc9a2ee9a5?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.394,0.508,7,-3.522,1,0.0326,0.795,3.87e-06,0.0627,0.167,89.222,https://api.spotify.com/v1/audio-analysis/6NsbpLlKYWXpicj8Sj1aPs,226213
0yEOf4HIPyRfAsNVIqjb0N,https://p.scdn.co/mp3-preview/e8ea1504711a40e015f761526e8fe23b90ac59d5?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.781,0.645,1,-4.136,0,0.0399,0.0903,1.58e-06,0.226,0.803,128.007,https://api.spotify.com/v1/audio-analysis/0yEOf4HIPyRfAsNVIqjb0N,207333
0f8pq6ZYSNSiTA7TPWYiye,https://p.scdn.co/mp3-preview/468b6c6db6caf1f98f7994c4fc5adf148f51a133?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.621,0.918,1,-3.01,0,0.0552,0.0753,0.0,0.13,0.838,151.988,https://api.spotify.com/v1/audio-analysis/0f8pq6ZYSNSiTA7TPWYiye,205031
4G3JD353mvUcFdPsj7ox4n,https://p.scdn.co/mp3-preview/64e9452a8ea3ddcfee3b26aa87b98cf329fdf656?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.735,0.572,5,-7.683,1,0.107,0.106,3.31e-05,0.0756,0.749,92.037,https://api.spotify.com/v1/audio-analysis/4G3JD353mvUcFdPsj7ox4n,177066
6UXi119GfixPzxjDcjn0MB,https://p.scdn.co/mp3-preview/468b6c6db6caf1f98f7994c4fc5adf148f51a133?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.621,0.918,1,-3.01,0,0.0552,0.0753,0.0,0.13,0.838,151.988,https://api.spotify.com/v1/audio-analysis/6UXi119GfixPzxjDcjn0MB,205031
1HCgjQEf4kHnubv9eYjFnL,https://p.scdn.co/mp3-preview/bb1ae6e08223d65f32edcddf644c57fc9a2ee9a5?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.394,0.508,7,-3.522,1,0.0326,0.795,3.87e-06,0.0627,0.167,89.222,https://api.spotify.com/v1/audio-analysis/1HCgjQEf4kHnubv9eYjFnL,226213
4OvBYpkquFKP53xjZq0ImC,https://p.scdn.co/mp3-preview/0ac19b7b09db6dbc934f82500ae1c26d4224fb56?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.563,0.59,6,-7.01,1,0.04,0.546,0.000212,0.121,0.216,153.87,https://api.spotify.com/v1/audio-analysis/4OvBYpkquFKP53xjZq0ImC,208378
589tVoEZ7N1STvGB2zQvaW,https://p.scdn.co/mp3-preview/bb1ae6e08223d65f32edcddf644c57fc9a2ee9a5?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.394,0.508,7,-3.522,1,0.0326,0.795,3.87e-06,0.0627,0.167,89.222,https://api.spotify.com/v1/audio-analysis/589tVoEZ7N1STvGB2zQvaW,226213
2jBEbTbivDSUgzp5T7Ffu4,https://p.scdn.co/mp3-preview/095ac75c4067404f07f25b24b70e3e5cde16358b?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.48,0.572,2,-4.013,1,0.0412,0.169,0.0,0.0711,0.452,89.89,https://api.spotify.com/v1/audio-analysis/2jBEbTbivDSUgzp5T7Ffu4,181978
1pvBGNiFzhRd5LxFEgA7Hi,https://p.scdn.co/mp3-preview/468b6c6db6caf1f98f7994c4fc5adf148f51a133?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.621,0.918,1,-3.01,0,0.0552,0.0753,0.0,0.13,0.838,151.988,https://api.spotify.com/v1/audio-analysis/1pvBGNiFzhRd5LxFEgA7Hi,205031
217Wf4HVlTXhKfoNNebX1G,https://p.scdn.co/mp3-preview/095ac75c4067404f07f25b24b70e3e5cde16358b?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.48,0.572,2,-4.013,1,0.0412,0.169,0.0,0.0711,0.452,89.89,https://api.spotify.com/v1/audio-analysis/217Wf4HVlTXhKfoNNebX1G,181978
06nNRvOk10iFVmCjKsMoBa,https://p.scdn.co/mp3-preview/a911ac476d7ca191ae7dd393fed29f2e7dd8a389?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.67,0.331,6,-8.35,1,0.0408,0.869,0.0,0.114,0.432,113.731,https://api.spotify.com/v1/audio-analysis/06nNRvOk10iFVmCjKsMoBa,202447
462gDeezBbqqM0vXIfgsu6,https://p.scdn.co/mp3-preview/468b6c6db6caf1f98f7994c4fc5adf148f51a133?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.621,0.918,1,-3.01,0,0.0552,0.0753,0.0,0.13,0.838,151.988,https://api.spotify.com/v1/audio-analysis/462gDeezBbqqM0vXIfgsu6,205031
3UIENhLRdFIOuRan92cAQu,https://p.scdn.co/mp3-preview/f61c2e02d1e649eb9f866bb90be2f0e2550456ec?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.527,0.859,7,-6.685,1,0.0687,0.176,0.0866,0.157,0.443,74.214,https://api.spotify.com/v1/audio-analysis/3UIENhLRdFIOuRan92cAQu,235627
26zFz0R0xGzrb6k7Pn4hvR,https://p.scdn.co/mp3-preview/04a845766fc2aaf04c65fcd420a61123a5d423a8?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.277,0.833,4,-6.35,0,0.0651,0.12,0.0,0.93,0.24,135.828,https://api.spotify.com/v1/audio-analysis/26zFz0R0xGzrb6k7Pn4hvR,458867
6tu2FHuKL9C8pwNrityweQ,https://p.scdn.co/mp3-preview/e659b96933fe42694ca61b644745ae5b57bff7f9?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.736,0.711,2,-5.503,1,0.0352,0.0029,0.000275,0.0948,0.72,112.305,https://api.spotify.com/v1/audio-analysis/6tu2FHuKL9C8pwNrityweQ,225760
5VsIFsmePdLF5wyEAo1dp0,https://p.scdn.co/mp3-preview/a1ef8d20d5c8a52148962e8f15cc856de06bfa75?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.581,0.659,8,-7.511,1,0.116,0.538,0.0,0.0656,0.577,155.945,https://api.spotify.com/v1/audio-analysis/5VsIFsmePdLF5wyEAo1dp0,239972
2iVk0FgDq5lT3dCE0JRIQu,https://p.scdn.co/mp3-preview/a1ef8d20d5c8a52148962e8f15cc856de06bfa75?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.581,0.659,8,-7.511,1,0.116,0.538,0.0,0.0656,0.577,155.945,https://api.spotify.com/v1/audio-analysis/2iVk0FgDq5lT3dCE0JRIQu,239972
5Tt25MIAuk6ziOYD4yGzVc,https://p.scdn.co/mp3-preview/3ab8665bbc7855032115fc0da227171f0ccdf5b3?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.597,0.665,7,-4.403,1,0.129,0.424,0.0,0.115,0.443,94.467,https://api.spotify.com/v1/audio-analysis/5Tt25MIAuk6ziOYD4yGzVc,321324
2OQstGpuyGttdM3cREQd2t,https://p.scdn.co/mp3-preview/f7efaf1bdc03e5e1e9f004b2cfd53db9eb2505c5?cid=7596a347c632409f9829d4c3cb9fa3c7,spanish,0.348,0.568,9,-6.706,1,0.0809,0.391,0.0,0.134,0.301,83.907,https://api.spotify.com/v1/audio-analysis/2OQstGpuyGttdM3cREQd2t,301116
