id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
3r92YrLWSVmwbCpyl0saJ1,https://p.scdn.co/mp3-preview/6b197c55328f0ed0ae0c41de3d4ddc23b8a577fc?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.602,0.279,5,-14.131,0,0.0524,0.909,0.954,0.0942,0.247,178.033,https://api.spotify.com/v1/audio-analysis/3r92YrLWSVmwbCpyl0saJ1,183708
7w8qIRMuhDxNrP3H5FwwsI,https://p.scdn.co/mp3-preview/beab98045e4fb82299303b6d50a499d3c2543789?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.751,0.31,7,-9.131,0,0.275,0.608,0.879,0.111,0.646,97.296,https://api.spotify.com/v1/audio-analysis/7w8qIRMuhDxNrP3H5FwwsI,146375
0A8jHHS6r4XsCKq1NKLIZQ,https://p.scdn.co/mp3-preview/33d2854659bd3bc1a410d87e1cd8182a61154a5e?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.602,0.315,1,-15.164,0,0.0296,0.662,0.927,0.35,0.281,80.07,https://api.spotify.com/v1/audio-analysis/0A8jHHS6r4XsCKq1NKLIZQ,114000
16N0uGSoGeW41PrPCEnh8T,https://p.scdn.co/mp3-preview/400dcda4a9c42470e3d0eec7ada121ea241cad87?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.586,0.295,0,-16.641,1,0.0402,0.86,0.777,0.117,0.279,68.961,https://api.spotify.com/v1/audio-analysis/16N0uGSoGeW41PrPCEnh8T,129049
1D5NGDRg9CFCIm6WXgjtd8,https://p.scdn.co/mp3-preview/453d9eb9d6e963ff843cadf438c2c87bb0451c1d?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.668,0.441,3,-11.824,1,0.0569,0.523,0.918,0.101,0.183,173.991,https://api.spotify.com/v1/audio-analysis/1D5NGDRg9CFCIm6WXgjtd8,103448
1lBL6xxGxERtu699sTR54u,https://p.scdn.co/mp3-preview/e31235c13025bf14c2da6db9b50c74777fe481ad?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.748,0.434,0,-5.843,0,0.0482,0.593,0.9,0.0974,0.389,84.012,https://api.spotify.com/v1/audio-analysis/1lBL6xxGxERtu699sTR54u,209286
3TWkub4WpjCT7ygEbm2B19,https://p.scdn.co/mp3-preview/9c46f38d40293d085da3c0fc4ee5f655695b6205?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.728,0.635,5,-8.535,0,0.049,0.331,0.805,0.123,0.47,92.982,https://api.spotify.com/v1/audio-analysis/3TWkub4WpjCT7ygEbm2B19,138016
0PMlGvzeLrQ27h8oGyfGMV,https://p.scdn.co/mp3-preview/0ade92def6a8a05a5faab026a5509eea7a76ae2d?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.63,0.357,4,-17.251,0,0.0409,0.783,0.861,0.19,0.324,150.011,https://api.spotify.com/v1/audio-analysis/0PMlGvzeLrQ27h8oGyfGMV,152200
1oQt6kTiuPsQEFaHWFH6Pl,https://p.scdn.co/mp3-preview/0c1b2f9c7961efb72904b46ea981dc1ea4276b40?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.657,0.155,6,-6.702,1,0.0852,0.472,0.92,0.113,0.44,162.269,https://api.spotify.com/v1/audio-analysis/1oQt6kTiuPsQEFaHWFH6Pl,156037
3JSg9IUjqze3mySqLn4HmT,https://p.scdn.co/mp3-preview/97e75bed7e09440c419ff13b8422ed63eeab6e1a?cid=7596a347c632409f9829d4c3cb9fa3c7,study,0.781,0.205,7,-12.156,1,0.236,0.398,0.89,0.115,0.586,85.2,https://api.spotify.com/v1/audio-analysis/3JSg9IUjqze3mySqLn4HmT,225882
