id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0GjEhVFGZW8afUYGChu3Rr,https://p.scdn.co/mp3-preview/5a40a3e5533ea452b08be04d901ee6bd10d224ac?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400
3vkQ5DAB1qQMYO4Mr9zJN6,https://p.scdn.co/mp3-preview/47262be992a18a597304159b2302d16e140421c5?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,292613
5BckPAYcKEJuYs1eV1BHHe,https://p.scdn.co/mp3-preview/759f885e079b20e6dae025e7b4b8a7da612c020b?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064,https://api.spotify.com/v1/audio-analysis/5BckPAYcKEJuYs1eV1BHHe,243933
6Ac4NVYYl2U73QiTt11ZKd,https://p.scdn.co/mp3-preview/8f6ede5fa3e1b1776aa0231fb4b5a46070ec03c0?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,https://api.spotify.com/v1/audio-analysis/6Ac4NVYYl2U73QiTt11ZKd,172867
2Nz6aF1umHh5Et6I5H581L,https://p.scdn.co/mp3-preview/8f6ede5fa3e1b1776aa0231fb4b5a46070ec03c0?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,https://api.spotify.com/v1/audio-analysis/2Nz6aF1umHh5Et6I5H581L,172867
2TxCwUlqaOH3TIyJqGgR91,https://p.scdn.co/mp3-preview/3edfc9dd74dda86b8224931a80adce8dc131e8e7?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,https://api.spotify.com/v1/audio-analysis/2TxCwUlqaOH3TIyJqGgR91,213267
7rWgGyRK7RAqAAXy4bLft9,https://p.scdn.co/mp3-preview/fc2baaf4114a548dcfec0e44dbf10d47701aaf3f?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,https://api.spotify.com/v1/audio-analysis/7rWgGyRK7RAqAAXy4bLft9,260893
7aQjPecQdIuNd1sz3KCDhD,https://p.scdn.co/mp3-preview/c51d7c7d83c1c5858ccd581aaba2753e7357e91b?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.704,0.636,9,-6.029,1,0.0252,0.0344,0.0,0.35,0.89,111.845,https://api.spotify.com/v1/audio-analysis/7aQjPecQdIuNd1sz3KCDhD,193953
3Dy4REq8O09IlgiwuHQ3sk,https://p.scdn.co/mp3-preview/a8cfa61eb0e94b5ae82f1e4e4af01cc91b680f13?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,https://api.spotify.com/v1/audio-analysis/3Dy4REq8O09IlgiwuHQ3sk,168960
2TEhwbHwVpzq0hWuSUbhFc,https://p.scdn.co/mp3-preview/2a36404174ad6674d31ca6db7dd2f8a12bebc74e?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.739,0.806,2,-5.723,1,0.0309,0.255,0.000176,0.442,0.807,137.524,https://api.spotify.com/v1/audio-analysis/2TEhwbHwVpzq0hWuSUbhFc,212760
6A4nCMyuhqG9jjcgOtbWZS,https://p.scdn.co/mp3-preview/4b963f7e9e5b16f45d46f65892aa2a81d0ef0d80?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.705,0.655,2,-5.985,0,0.0281,0.029,0.00405,0.319,0.694,119.373,https://api.spotify.com/v1/audio-analysis/6A4nCMyuhqG9jjcgOtbWZS,289160
1ChyRKblt6Y3NKyKQGOFjN,https://p.scdn.co/mp3-preview/4b963f7e9e5b16f45d46f65892aa2a81d0ef0d80?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.705,0.655,2,-5.985,0,0.0281,0.029,0.00405,0.319,0.694,119.373,https://api.spotify.com/v1/audio-analysis/1ChyRKblt6Y3NKyKQGOFjN,289160
0EEDpZCgXH6m0fLZp8Wz53,https://p.scdn.co/mp3-preview/8fa6686c53f0c9738442839a25b548326ca5967a?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,https://api.spotify.com/v1/audio-analysis/0EEDpZCgXH6m0fLZp8Wz53,231093
5IZs2BeOMGaMv5VYAUl6m1,https://p.scdn.co/mp3-preview/1be999a13c24152eb11fa8028b63440b06535d09?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.694,0.701,0,-6.437,1,0.028,0.0187,0.0491,0.251,0.571,132.999,https://api.spotify.com/v1/audio-analysis/5IZs2BeOMGaMv5VYAUl6m1,272507
3ERhVo6XBg9Guhcdk8Cndh,https://p.scdn.co/mp3-preview/4b963f7e9e5b16f45d46f65892aa2a81d0ef0d80?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.705,0.655,2,-5.985,0,0.0281,0.029,0.00405,0.319,0.694,119.373,https://api.spotify.com/v1/audio-analysis/3ERhVo6XBg9Guhcdk8Cndh,289160
66oxfo3xlZYZ1kziDuTeGr,https://p.scdn.co/mp3-preview/8fa6686c53f0c9738442839a25b548326ca5967a?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,https://api.spotify.com/v1/audio-analysis/66oxfo3xlZYZ1kziDuTeGr,231093
2Zwu6ouAdD3VyWXrahFing,https://p.scdn.co/mp3-preview/a47e4d9cdf9265589102f0339b9a4f0003bb088e?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.58,0.436,7,-9.626,1,0.0282,0.765,2.58e-06,0.124,0.407,142.177,https://api.spotify.com/v1/audio-analysis/2Zwu6ouAdD3VyWXrahFing,183307
6rbAlj2bIORvPoHXjC2KEq,https://p.scdn.co/mp3-preview/a0a399ef930df576447da1e168bad5d54d435a37?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.645,0.783,11,-5.414,1,0.0269,0.0321,0.0,0.492,0.79,106.685,https://api.spotify.com/v1/audio-analysis/6rbAlj2bIORvPoHXjC2KEq,246813
6fWkjLMiC23mRrsaaLKKpL,https://p.scdn.co/mp3-preview/c06e06b8a993d5d98401b4e0533f4f3510f862a1?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.409,0.946,2,-2.878,1,0.0551,0.235,3.45e-05,0.353,0.707,147.094,https://api.spotify.com/v1/audio-analysis/6fWkjLMiC23mRrsaaLKKpL,165800
1T7omolu9Ulr7rVNZ3skVG,https://p.scdn.co/mp3-preview/a0a399ef930df576447da1e168bad5d54d435a37?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.645,0.783,11,-5.414,1,0.0269,0.0321,0.0,0.492,0.79,106.685,https://api.spotify.com/v1/audio-analysis/1T7omolu9Ulr7rVNZ3skVG,246813
2heKRG04Hmu43VroqgpGZg,https://p.scdn.co/mp3-preview/e7b2ce483aeb18129fdcacef6bd21d34d7f83505?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.491,0.595,8,-9.067,1,0.0338,0.381,0.000108,0.291,0.546,135.404,https://api.spotify.com/v1/audio-analysis/2heKRG04Hmu43VroqgpGZg,226320
32MSrzK9YhRcR21Elmb0D1,https://p.scdn.co/mp3-preview/8fa6686c53f0c9738442839a25b548326ca5967a?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,https://api.spotify.com/v1/audio-analysis/32MSrzK9YhRcR21Elmb0D1,231093
7IcA8IRFUo7nxQbHc4kU59,https://p.scdn.co/mp3-preview/1be999a13c24152eb11fa8028b63440b06535d09?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.694,0.701,0,-6.437,1,0.028,0.0187,0.0491,0.251,0.571,132.999,https://api.spotify.com/v1/audio-analysis/7IcA8IRFUo7nxQbHc4kU59,272507
762B4bOcXF7I2Y8UlKTyTy,https://p.scdn.co/mp3-preview/c7dff857f31abdf1f819af24d49aa7b787dd5c7a?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.5,0.554,9,-8.108,1,0.0354,0.734,3.72e-06,0.312,0.372,84.229,https://api.spotify.com/v1/audio-analysis/762B4bOcXF7I2Y8UlKTyTy,326320
2245x0g1ft0HC7sf79zbYN,https://p.scdn.co/mp3-preview/b893ef66015f32475bb533acca158acf67edb726?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.695,0.701,0,-6.435,1,0.0281,0.0187,0.0464,0.251,0.58,133.0,https://api.spotify.com/v1/audio-analysis/2245x0g1ft0HC7sf79zbYN,272507
6ZaiqbV2GfUtrUlhsu58fN,https://p.scdn.co/mp3-preview/a39ca73cc177cac9a11d20b033f61dc0433ade89?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.331,0.471,2,-5.631,1,0.0299,0.00644,0.0,0.0653,0.142,90.057,https://api.spotify.com/v1/audio-analysis/6ZaiqbV2GfUtrUlhsu58fN,230186
3oEkrIfXfSh9zGnE7eBzSV,https://p.scdn.co/mp3-preview/9497d27a54c6327eb275e4fb2d44e3052ce78dea?cid=7596a347c632409f9829d4c3cb9fa3c7,swedish,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720
