id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
0cGG2EouYCEEC3xfa0tDFV,https://p.scdn.co/mp3-preview/ed3fb6483e7dafc235c9fc2aa0528ad1600dc923?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,https://api.spotify.com/v1/audio-analysis/0cGG2EouYCEEC3xfa0tDFV,153800
48p5E25cFPanxuwCTmTpuL,https://p.scdn.co/mp3-preview/486bacb3a7f28dde582e2a2bf3ef6cdd220fc8bf?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.629,0.876,0,-10.141,1,0.0444,0.0864,7.72e-05,0.0431,0.358,118.01,https://api.spotify.com/v1/audio-analysis/48p5E25cFPanxuwCTmTpuL,220960
6t1FIJlZWTQfIZhsGjaulM,https://p.scdn.co/mp3-preview/e0717d8f7590f18b87979214f89dbba0605070ee?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,https://api.spotify.com/v1/audio-analysis/6t1FIJlZWTQfIZhsGjaulM,253800
15MJ5NThPjj6xhPcts8MiY,https://p.scdn.co/mp3-preview/91b074ec7d19da8049df229a8fdaa0db079cedba?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.497,0.719,6,-9.397,1,0.0266,0.0613,0.0,0.411,0.547,95.769,https://api.spotify.com/v1/audio-analysis/15MJ5NThPjj6xhPcts8MiY,255733
1ChulFMnwxoD74Me8eX2TU,https://p.scdn.co/mp3-preview/e656b72f53d3e8358c284cb086434aac4475b8cc?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,https://api.spotify.com/v1/audio-analysis/1ChulFMnwxoD74Me8eX2TU,195147
5lwQGZYF4BXOzFtXc5zk8q,https://p.scdn.co/mp3-preview/2200e1be223b763165b2c394240d6752c154c6d5?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.623,0.739,7,-8.116,1,0.0244,0.338,1.88e-05,0.109,0.642,95.007,https://api.spotify.com/v1/audio-analysis/5lwQGZYF4BXOzFtXc5zk8q,257316
4d6eqRtpDX7tydHJGDZUBQ,https://p.scdn.co/mp3-preview/302c16bef21f796230c177486023cd91f5925738?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,https://api.spotify.com/v1/audio-analysis/4d6eqRtpDX7tydHJGDZUBQ,215773
2Di0qFNb7ATroCGB3q0Ka7,https://p.scdn.co/mp3-preview/d0c2bae1d139113dc6234fabf8e7f1afcc19da1a?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,https://api.spotify.com/v1/audio-analysis/2Di0qFNb7ATroCGB3q0Ka7,285907
748yv6bb3l3CcKS45a6SZ8,https://p.scdn.co/mp3-preview/3aceeb9417a52106252d54b23d9342d9c1165474?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.602,0.839,4,-4.251,0,0.0255,0.502,0.00128,0.095,0.653,95.159,https://api.spotify.com/v1/audio-analysis/748yv6bb3l3CcKS45a6SZ8,256147
2gQaQUhDCNGfBVXTvxAmXQ,https://p.scdn.co/mp3-preview/848789330a2435f9fa7c7bf75c3f093be758397b?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.511,0.942,0,-10.407,1,0.0429,0.174,1.87e-05,0.139,0.498,97.909,https://api.spotify.com/v1/audio-analysis/2gQaQUhDCNGfBVXTvxAmXQ,393667
58E1XVmZTODC67YNjneuXM,https://p.scdn.co/mp3-preview/8b36e807bd5d568a773d16aebe252e56b661e676?cid=7596a347c632409f9829d4c3cb9fa3c7,synth-pop,0.542,0.45,7,-9.931,0,0.0361,0.558,6.43e-06,0.579,0.626,144.437,https://api.spotify.com/v1/audio-analysis/58E1XVmZTODC67YNjneuXM,153840
