id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
4GmpwtKCSTWESFjSdLTFB1,https://p.scdn.co/mp3-preview/096f2c060737a2103c7742c38e9f9e4db9b13f34?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.236,0.0957,4,-19.392,0,0.0473,0.954,0.348,0.108,0.142,79.181,https://api.spotify.com/v1/audio-analysis/4GmpwtKCSTWESFjSdLTFB1,458747
3mGkPsZbHEBf8ZT1ExZnww,https://p.scdn.co/mp3-preview/10e572f7a2057d830159b7a47aa283b665b2e791?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.349,0.134,7,-21.963,0,0.0505,0.821,0.0487,0.0464,0.429,118.069,https://api.spotify.com/v1/audio-analysis/3mGkPsZbHEBf8ZT1ExZnww,231160
4UOt0ObZ4Oqi7LSU1Gzzkq,https://p.scdn.co/mp3-preview/c8f0ddd542a901537f1048246c8a8870713cd4a3?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.373,0.264,8,-7.393,0,0.0571,0.969,0.00869,0.296,0.435,63.924,https://api.spotify.com/v1/audio-analysis/4UOt0ObZ4Oqi7LSU1Gzzkq,153120
302ayAsw54X8CEqehpQB6O,https://p.scdn.co/mp3-preview/02419d5a605f8c7c722d5873e7017c8009055a7d?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.342,0.157,4,-12.353,0,0.0421,0.973,0.303,0.11,0.166,76.713,https://api.spotify.com/v1/audio-analysis/302ayAsw54X8CEqehpQB6O,461851
0CShxQaSFFKXY2PxrJIhrB,https://p.scdn.co/mp3-preview/b90cce75bd3d7a02565fcd44fe04997f9adae8e7?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.164,0.349,0,-9.369,0,0.0359,0.923,0.0121,0.239,0.0788,164.293,https://api.spotify.com/v1/audio-analysis/0CShxQaSFFKXY2PxrJIhrB,214107
5nnhYchP6RkU7ZROzD97Yv,https://p.scdn.co/mp3-preview/661d0edd1fd80430a3a2a4b5622c95c7755b494c?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.333,0.254,1,-8.883,1,0.0544,0.994,0.0234,0.329,0.468,65.259,https://api.spotify.com/v1/audio-analysis/5nnhYchP6RkU7ZROzD97Yv,174067
2joB3G4b527szRVC6L5VYL,https://p.scdn.co/mp3-preview/3b49273879ce5ae7b2fb7a4262f2aa03b54e2b46?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.604,0.346,7,-11.004,0,0.0496,0.727,0.393,0.0273,0.643,135.439,https://api.spotify.com/v1/audio-analysis/2joB3G4b527szRVC6L5VYL,222640
2cebuDRXBsi89lb1Jz3TFs,https://p.scdn.co/mp3-preview/1bb566639d3748272efd027cd16f93fbc88e8f2c?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.545,0.574,0,-9.159,1,0.0751,0.804,0.0,0.45,0.845,120.522,https://api.spotify.com/v1/audio-analysis/2cebuDRXBsi89lb1Jz3TFs,184027
0C2VBTRjLyFAOdAmgXNBIu,https://p.scdn.co/mp3-preview/3198e3abf2668f5f778735cc6d99c03f8d80b526?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.335,0.25,7,-14.641,0,0.0449,0.921,0.327,0.275,0.343,132.086,https://api.spotify.com/v1/audio-analysis/0C2VBTRjLyFAOdAmgXNBIu,233840
1Nkq4Ks8Q3aXlmxD3iLx9v,https://p.scdn.co/mp3-preview/9584710e249cc40dfe1574eb860ff62654e84a56?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.381,0.23,0,-12.03,0,0.0414,0.963,0.00598,0.111,0.413,113.411,https://api.spotify.com/v1/audio-analysis/1Nkq4Ks8Q3aXlmxD3iLx9v,201933
1wEVaookIEsB8UG2s1dytP,https://p.scdn.co/mp3-preview/24ab43725b3ddd79b44e6d655b0d5736891975d7?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.721,0.29,0,-15.117,0,0.0818,0.613,0.108,0.048,0.822,113.273,https://api.spotify.com/v1/audio-analysis/1wEVaookIEsB8UG2s1dytP,126520
7oazB2sKLoBDC49smTIdoj,https://p.scdn.co/mp3-preview/5d9d549435e8fd159cb12e7d4b434cc367e7fbc5?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.728,0.264,7,-8.7,1,0.142,0.98,0.000664,0.111,0.815,122.856,https://api.spotify.com/v1/audio-analysis/7oazB2sKLoBDC49smTIdoj,148093
0XU7bJxE8WqKVWNZRol3vw,https://p.scdn.co/mp3-preview/ce0350e46bb5fbe56fd50df397654b3f57474c50?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.607,0.464,9,-11.105,0,0.0282,0.853,0.922,0.123,0.838,139.871,https://api.spotify.com/v1/audio-analysis/0XU7bJxE8WqKVWNZRol3vw,187987
1Gas3HGCmNODYQiMU13LqL,https://p.scdn.co/mp3-preview/8bdfa44ad41072b6f28b6c185da62d507994dafb?cid=7596a347c632409f9829d4c3cb9fa3c7,tango,0.16,0.0877,1,-19.12,1,0.0364,0.496,0.0127,0.104,0.0673,169.665,https://api.spotify.com/v1/audio-analysis/1Gas3HGCmNODYQiMU13LqL,391440
