id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
20Q3Y4dWkrEJL1p9VwxwbD,https://p.scdn.co/mp3-preview/69f3d9a87be6f94f1bee5d890f972a7b0ade58e6?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,https://api.spotify.com/v1/audio-analysis/20Q3Y4dWkrEJL1p9VwxwbD,210400
2fs7pd8KtOvPIB9ctyZYIQ,https://p.scdn.co/mp3-preview/1c671441e1cd740ed421e0af7cdcef74f25ebdfb?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,https://api.spotify.com/v1/audio-analysis/2fs7pd8KtOvPIB9ctyZYIQ,184732
4jvVzoaCmgAFLUxUWBSCk4,https://p.scdn.co/mp3-preview/2f7fc0793692fb17a2b5cd6ef9d6c1ed3c061a83?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.693,0.565,1,-3.854,0,0.0378,0.396,0.0,0.0409,0.588,185.916,https://api.spotify.com/v1/audio-analysis/4jvVzoaCmgAFLUxUWBSCk4,210901
1Yf2JpFpzFqWZIKLWCp3kx,https://p.scdn.co/mp3-preview/1c671441e1cd740ed421e0af7cdcef74f25ebdfb?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,https://api.spotify.com/v1/audio-analysis/1Yf2JpFpzFqWZIKLWCp3kx,184732
1s1oy56enWZKl3oy6p3xyF,https://p.scdn.co/mp3-preview/1c671441e1cd740ed421e0af7cdcef74f25ebdfb?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,https://api.spotify.com/v1/audio-analysis/1s1oy56enWZKl3oy6p3xyF,184732
3x4hKDRDcX0OqqxHFJAPN2,https://p.scdn.co/mp3-preview/59ef7cf9d7777819db86f930d4322995f03c7515?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.634,0.835,11,-4.132,0,0.0282,0.00829,1.63e-05,0.0843,0.564,128.0,https://api.spotify.com/v1/audio-analysis/3x4hKDRDcX0OqqxHFJAPN2,218307
3kzJ2JQKKwjnebbbwYkay3,https://p.scdn.co/mp3-preview/b8307629d526992e9a8fa149aaba78bfb22dc884?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.595,0.738,8,-3.109,1,0.041,0.107,0.0,0.0947,0.461,127.954,https://api.spotify.com/v1/audio-analysis/3kzJ2JQKKwjnebbbwYkay3,217347
5Va6HcjHQxcYB3Zyn8l0Ir,https://p.scdn.co/mp3-preview/69f3d9a87be6f94f1bee5d890f972a7b0ade58e6?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,https://api.spotify.com/v1/audio-analysis/5Va6HcjHQxcYB3Zyn8l0Ir,210400
5w62mNXZyxflSXQEgQOgKv,https://p.scdn.co/mp3-preview/1c671441e1cd740ed421e0af7cdcef74f25ebdfb?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,https://api.spotify.com/v1/audio-analysis/5w62mNXZyxflSXQEgQOgKv,184732
34NGkWFhbYRxeTL3cq2vLc,https://p.scdn.co/mp3-preview/69f3d9a87be6f94f1bee5d890f972a7b0ade58e6?cid=7596a347c632409f9829d4c3cb9fa3c7,techno,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,https://api.spotify.com/v1/audio-analysis/34NGkWFhbYRxeTL3cq2vLc,210400
