id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
6Sy9BUbgFse0n0LPA5lwy5,https://p.scdn.co/mp3-preview/dac75a5f3b37c27cb3f6e1e8d4c99d5f5efdcecd?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,https://api.spotify.com/v1/audio-analysis/6Sy9BUbgFse0n0LPA5lwy5,225493
3dxDj8pDPlIHCIrUPXuCeG,https://p.scdn.co/mp3-preview/bb42a2557ecac285c082c2a5de1bd1402f4d5401?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.532,0.967,11,-7.977,0,0.0457,0.146,0.985,0.115,0.59,136.083,https://api.spotify.com/v1/audio-analysis/3dxDj8pDPlIHCIrUPXuCeG,225667
4wtR6HB3XekEengMX17cpc,https://p.scdn.co/mp3-preview/185ea801593021fefa039ae4bc90e40a7545b28e?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,https://api.spotify.com/v1/audio-analysis/4wtR6HB3XekEengMX17cpc,243267
5b9DCQzPV6KEg9b6WB8v4e,https://p.scdn.co/mp3-preview/36b52dab085cfa572cdf1d81b9b5942b0d1c731f?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.671,0.852,8,-5.375,1,0.0415,0.00367,0.0033,0.0754,0.835,127.005,https://api.spotify.com/v1/audio-analysis/5b9DCQzPV6KEg9b6WB8v4e,181442
3RLC8jJmDOZwrJ5izaISXr,https://p.scdn.co/mp3-preview/544a088e8b1275c118dd8485012f07c2c6a5ee2e?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.662,0.819,6,-4.609,1,0.124,0.00537,0.0,0.0498,0.801,122.951,https://api.spotify.com/v1/audio-analysis/3RLC8jJmDOZwrJ5izaISXr,210200
5L2l7mI8J1USMzhsmdjat9,https://p.scdn.co/mp3-preview/c4da180367b210c3ac4ef2fccaaf0b189c69f4b0?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,https://api.spotify.com/v1/audio-analysis/5L2l7mI8J1USMzhsmdjat9,262200
60ICDcC995UF0nu85r75qV,https://p.scdn.co/mp3-preview/cf3d48a9611d5c1547c55a1a07d5ff7fe7d2bd74?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.467,0.911,2,-5.013,1,0.0505,0.0003,0.0358,0.116,0.315,147.007,https://api.spotify.com/v1/audio-analysis/60ICDcC995UF0nu85r75qV,184286
21YmSq6kbj98FA5O40yZCs,https://p.scdn.co/mp3-preview/14accc3c4f1fe02560284430da37395fd1f71589?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.501,0.928,10,-1.711,1,0.141,0.125,0.0,0.368,0.481,120.053,https://api.spotify.com/v1/audio-analysis/21YmSq6kbj98FA5O40yZCs,214000
4vvnuJlgBeNVwq3TNmLMNX,https://p.scdn.co/mp3-preview/582c77075817a424f4563e8c600b8e83b81cb887?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.747,0.833,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.008,https://api.spotify.com/v1/audio-analysis/4vvnuJlgBeNVwq3TNmLMNX,215760
5T4lERmPqhO2ukZoGJ5sSr,https://p.scdn.co/mp3-preview/28ce251d81109270941f680a5f003c7a25b4ca8e?cid=7596a347c632409f9829d4c3cb9fa3c7,trance,0.843,0.713,0,-5.487,1,0.0851,0.0276,0.76,0.0961,0.298,123.983,https://api.spotify.com/v1/audio-analysis/5T4lERmPqhO2ukZoGJ5sSr,147976
