id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
7x8pIrhMu9FCmqqHNyuH0P,https://p.scdn.co/mp3-preview/50e0637cb40de79193ee10ac044a9cd246ffa9fd?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,https://api.spotify.com/v1/audio-analysis/7x8pIrhMu9FCmqqHNyuH0P,204067
5dEJc0rHuTVxtl1xljDbRv,https://p.scdn.co/mp3-preview/d49e16d773fd083d1e2d914e6216d61ec556f0a1?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.907,0.592,8,-6.44,0,0.0858,0.532,0.0,0.289,0.545,108.052,https://api.spotify.com/v1/audio-analysis/5dEJc0rHuTVxtl1xljDbRv,225653
1GsSM1Fju5J1Fsu51jEsTg,https://p.scdn.co/mp3-preview/f7a5c955269d35dbba4c59c2a07c511e8a13e8ea?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.616,0.717,8,-6.178,1,0.11,0.194,9.81e-05,0.0731,0.72,167.99,https://api.spotify.com/v1/audio-analysis/1GsSM1Fju5J1Fsu51jEsTg,196760
4QUzLCXrpHO4c6dGyZlpO2,https://p.scdn.co/mp3-preview/ce84258239d741eb26de1e0476ffc2ca6c6c63e3?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.401,0.619,0,-7.035,0,0.21,0.168,0.0,0.272,0.757,78.763,https://api.spotify.com/v1/audio-analysis/4QUzLCXrpHO4c6dGyZlpO2,176876
5W2s4S60GoNsUthU51aUb8,https://p.scdn.co/mp3-preview/c8e5cbbcf4945a3924aeec252b6aeec78c847b7d?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.737,0.629,7,-6.331,1,0.287,0.0662,1.29e-05,0.513,0.581,94.997,https://api.spotify.com/v1/audio-analysis/5W2s4S60GoNsUthU51aUb8,220040
3xqtvSfofDvSMVwwSbuvKi,https://p.scdn.co/mp3-preview/3b973bbd197b2c7d7c1c1a10a01d25dcddbe3c7c?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.706,0.395,11,-6.952,0,0.0588,0.724,2.16e-05,0.203,0.26,118.128,https://api.spotify.com/v1/audio-analysis/3xqtvSfofDvSMVwwSbuvKi,216760
7E66uxFz2NtHWAyiGXotha,https://p.scdn.co/mp3-preview/4172509fe327d5241095b3f27ab2d69db553dc22?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.479,0.716,0,-6.663,1,0.228,0.0624,0.000685,0.0814,0.338,109.748,https://api.spotify.com/v1/audio-analysis/7E66uxFz2NtHWAyiGXotha,247547
15TXFTdwGEEL4jH9erTRnK,https://p.scdn.co/mp3-preview/5142758ff4ec8841b7765ea44249da701083d50d?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.773,0.366,8,-11.327,1,0.112,0.354,0.00302,0.0707,0.509,147.948,https://api.spotify.com/v1/audio-analysis/15TXFTdwGEEL4jH9erTRnK,188773
6EeuY84I1Q3UJvpPN6iSzw,https://p.scdn.co/mp3-preview/63de091c3e7d30556e824b1f92d54075ea58bbb0?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.568,0.369,8,-8.758,1,0.127,0.81,1.77e-05,0.168,0.243,134.789,https://api.spotify.com/v1/audio-analysis/6EeuY84I1Q3UJvpPN6iSzw,259467
3iNj5fdyY62N1ycufQ3E2M,https://p.scdn.co/mp3-preview/97e12278b9d08f147392b67c09bbd77c334eca13?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.409,0.848,1,-9.797,1,0.0328,0.00563,0.92,0.128,0.258,165.928,https://api.spotify.com/v1/audio-analysis/3iNj5fdyY62N1ycufQ3E2M,223013
0duseXw0L74Peh5oRYnaz3,https://p.scdn.co/mp3-preview/0b30e73d48f2448e155d1104aba2e892e413299f?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.711,0.797,5,-9.575,1,0.0296,0.231,0.9,0.0982,0.611,99.367,https://api.spotify.com/v1/audio-analysis/0duseXw0L74Peh5oRYnaz3,142800
66fCNfMdIKsXOnSphorrwg,https://p.scdn.co/mp3-preview/0b0a20d5f05b26a6628a8fb8acac36c9ecb39f09?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.828,0.638,1,-5.346,0,0.0767,0.285,7.27e-05,0.133,0.525,113.486,https://api.spotify.com/v1/audio-analysis/66fCNfMdIKsXOnSphorrwg,159667
7bzavemlmYRy0wQnQ6mjW5,https://p.scdn.co/mp3-preview/3e2b793c19c8a7fbefd4e1cf077e41afd695f4c2?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.556,0.454,0,-11.289,1,0.0293,0.106,0.932,0.152,0.327,79.002,https://api.spotify.com/v1/audio-analysis/7bzavemlmYRy0wQnQ6mjW5,169627
0Ny30hfcHPaVkCBH4lsKhf,https://p.scdn.co/mp3-preview/8869c318061f26c16caa7ef56f7618cb40261afc?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.641,0.695,4,-4.572,0,0.0397,0.0798,0.632,0.185,0.724,169.985,https://api.spotify.com/v1/audio-analysis/0Ny30hfcHPaVkCBH4lsKhf,180333
5pOR1pgI1q48rSy3jARCwj,https://p.scdn.co/mp3-preview/be1c2f5d72f61d0ff40feaeee50b9a7239725e6c?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.398,0.533,8,-11.413,1,0.0469,0.0781,0.855,0.423,0.219,97.982,https://api.spotify.com/v1/audio-analysis/5pOR1pgI1q48rSy3jARCwj,213603
27ViQppP3LZPCJl2A0w9kp,https://p.scdn.co/mp3-preview/a1d29158b9016bca4c6e693069fce8e3f9f17a38?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.63,0.576,7,-9.046,0,0.0304,0.217,0.686,0.129,0.471,138.009,https://api.spotify.com/v1/audio-analysis/27ViQppP3LZPCJl2A0w9kp,338280
6nVT7yKO7jV4Qw6PZ9B0PK,https://p.scdn.co/mp3-preview/56ea174fedb9caac1950c5934fa6a4385cbcd0dd?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.667,0.501,2,-10.24,0,0.0738,0.802,0.695,0.113,0.531,200.213,https://api.spotify.com/v1/audio-analysis/6nVT7yKO7jV4Qw6PZ9B0PK,128613
7h14W1uQK7sjpVI1oVTobt,https://p.scdn.co/mp3-preview/c3e4cfb120cea692619610f8c4c51acaef1de377?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152,https://api.spotify.com/v1/audio-analysis/7h14W1uQK7sjpVI1oVTobt,293200
7Cg3F9ZsZ2TYUnlza49NYh,https://p.scdn.co/mp3-preview/e7455805c4b6d361a125529c707c3c7af43a53db?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,https://api.spotify.com/v1/audio-analysis/7Cg3F9ZsZ2TYUnlza49NYh,237827
2ZaL63zLMDr6H18El2EIt9,https://p.scdn.co/mp3-preview/ee9a320ca218c8d58412e2f6095de313734f26e4?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.757,0.637,10,-9.451,0,0.0432,0.0668,0.485,0.191,0.429,121.009,https://api.spotify.com/v1/audio-analysis/2ZaL63zLMDr6H18El2EIt9,242773
41fe96o3cxCfvINxcxEe4R,https://p.scdn.co/mp3-preview/b1902075ee237edcd780487a77dc5ca9d1c962d5?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.954,0.777,2,-7.935,0,0.0422,0.0541,0.786,0.111,0.952,122.32,https://api.spotify.com/v1/audio-analysis/41fe96o3cxCfvINxcxEe4R,202480
1mRTSIs40qa2L7omBzQd1u,https://p.scdn.co/mp3-preview/351fc89b527fa4033dd307f2374351884c94c283?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.601,0.558,4,-8.353,0,0.0441,0.32,0.375,0.0732,0.416,92.948,https://api.spotify.com/v1/audio-analysis/1mRTSIs40qa2L7omBzQd1u,229520
31U21fwH5izi4fVA2f1HKa,https://p.scdn.co/mp3-preview/6d2af594ac6351ae162e7b41812698220bcc52c8?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.781,0.18,1,-9.52,1,0.0719,0.0475,0.923,0.229,0.189,89.994,https://api.spotify.com/v1/audio-analysis/31U21fwH5izi4fVA2f1HKa,216001
3KWQwppcl2EpUfbq3LXmt0,https://p.scdn.co/mp3-preview/8f1b0ffd3336fdb905881fae4aa6aa101c195f8f?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.588,0.503,1,-12.58,1,0.0305,0.00143,0.187,0.417,0.395,95.734,https://api.spotify.com/v1/audio-analysis/3KWQwppcl2EpUfbq3LXmt0,273507
2lJ4d8MCT6ZlDRHKJ1br14,https://p.scdn.co/mp3-preview/0872301a1e8d7b03e7dc4d4cf0b42599a549d589?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,https://api.spotify.com/v1/audio-analysis/2lJ4d8MCT6ZlDRHKJ1br14,352247
02zPsXmSUP6Rr1Z2w5KMpf,https://p.scdn.co/mp3-preview/95780f0c181cf23ddeb59db40284551c5e0fe875?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.775,0.595,1,-10.096,1,0.0732,0.117,0.0128,0.0536,0.829,127.995,https://api.spotify.com/v1/audio-analysis/02zPsXmSUP6Rr1Z2w5KMpf,224760
6O7qFEXmLQcOsV37wrgJDz,https://p.scdn.co/mp3-preview/b88057d6e90a1b496f9e62a49eb16f1916b727b7?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.641,0.621,7,-3.88,1,0.0524,0.24,0.0299,0.175,0.749,89.926,https://api.spotify.com/v1/audio-analysis/6O7qFEXmLQcOsV37wrgJDz,233755
6kZsTttxl7h4BLGSRWQnTp,https://p.scdn.co/mp3-preview/9f71b5dd0e1fee03b084c839b7cdd6674bab05ab?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.81,0.697,9,-6.179,0,0.399,0.534,0.0127,0.0751,0.435,110.996,https://api.spotify.com/v1/audio-analysis/6kZsTttxl7h4BLGSRWQnTp,201520
2y8PnhXwnyHTxe72TtY58e,https://p.scdn.co/mp3-preview/f9946ad8517ade90619ece4e12808efc46474a39?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.865,0.384,10,-11.953,1,0.0577,0.024,0.434,0.0682,0.852,122.48,https://api.spotify.com/v1/audio-analysis/2y8PnhXwnyHTxe72TtY58e,219560
0j5FJJOmmnXPd0XajFWkMF,https://p.scdn.co/mp3-preview/360c745a24b1c66691547dbeb8e5f4583a664f0b?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.592,0.835,7,-8.475,1,0.032,0.0393,0.209,0.665,0.703,114.436,https://api.spotify.com/v1/audio-analysis/0j5FJJOmmnXPd0XajFWkMF,308427
1cpnpMvnvmdy3hzYgd5oo9,https://p.scdn.co/mp3-preview/2dd5b8b51ffde18980011327696bf386ae512b34?cid=7596a347c632409f9829d4c3cb9fa3c7,trip-hop,0.668,0.52,9,-11.098,1,0.0444,0.698,0.0165,0.13,0.556,153.963,https://api.spotify.com/v1/audio-analysis/1cpnpMvnvmdy3hzYgd5oo9,257160
