id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
38t5dhK8APbBXzqGpPgTJP,https://p.scdn.co/mp3-preview/52b3240236338679ff93112264ea83f59258dae6?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.792,0.672,11,-13.181,1,0.277,0.259,0.0,0.56,0.808,97.017,https://api.spotify.com/v1/audio-analysis/38t5dhK8APbBXzqGpPgTJP,139304
2BVENsgSCozPejCti0lmwo,https://p.scdn.co/mp3-preview/76205122a12c754749334d65b875f3c6237b1110?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.587,0.392,5,-12.271,0,0.0317,0.583,0.915,0.212,0.597,124.941,https://api.spotify.com/v1/audio-analysis/2BVENsgSCozPejCti0lmwo,176803
43f3oGrYrjcB06aNPVXH2T,https://p.scdn.co/mp3-preview/cdde3d203ef2405f68a0a9d2a97490894bed3bfb?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.282,0.0663,0,-24.072,0,0.0448,0.989,0.93,0.0985,0.155,209.557,https://api.spotify.com/v1/audio-analysis/43f3oGrYrjcB06aNPVXH2T,84948
63UlcXS3kWJXph9FL5zeWA,https://p.scdn.co/mp3-preview/7500bd8ab626023685fefcf53966a22c1e0a3fd4?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.639,0.028,6,-29.729,0,0.039,0.971,0.397,0.116,0.4,130.02,https://api.spotify.com/v1/audio-analysis/63UlcXS3kWJXph9FL5zeWA,91303
2nLeVfLE8t3hzHhXkZ6Ez2,https://p.scdn.co/mp3-preview/a495050b720b60196130cbf26846c764fe49aad1?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.598,0.439,2,-10.987,1,0.0429,0.0879,0.868,0.103,0.0673,147.84,https://api.spotify.com/v1/audio-analysis/2nLeVfLE8t3hzHhXkZ6Ez2,172009
1W62KtrNpX64AxTMqo70Bl,https://p.scdn.co/mp3-preview/a98555f3267924b9c2e14fd9c51a7ae8292fb738?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.282,0.133,0,-24.703,0,0.0378,0.954,0.961,0.137,0.0437,66.816,https://api.spotify.com/v1/audio-analysis/1W62KtrNpX64AxTMqo70Bl,99532
4OH5Cd8ZOI1eSgJSC9PYmU,https://p.scdn.co/mp3-preview/f995856a8f97b463ae9ca68b77d72cff32224d84?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.7,0.589,11,-9.974,0,0.0281,0.0297,1.4e-05,0.0987,0.915,100.014,https://api.spotify.com/v1/audio-analysis/4OH5Cd8ZOI1eSgJSC9PYmU,240125
46xC5pDq9vxl4JcHkb1QkX,https://p.scdn.co/mp3-preview/c889e2216ed8309b87dd367219cd3d8da56509e2?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.393,0.0984,0,-19.02,0,0.0445,0.984,0.921,0.122,0.139,96.939,https://api.spotify.com/v1/audio-analysis/46xC5pDq9vxl4JcHkb1QkX,90984
79OUttYM7WQUzEtsugTwEX,https://p.scdn.co/mp3-preview/d1dd0178961035177078f7f278d07062da2a1160?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.725,0.738,6,-8.383,0,0.132,0.157,0.513,0.348,0.294,125.097,https://api.spotify.com/v1/audio-analysis/79OUttYM7WQUzEtsugTwEX,136320
6vEL7E8TGzrxuxbrgdlkLL,https://p.scdn.co/mp3-preview/09dc8f4174a2346a0e1b287a0c6b2593c6a70a43?cid=7596a347c632409f9829d4c3cb9fa3c7,turkish,0.775,0.818,7,-8.687,1,0.164,0.0518,0.0,0.114,0.826,97.06,https://api.spotify.com/v1/audio-analysis/6vEL7E8TGzrxuxbrgdlkLL,235218
