id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1sF4VadVaVTvp9WTEy79JT,https://p.scdn.co/mp3-preview/510acbf7dc7a36488648f151168bc7a3bbd25737?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,https://api.spotify.com/v1/audio-analysis/1sF4VadVaVTvp9WTEy79JT,234731
40ozK0lCJ0EQzVGWsCNUhk,https://p.scdn.co/mp3-preview/3500d0519a6f42ace26faa617677ee3c77fc6c4c?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956,https://api.spotify.com/v1/audio-analysis/40ozK0lCJ0EQzVGWsCNUhk,503240
4EHWldZTas5KUyFtT0rQlY,https://p.scdn.co/mp3-preview/5f1cffd15a2be71088eed1f3fc679d1903b7ea62?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.457,0.451,10,-6.997,1,0.029,0.517,0.0,0.0928,0.185,74.923,https://api.spotify.com/v1/audio-analysis/4EHWldZTas5KUyFtT0rQlY,205667
0RW1xWSPxmbXf012RN3yWl,https://p.scdn.co/mp3-preview/808a84e53366d8c35e6d656bc163180d6f3ee896?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.512,0.814,10,-5.467,1,0.0327,0.00419,0.0,0.0991,0.277,97.996,https://api.spotify.com/v1/audio-analysis/0RW1xWSPxmbXf012RN3yWl,279787
3Gyl1BvC41QD8rXEMfSQWY,https://p.scdn.co/mp3-preview/cd58f6849e27f023be68bbb35057f7a66f5d6b3c?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.491,0.773,10,-4.545,1,0.0328,0.0199,0.0,0.139,0.296,85.964,https://api.spotify.com/v1/audio-analysis/3Gyl1BvC41QD8rXEMfSQWY,256133
7xAnK3cE81erl8ZTxJbYWq,https://p.scdn.co/mp3-preview/5c63d2dc87a5c283c70e8fd5910092f3e263ae96?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.321,0.337,11,-7.668,1,0.0326,0.773,0.0,0.116,0.234,101.873,https://api.spotify.com/v1/audio-analysis/7xAnK3cE81erl8ZTxJbYWq,252492
4PYOh644yKjYyvyVUHqcof,https://p.scdn.co/mp3-preview/fb9cb3eee88d141966fac8c4de3da0ccb5f7b982?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.39,0.457,9,-7.915,1,0.0327,0.0874,8.9e-06,0.123,0.145,143.977,https://api.spotify.com/v1/audio-analysis/4PYOh644yKjYyvyVUHqcof,290413
0H4BGX7L8UfoD0g4wgXd0D,https://p.scdn.co/mp3-preview/277fa01487c48a8227958630c47b490e851e6010?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.468,0.655,4,-6.384,1,0.0296,0.0149,0.0,0.104,0.222,144.045,https://api.spotify.com/v1/audio-analysis/0H4BGX7L8UfoD0g4wgXd0D,206440
6v3PrrpKQaXfQior1K7Zi2,https://p.scdn.co/mp3-preview/0548536059d4e665c8846e636f442d7bd96bc045?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.506,0.89,2,-5.862,1,0.0434,0.00263,0.0,0.98,0.457,139.96,https://api.spotify.com/v1/audio-analysis/6v3PrrpKQaXfQior1K7Zi2,227573
6StHK5sgz9rjxVZv7CApW2,https://p.scdn.co/mp3-preview/9652056ba854abe1de72e965f8a6ed238cfcdb82?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.392,0.702,0,-5.242,1,0.0287,0.00282,0.0,0.144,0.251,160.037,https://api.spotify.com/v1/audio-analysis/6StHK5sgz9rjxVZv7CApW2,265653
0fxpHpK3aw2nFWII6yveDD,https://p.scdn.co/mp3-preview/c8a13301c69926f091c4bf926e7fdf6580884e22?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.431,0.485,7,-8.085,1,0.0274,0.452,0.0,0.544,0.367,145.22,https://api.spotify.com/v1/audio-analysis/0fxpHpK3aw2nFWII6yveDD,342493
6UwxHDz7vGUhbDSevNUUcj,https://p.scdn.co/mp3-preview/9a611577a253e1dc1789fb1d0db8773eb2bfce56?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.455,0.46,4,-6.661,1,0.0315,0.32,0.0,0.0996,0.211,70.942,https://api.spotify.com/v1/audio-analysis/6UwxHDz7vGUhbDSevNUUcj,267773
3QntQwzIBV704yqCHLLmyH,https://p.scdn.co/mp3-preview/abce730a17dc7f022579a21784ab073f5900e88a?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.544,0.243,10,-11.825,1,0.0277,0.599,0.0,0.11,0.108,140.048,https://api.spotify.com/v1/audio-analysis/3QntQwzIBV704yqCHLLmyH,247373
4tkmm0pdXEZvHscuHWnkqy,https://p.scdn.co/mp3-preview/50b3a96e3a80c33e8ed96cf4d1d28bca952689e5?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.499,0.73,11,-6.374,1,0.0355,0.058,0.0,0.146,0.449,142.016,https://api.spotify.com/v1/audio-analysis/4tkmm0pdXEZvHscuHWnkqy,242107
6nVm313QmsPlNllntTart1,https://p.scdn.co/mp3-preview/c7bfbafbfe8ee394dac60bddda8b064c00deddfa?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.211,0.558,3,-6.232,1,0.041,0.0304,0.0,0.0978,0.317,143.452,https://api.spotify.com/v1/audio-analysis/6nVm313QmsPlNllntTart1,327000
72B1Omo2kmEst4YKO8vOB6,https://p.scdn.co/mp3-preview/fc0c022b87a12248791f29c2b3fb6d56bb0ff5e9?cid=7596a347c632409f9829d4c3cb9fa3c7,world-music,0.417,0.524,10,-6.6,1,0.0326,0.048,0.0,0.103,0.152,75.266,https://api.spotify.com/v1/audio-analysis/72B1Omo2kmEst4YKO8vOB6,238307
